,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.02057127511804957,,,,,,,,,,0.002752063511777219,,0.043443094738220424,
BMP1,0.053987726393918266,0.02278970584387265,0.009079594534713062,-0.002699021389321375,-0.009833195395499551,0.007892839710121313,0.04338630848910544,0.06412038726549352,0.058580303269019016,0.05042539275030107,0.018014685575170598,-0.04133876885416997,0.10402851402447554,0.06801958264764427,0.05775350662136013,0.03786795191006165,-0.00700552757556624,-0.0560841100312314,-0.02543902996258339,-0.028422551482031926,-0.05117134516359449,-0.029160982168323087
NDP,0.07834631987839719,0.056928347137594204,-0.022324210504587813,0.03303751020925842,0.015389943985031766,-0.02518855029773609,-0.003126522441819463,-0.0027757299454664597,0.009288788431708108,0.06318274153035311,0.00503323893997356,-0.046172616065924134,0.0108764799373996,0.008526227495943717,-0.008621212084219803,-0.0718911413181876,-0.007505832459458053,0.04292028196434112,0.06198254631990654,0.024936386694234546,-0.006966078306307392,-0.0016004100526004511
TNFSF18,0.07377469520595942,0.003908409297651684,0.052260257544321724,-0.04043850347406245,,,,0.11096734710718793,-0.0009010380712359641,0.054817070499416115,,,,,-0.02739623906337509,,,,-0.03151067837783653,,-0.030733741746059577,0.042042681107559314
IL36G,,,,,,,,,,,,,,0.057192466297564346,,,,,,,,
RTN4,0.04699478463306457,0.025084052109632934,0.011860212404570806,0.051214092753083515,0.016625926786152167,0.022776674891942024,0.02511006296023173,-0.036532791092612385,-0.022415385104335165,0.03226205025011592,-0.06315055301532342,-0.03568483515810233,-0.022008715144735954,-0.04777008241625231,-0.013414246467420605,0.01174699178694269,0.03687144452152538,0.020199459288405563,0.035407676766768675,0.11300780458790823,-0.04093722103697585,-0.05297650004105343
HEBP1,-0.03533407748295532,0.0006558709783712655,0.03234861574927044,0.035856594951367865,-0.039222858851446045,0.015591825625391678,0.030446443916693516,-0.004759028795497173,0.0653549644267669,0.03434090252258039,-0.022205850900481352,0.06492982350357404,-0.0017184536273449492,0.020928104745626355,-0.006205068807837823,0.03648442925669317,-0.01584642546318691,0.003526856494941512,0.05717667573154117,0.04029088463004539,0.017945553125913928,0.02842403104754983
WNT7B,0.11580214054623766,-0.014619192296942132,-0.014042650665421002,-0.025119144814765407,0.13590616655531118,0.009615242779478556,-0.002691546930260559,-0.02335244460129026,0.018160369653379548,-0.025988328958590334,-0.01666801963232824,,0.012437075820101761,0.004635709671558776,-0.030160585187633468,-0.03817010720888619,-0.0362885015288379,0.036926248935317874,-0.018448206756778766,0.06714458518515706,-0.003067695937799469,0.009316911953456467
PTMA,0.12075270392587019,0.005721567773075234,-0.022107345498845195,-0.015001733268315826,0.03826792020487793,-0.023337972147541575,0.008724443271572622,0.04163719032329399,-0.06996819018096262,-0.00047065194163278557,-0.0720454552923503,0.07577446545803987,0.07252023368640623,0.09143224981612422,-0.01181735347453532,0.017433865003286173,-0.013689020676538943,0.054183866935031993,0.09080189639661146,0.027502074364631306,-0.10258372960154041,-0.0367896644327553
FASLG,0.08954017642507514,,,,,,,,,,,,,,,,,,,,-0.02128500164818474,
