,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,0.013527419671157559
BMP1,-0.015335779157992264,0.014828667975099262,0.03762128494733023
NDP,0.05427862306162906,-0.018713264759235463,0.051809788898183655
TNFSF18,,,-0.038897058345121374
RTN4,-0.03569392497043035,0.07375932085693629,-0.016227279079745797
HEBP1,-0.023548182126185393,0.04390589975392423,0.0483013065583984
WNT7B,-0.034870370073204114,0.06398399109539732,-0.02297740134761884
PTMA,0.014333556853847422,0.06171364010408456,-0.04137908490876443
FASLG,,,0.08139107605875204
CEACAM1,-0.016893070866904305,0.0005747762651029777,0.002568495782628471
PDAP1,0.015638734835592152,0.005143246668929963,0.012171079769255569
QDPR,0.03582102951837189,-0.08624854756035616,0.08286887326261422
POMC,0.01777478348177438,-0.031240817343369094,0.012129591434956689
CCL18,0.0029258202777645236,-0.03052155505432704,
CCL17,-0.024386208333802093,,0.20739796602197508
VEGFD,-0.016893070866904305,,
TNFSF13,-0.02650697472090541,-0.02144508629897718,-0.014388957323392071
WNT5A,0.02004637831683922,0.05566139676149493,-0.016347681851786214
CXCL8,-0.09196018466411422,-0.016787279478667042,-0.011666411406705428
GRN,0.028374511243375873,0.016290681197569472,-0.05824411035928135
MIA,0.09193245661278042,-0.10796549254820344,0.12134559297004612
COL4A4,-0.027048447840106262,0.05178916376106295,-0.05323390578476966
TAC1,,0.026277633586122943,0.04492091451982984
RARRES2,0.010505647816631247,-0.044290814422324874,0.002880840237147772
FGF7,0.015915300257214667,-0.005342800000350965,0.07796304558296446
EFNA2,-0.01605573332270715,,
HBEGF,0.02432302767349564,-0.03438386940294485,-0.02874180554157267
CSF3,-0.06951575353334519,-0.02737871377610976,-0.019085151570474013
PI3,-0.03365009259250904,-0.08402084772194661,-0.041465693942608496
PCSK1N,-0.014867826989151569,-0.04634642067707983,0.0693512949557039
NTS,-0.019560864262791276,0.01840091792723151,0.11904476517331264
SFRP1,0.0309057261533208,0.017490999996494058,0.017634717518311135
CXCL13,0.07104925643871143,-0.008393125990359605,
MICA,0.013174306803628431,0.01935632516827833,0.021887370714204962
TG,-0.024091342663399858,-0.02253310215495629,0.06416913831178832
ADA,0.019700825136218608,0.03642561576836916,0.01896303855635432
LAMC3,0.06990901692698046,0.0944612570626551,-0.017872677299283293
CCL7,,,-0.01999938883260052
NGF,-0.015839917254917315,0.02388588064399227,-0.029430127978419467
TNFSF15,,0.028408312430600918,0.01490278573185153
HMGB1,-0.011904486807200711,0.014721408755315479,0.07854733980452498
ITGB3BP,-0.019454312356084177,0.020393155705718806,0.027259230335440685
AANAT,-0.021606668427088496,,-0.021160187402968263
RELN,,0.015026030973072554,
IL15,0.015545344956077246,-0.03220457844110901,-0.018605978624295468
BSG,-0.022422620531345472,-0.0942457728256022,0.01759644541400087
ADAMTS3,0.07307963170271277,0.0675742358278996,0.09646757335116975
CD34,0.07418203566966566,0.03982435848420022,-0.005248569918721159
PLAT,0.009764449145712445,0.03899156303722802,0.055482968637690706
NTF3,-0.04216680788493693,0.011506334593137768,
LTA,,,-0.013482522521872407
CKLF,0.04173110911495901,0.013500227664064314,0.06101138528917227
CD24,0.04160863783265454,0.05273612801787487,-0.04013898291220015
HSP90AA1,-0.06060609149118469,-0.018589430114011322,0.005144193803309358
BMP4,-0.0371587307991426,0.05501965010199727,0.08723709735450208
SCGB3A1,-0.0043212257381667575,0.09596488232219397,0.009064478760224943
IGFBP4,0.0434935530981845,-0.010075922790467635,-0.03334613013201539
RSPO4,,0.15018214977617292,0.06406513578755191
LEFTY2,0.003868184472795089,-0.03233635878716263,0.04279117292643913
PF4,0.040512535636226595,,-0.013416513389618636
ANGPTL2,0.12117169427391129,0.06999498218704123,0.053396625795176726
LRIG2,0.026823191401416122,0.029228138708751315,0.021581326692473233
ICOSLG,0.09160473383344109,0.04552713488934738,0.03466059049084269
WIF1,,-0.004897365653699431,
NPPC,0.08015720249865226,-0.03172771535871406,
LYZ,0.07479973688124601,0.039252126242727885,-0.0664415146986287
EREG,-0.019777626093000614,-0.016761171741095645,-0.023832502807943086
SPTAN1,0.010808966887833896,0.033783976802465,0.08202264288516442
PTH2,,0.050991835559768356,
LIPC,,,-0.03600749777209473
COL8A1,0.025330474652326396,-0.01396931356264801,-0.07561247850131185
GSTM2,-0.034885856934607405,0.018431546562811853,0.031895644748591905
SPX,-0.018272032353308855,0.03303152836579915,0.20936466151878216
MFGE8,0.04341566368863788,-0.02853558765377468,-0.01966418443021766
TGFA,0.06785309756326124,-0.002475509258505836,0.10202428555990864
SLIT2,0.05878487149537628,-0.03142318487173533,-0.013999236856780237
PLTP,0.047247058161882134,-0.053905196815208625,0.03941604998718458
APOD,0.08293684836006557,0.06233896177183497,-0.0823133670596091
B2M,0.06508550409196746,0.007342477133348459,-0.09137416904135036
OMG,0.07550272569537164,0.039627938527671665,0.10232271557178259
CXCL3,-0.003415243947418273,-0.00621768502975661,0.003341098437517515
CXCL10,-0.019738678545148672,0.026656858161097495,0.06233906733623265
RSPO3,0.023791771547531988,-0.01195474187713363,-0.00022813052240541233
CORT,0.010406978811473549,-0.039545819219776755,
NCAN,0.07471532361014752,0.058146490166427194,0.14938484822489953
PRG4,0.05011526073727046,0.029510781475920008,-0.03684989958126963
ZG16B,,,0.008743655852132777
TGM2,-0.0042622390905423125,0.03252247930107218,-0.05383396212412666
VEGFC,-0.030855478626399358,-0.020174508201242093,0.07146867989935574
WNT6,-0.00038736888002317116,0.016039072651401448,-0.030562516758423263
NRG4,,-0.031399319992845336,-0.02029547125006222
PMCH,-0.0030093702584879983,0.0022845594764387355,0.028082421500886922
COL9A1,0.005545026959790293,-0.033764883923229044,0.09478833184674333
GDF11,0.008548324162713302,0.037929529745971254,0.039239409275467395
RAET1E,,,-0.02226398775810521
IL24,-0.014481548994077208,,
SORBS1,-0.012742387865955277,-0.04938542685287537,0.06677529720508571
DLL1,0.03295001435685007,0.04902032685923969,0.03939675474931734
TLN1,-0.08024526836118412,-0.00832503583653535,-0.06952222989438964
COL2A1,0.11213838006717512,-0.03808512960495202,0.04025690417547283
SHH,-0.04021024588669399,-0.02708162116852747,0.10215136456479583
PON2,0.08665131290315913,-0.09579926912378665,0.08921817194170209
ICAM5,0.019192988689586847,-0.026182229967608647,-0.005294194342904105
HPX,0.04651690968228302,-0.0013096306299799504,0.0630942999636179
SFRP2,0.10027121209842513,0.02907910441610499,-0.06110425447934887
CD70,0.0036231363991774644,-0.03774622483957048,-0.01787866514375256
HP,0.014162282918880808,-0.02505488688808761,-0.03035980518737288
CXCL2,0.003184258835651111,-0.03510535843867336,0.07207495006237215
NPPB,-0.020850345373491192,0.02719321777434081,-0.020587495272081632
CCK,-0.028028541223238043,0.0576283123502223,-0.026707539073558825
SEMA6A,0.02306602536195088,-0.03483884955075575,0.07921027127792599
IRAK4,-0.02057659855002469,0.04017764259147134,0.07236854136449404
GSTP1,0.08064730892316076,0.07509970143260768,0.04119774289418411
VCAM1,-0.021538661367244576,0.04893572441801094,0.06436666342538223
NXPH3,-0.009089252433428804,-0.032562338797938586,0.0814707162850434
MTMR4,0.0009732527532844284,0.07903333516612514,0.00681727999252011
LAMC2,-0.019018337273896978,-0.017547938137026348,0.037862607884850845
IL10,0.04898824317481853,-0.03507557704432747,-0.05938818934047431
SEMA4D,0.05227577207929554,0.031064528261823463,0.07629347301976819
TRH,0.051222550340947415,0.028417257431821923,-0.02305937533251182
SEMA6D,-0.012326973219124132,-0.011425047549746594,0.057398302252937565
CEL,0.13311687243136405,0.024078912847009974,0.03573583168804548
PDCD1LG2,0.0014882257576528306,-0.00288787511702196,0.022711639323638205
SPINT1,0.01530202184933836,0.007476688309139838,0.06564093891894336
CTHRC1,0.034328706644293216,0.06714011719132257,0.013540515534615164
PODXL,0.027041849036997457,0.056980815934957095,0.04868096076593199
JAM3,0.011238944412007823,-0.0051239506293742805,-0.04057370308181248
TGFB2,-0.04641956279470616,0.047965702226072764,-0.02822513376165927
COL18A1,0.05117450864029491,-0.005678353090905673,-0.04320135684116248
NODAL,0.02704489658734927,-0.020067383379374405,0.05082324297111137
INHBB,-0.009345162717863717,-0.012926833961013457,0.05546518792733909
LCN1,0.0782645095976377,,-0.023318895431962756
ARF4,0.042729033152345296,0.07057879329824286,-0.037364104553554184
CXCL14,-0.008124606940805003,-0.0660643200324453,-0.01106760631865622
LIF,-0.03071822951405469,0.007908924371694112,-0.04290262746812501
IL17B,0.13988625241019617,-0.024965689625822112,0.0694207281085353
MMP1,-0.0278440184818098,0.12875440691818257,-0.025103585202045777
MATN1,0.025268030504114802,0.09201370688723898,-0.028045127900412775
ADAM28,0.03420353563458502,-0.00750850075589264,0.008058645550451915
TCN2,0.05412095166083657,0.07258032851394747,-0.03281587594145322
THPO,,-0.00582633344592448,0.12366054000603702
CUBN,0.04656951843251543,0.031272777577235164,-0.010374883301106998
TIMP3,0.030882586190443522,-0.039276695590740984,-0.027770004476391955
PIGF,0.010347869830190703,0.02064167669613467,0.06032907153484175
CRH,-0.0020792887110182424,-0.039112127529579106,-0.03457893740251903
BDNF,0.013099782218002141,0.036160339627552,-0.016297954285002823
CCL5,-0.012014988389050215,0.00015626977895940076,0.0349508205641578
GAD1,0.03331746078008894,-0.0378346489104811,0.05375932247918339
COL14A1,-0.04445966825399062,-0.05702540691592077,0.031639651798122566
HLA-A,-0.03071805171442569,-0.03755505394411178,-0.043237986274191564
FGF18,-0.026370144992729903,0.0046795311681307765,-0.02305937718254741
ADM,-0.06025581658813335,-0.08537399831810187,-0.0021758257334490686
CCL15,,,-0.01999939604024903
GNAI2,0.02610905927703411,-0.01797537669793692,-0.005975953368983071
HDC,,,0.0425581616743721
COL11A1,0.026354515882764898,-0.02207613247867703,0.038899470539955905
NUCB2,0.012112584086639608,0.007822611141300534,0.011178012436536289
CXCL1,-0.04396901194587606,0.04818078255093029,-0.04112675143706193
VCAN,0.050876574503833004,0.05294127642830237,-0.07204460709964138
MMP7,0.01559039869433705,-0.06152009224167174,-0.08624536389659733
