,UKF259,UKF275,UKF313,ZH1019T1,ZH916T1
IGFL3,,,,,-0.015714765215923073
BMP1,-0.015305668582092709,-0.021649298046130586,0.031697120077082044,0.06584843722548105,0.08521544832208486
NDP,0.0307601977913883,0.043387135447463525,0.06572115537095795,0.05182672116685831,-0.0444648006108942
TNFSF18,,-0.011390332727216072,,-0.05763966754574892,0.03765054372787843
RTN4,0.018011115154956712,-0.013466081582220669,0.054926703170113916,0.06571882963646253,-0.032562850880619325
HEBP1,0.008431764965455122,0.08155496510281507,0.04752447650874616,-0.006234563103885413,0.03024240467605787
WNT7B,0.04368266566496082,0.015691558811059367,0.04844713525613157,,-0.01977302557038643
PTMA,-0.009157658472167499,0.02967280710666504,0.07638349598180813,-0.027976501163172265,0.12529886708456084
FASLG,,,,,-0.01362941051060046
CEACAM1,0.03973664423813954,0.012884258371236055,,0.05378479672766319,0.20558978097351754
PDAP1,0.003218228414907153,-0.05957844406355009,0.021368642646638434,0.03023525618335968,0.01836012838700835
QDPR,0.010871289910398877,0.006858036883180673,0.03301398405607954,0.019280128903607675,0.013370958761706244
POMC,0.01543865891840379,-0.013216441370366686,-0.009951086302841434,-0.054927331566052603,0.07935299567516231
CCL18,,,0.0489173073341961,,
CCL17,0.06906850023748638,0.06298799284984223,,,-0.012353529777664636
VEGFD,-0.024977609655150116,-0.015135251530063528,0.005352591323549887,-0.05510028383593407,
TNFSF13,-0.0154643522447181,,,,-0.02012904566546997
WNT5A,-0.022032303557301652,0.006698099957422958,0.08117696795077126,-0.04576746206353983,-0.03382940185703776
CXCL8,0.11958563415072733,-0.017255364435215602,-0.07191292810041208,0.08564838810876536,0.0262654995525529
GRN,-0.03253743671085508,-0.016601606815078582,-0.020387853224875893,0.016113693240126476,0.027771011224290737
MIA,-0.013377006735919104,0.00271554526164946,-0.00587740454758065,0.08260772787484816,0.0348142283450003
COL4A4,-0.025317990181843854,0.0034934783999488288,,-0.0431446074012778,0.011002530697144948
TAC1,-0.004550663640535051,-0.031662165079833667,,,-0.016239971052519828
RARRES2,0.03650904835048735,-0.012926301267824502,-0.04137588950111597,-0.0746739246676384,-0.051156496197740195
FGF7,0.03805558925276847,-0.024308734413705013,0.06286197353865453,-0.0516085656650986,-0.050388332931991416
HBEGF,0.03167793224390171,-0.023435896829835563,0.03226771136632638,0.028568783010263676,0.02353373873083729
CSF3,0.05038021590531193,,-0.025529142781940548,,-0.013006361098978472
PI3,0.00509136676787556,,,,0.06859814755967958
PCSK1N,-0.05438887783252878,0.01221423867778467,-0.009142753663464611,-0.03820216989766115,-0.10998842556931128
NTS,,0.046660729293067645,,,-0.019260647224352598
SFRP1,0.0548676848850683,-0.03146001246608663,0.002772545714927425,-0.044634335737048135,-0.018813078578588917
CXCL13,,,0.07707110780700893,,
MICA,0.04439431080409133,0.050501004677832195,-0.000670523046233983,0.05587327241330067,-0.017575307139305982
TG,-0.021110208322066042,-0.014311969656308631,0.02169919457645173,0.006450794312471264,-0.02536488500727263
ADA,0.052538237851129495,0.027654269907527156,0.07707730463979813,0.06476567754729504,0.0029406485047067683
LAMC3,0.02005043775499761,0.014156935067991207,-0.0006066794386244106,0.0828452933197822,0.030640068027477336
CCL7,-0.015262646888455257,,,,-0.013629405664144766
NGF,-0.0001250495086409019,,0.06952769150064377,0.05154521075708018,0.10785682593154972
TNFSF15,-0.01699570379679188,,0.08089150172169123,0.07079353756278839,-0.03601124946666658
HMGB1,-0.0021843558662059987,0.031863922529890766,0.037839199940245635,0.0002950636619587282,0.004558072619709912
ITGB3BP,-0.015745683543798274,0.05190255315600891,0.028564695061813795,0.08540920829117314,-0.014984826149323588
AANAT,-0.015464353895198981,0.0308136498701101,,,-0.01442047956856888
RELN,-0.015837895575546018,-0.00850719662311998,,0.029070771387210762,
IL15,0.04684312546898041,0.022850208737208288,-0.03822754628057476,0.014335147751053223,0.021649398532952197
BSG,0.004800656844183293,-0.032257115076344225,-0.07136771306495147,0.01984828558928624,0.0007679815366951278
ADAMTS3,0.06063629713222742,0.00795675559288536,0.033683037434769726,,-0.025400078632186445
CD34,0.012804036730776135,-0.00016033734359277942,0.04769458146062715,-0.040817144291332326,0.06985760974771248
PLAT,0.02010171340801315,-0.006081200180463994,0.010371857509276569,-0.05466234479953417,0.02885563247440528
NTF3,,,-0.009970099464482882,,
LTA,0.08618550031132266,-0.01239595829822135,,,-0.019407792280865303
CKLF,0.0015017601808633024,0.052022234473724914,0.04174137149677157,0.0318878369201341,-0.007416849187644258
APELA,,,-0.029969756046764977,,
CD24,-0.030555552568710273,0.03245613476423339,0.046519836275483964,-0.12019991440812636,-0.03822123865469862
HSP90AA1,0.0492837477134029,0.025252114556927805,0.06361231729782263,-0.03451672551842707,0.02969336406055733
BMP4,0.03351832463617356,-0.0031354248036864828,0.00829079599080811,0.036744121641006086,0.01408792844277621
SCGB3A1,,,-0.03403635717082407,-0.05912136099113951,0.029934244157010407
IGFBP4,-5.911474148482638e-06,0.016098349193548942,0.05761549882298923,0.0012844468433599236,0.06719403291929488
RSPO4,0.029106566874551824,-0.014417254147564233,,-0.035956356996618186,-0.025596846470158228
LEFTY2,-0.02222330943873922,0.011358945599034474,-0.018382145082999048,,-0.0018389561726728251
PF4,-0.013316358718103924,,,,-0.019407787789758216
ANGPTL2,-0.053590464383227045,0.03621414458928678,0.023850259103217634,0.0429381577443873,0.028461068919787686
LRIG2,0.04901495099541022,-0.02670784621112985,0.05775560541222762,0.013528568698915291,-0.05154718407996392
