,UKF296,ZH1007inf,ZH916T1,ZH916bulk
IGFL3,,,-0.018602411262844513,
BMP1,-0.015315490210443646,-0.0922039877443567,-0.04389446262443494,0.025456632986243198
NDP,0.004452605206438797,-0.023852776182998574,0.06738907748285859,-0.022718138298244202
TNFSF18,,-0.024507793190574216,-0.004086898533097887,-0.03337151193824767
RTN4,0.014587141474803637,0.01612546864153044,-0.00633525414030407,-0.03973192726113668
HEBP1,0.007944966101216921,0.05772255932668718,0.009922334737579551,0.05533152612797367
WNT7B,-0.01898563215319429,0.08952734183756676,0.014790596954401887,-0.001164064010933343
PTMA,-0.005043548952478233,0.013658506613379612,-0.005256679097832871,0.07060595637605291
FASLG,,,0.03504918626140672,
CEACAM1,,,0.05166019346707334,
PDAP1,-0.014655346630467464,-0.06304914558478962,0.013743910683048255,0.07736308469338109
QDPR,0.029723856137252303,-0.08728707217549433,-0.014805279972076953,0.008788495327039259
POMC,-0.013269769566883928,0.028331971505228662,0.012202641133776952,-0.008775721268439628
CCL17,-0.023498890402161538,,0.013600000812418307,
VEGFD,-0.01723672029206691,,,
TNFSF13,,,-0.02382783201992975,-0.036303444886822786
WNT5A,-0.029431929985585633,-0.07373967451917532,0.051197296353059384,0.043093631317868024
CXCL8,-0.016051583413487593,,-0.0514969092499593,-0.04934595625440032
GRN,0.027683661870297284,-0.004400994406171235,-0.06378799974533414,0.00046065191411456976
MIA,-0.0196031393127327,0.0414304369043828,0.013004768486591661,-0.06650241523101894
COL4A4,0.011183007414888979,,-0.01014352735582784,-0.04057459665049845
TAC1,-0.04457410084841237,,0.002585969194271137,-0.023477654352262543
RARRES2,-0.07512898439412835,-0.02321193326502098,0.05854125213825368,0.03417690357893581
FGF7,0.07059366096388173,-0.07316622642871719,0.07289601950569394,0.027577579305242392
HBEGF,0.043694384493472696,-0.03081633984986514,0.03485777300801717,0.017831269915109058
CSF3,,,0.011379894537623185,0.006406993506825604
PI3,,,-0.007109649646989984,0.01345293857880478
PCSK1N,0.016829836075378468,0.0035002198543878137,0.013001011538544525,0.06305061779466362
NTS,-0.03151803403024196,,-0.022799862163573895,
SFRP1,-0.023498890638814666,-0.10317049893825637,-0.0034504697637897184,0.007018388943059922
CXCL13,,,,-0.03461914238718572
MICA,0.03197281150028788,0.014969087072917683,0.02147360459950361,-0.015865059334771694
TG,-0.017006044937266346,-0.031407881345204745,-0.01603647370359721,0.015506908831817929
ADA,0.015545825489072502,0.05870720791837233,-0.00361492197712553,-0.04560687112505856
LAMC3,-0.023784083494971346,-0.04624176057384898,-0.028167603037050137,-0.03290674931422624
CCL7,,,0.00950070936862505,-0.018558868974923037
NGF,,,-0.009783262514745603,-0.048369350595884035
TNFSF15,,-0.02895011592359525,0.03530855536867893,0.007584696607745801
HMGB1,0.017940015122051806,0.09146516272876484,0.08628942098794434,0.07270950791109036
ITGB3BP,0.04065688526000457,-0.04514342197142319,0.12196623410715651,0.05664892891305773
AANAT,-0.01960314040310936,,-0.01707029585590966,-0.026060253645148586
RELN,0.03057076669750508,,,-0.01334751715783442
IL15,-0.027660683797789624,0.043923087484662074,-0.006408133671722784,-0.011206585436444785
