,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.019515426256203068,,,,,-0.01660306071593384,,0.007921932867499678,
BMP1,0.07619041406195479,0.037309641584071365,0.06288040440348458,-0.024519630955979525,-0.004602040160019241,0.00245708911896332,0.12524090041641803,-0.02290799162814824,0.05982442818619791,-0.032082587348244505,-0.016880589396307585,0.041940645521197924,-0.018022397316289848,0.12872825786210854,0.10157041710746677
NDP,0.10775301119366658,0.04722840388016015,-0.013303805602479955,0.0362058476574223,0.06562550472581588,0.025950222845888826,0.05859489026631262,0.016694716535669053,0.10685471543142175,-0.023677242351619054,0.04327805831585448,0.06636516518504129,-0.007015521902576759,0.09396949471870802,0.02976502771631864
TNFSF18,0.01661061799095555,0.013162537752234414,0.054822228676005655,,,,0.038597127811240056,-0.015018611665309618,,-0.037358394066765055,,-0.017122443455110898,,0.026275401361522267,0.06952971088897864
RTN4,0.003193503958988927,0.037529625915996616,0.014870215832333984,0.028926937863241176,-0.001247801844990903,-0.016085440960709775,-0.08856927533509015,0.022489026841529227,0.017894474983291733,0.058849187199375194,-0.05922310910291782,-0.07734038562603707,0.01738805115685811,0.042650352493156164,-0.08059621418846712
HEBP1,0.03824018219974027,0.04145875944211715,0.07095005282004427,0.026276818677979836,-0.02828644483652785,0.0533701069542159,0.05254724204474061,-0.017952970970106168,-0.06965289961219907,-0.045467995358179095,0.05651051539539741,0.03306313754748829,-0.006519513135108222,0.06344850631305878,-0.03848043204729477
WNT7B,-0.015390321966587678,-0.0016749489143698258,-0.01862856095221397,-0.04139646787047283,0.035384259766494966,-0.04173115424615319,-0.023451108947385953,-0.02188639152140992,-0.0316438941582175,,-0.029248146505703544,-0.02122009821577165,-0.02036666850899357,0.030745016517444622,0.07529861553307482
PTMA,-0.14676107824715198,0.03751212753763249,0.0318894680747977,0.11624287048798253,0.04390659041195296,-0.04401867010766942,-0.04264568066763346,-0.011670740250882607,-0.08236959955695165,-0.03941497831070055,0.017548814218733125,-0.08875264050118502,0.005725191665834196,0.0007434667353571043,0.007008073915460137
FASLG,,,,,,,,,,,,,,0.02281844388871219,
CEACAM1,,0.015124926769771495,0.00809103693967163,,-0.038038953074197565,0.02402813898474395,0.04582346809153494,0.023754218308870742,-0.05012623741755757,-0.02626929128533027,-0.01920074087104598,0.07798143860203083,0.013735721254539679,0.08973839638851452,
PDAP1,-0.020138838944785936,0.07529173824760635,0.0028165752658753786,0.03422368094028803,0.05328212995433264,0.007213038771706264,0.11256428724016407,0.01913021518324471,0.05526105272713244,0.09557424619634562,-0.08641638943566264,0.020456323967596644,-0.01471968725247272,-0.005546674176316436,0.0062663389507775615
