,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.019501618901820304,,,,,,,,,,,,-0.03342451374743111,,,0.07946882180333174,
BMP1,0.08694804438444859,0.09848437648666834,-0.045645821573867616,0.06518541612172665,0.008864844940746937,-0.008783275618576204,0.00021724725470035434,0.14643766827716484,-0.023400504213802322,-0.015881320318307843,-0.023311380153674215,0.07006736486937756,0.0020335969963857065,0.01718246432915608,0.013023883047830039,0.04763532344276675,-0.006630053029162112,0.012536017501551679,-0.02196454943279217,0.03639578753040318,-0.04920895051535205,-0.07770028783604185,0.0422357727593195,0.1042039141685214
NDP,0.08141381189682262,-0.017764178513347006,0.0007618107929222635,0.03615473760959777,0.03440791103747965,0.06384862828777135,-0.07444872932767889,0.006604047174612111,0.021895321168027858,0.06409717813691172,-0.011132029694821532,0.03369272943967011,-0.01690434493634826,0.049916074356834164,0.06632425682769283,-0.01926847613537997,0.03053930990821965,0.03715185025032053,0.06160957553171299,-0.04290543161939642,0.009018348897780614,-0.005397159640308745,0.0891402999660505,0.12376414177470495
TNFSF18,-0.0286182129420672,0.022550619295630896,0.011958321218425709,,,,0.035251893262809954,0.0432331867979578,-0.021358270381915616,,,,,-0.02773828574749066,,-0.04094123976790455,,,,-0.03447011105041162,,0.2182431921075275,-0.028030658948851657,0.08837773387279717
IL36G,,,,,,,,,,,,,-0.0045592745705648596,,,,,,,,,,,
RTN4,-0.04149917760658714,0.02672752010900245,-0.022992161853827367,-0.0191149709065974,-0.004736588945100624,0.03045014657756657,0.003058599016116521,-0.15425975980366793,0.019525152695212662,-0.008313401879684561,0.07676089709661484,-0.03171479534213331,0.03128034718397272,0.05648544113324936,0.011184831530986311,-0.03524008878039652,-0.055826046621111416,-0.04577042773205502,-0.09606296169730186,-0.01941558022920438,0.064995220962395,-0.022678548669585248,0.11250420394400938,-0.09696541382331758
HEBP1,-0.002752686858301436,0.04519624451012594,0.05006654725006111,0.04593686967077328,-0.048699143718098276,0.03421873919099485,0.028925694448504916,0.10959086945372619,0.02441273598854734,0.022243273246225236,-0.04324153685812807,-0.023022863909797353,-0.02254836422861146,0.013060301334287781,0.09687866538036866,-0.007551329821679929,0.032340312329489584,-0.0055958485317571145,0.04592794545254365,-0.012170979644147057,0.07002198706541146,0.003993498403999383,0.057731525312654255,-0.015412279933111997
WNT7B,0.0666742772751583,0.0592428708494104,-0.015334147844198141,0.023230316941328155,0.024001822091845343,0.012909072404763597,0.03668972682328297,-0.07173909892916706,0.01039038625883203,0.029132246144261426,,0.031519930556171194,0.038201648813052824,-0.005122457905832344,-0.0016128480398624077,,-0.03810891500024666,0.030165012913193845,0.05048396868816369,0.05656550916799372,-0.04970680217200726,-0.040316387951459136,-0.004520609650996797,0.014255125204064674
PTMA,-0.1800563433550415,0.01495288909453222,-0.016187770542538435,-0.030017552903712167,-0.009127413363333906,-0.022134852380887075,-0.005449297942409143,-0.0904004037799412,0.009660035661861804,-0.0074486232853948064,-0.09974118784409135,0.1086760776488703,0.00931904623313602,0.044323962848152376,-0.06590668664918178,0.017390122732893202,-0.025320568201643807,0.04837904659675076,0.01659873459723357,-0.02539965703205235,0.05182399442515888,0.012828462483527212,-0.10970824494520434,-0.0033954824917074187
FASLG,,,,,,,,,,,,,,,,,,,,,,,0.049893946624536424,
