,UKF243,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.015533297446074689,,,,,,,,0.030127760640516456,-0.029827635759672462,
BMP1,0.0656687902737119,0.0636555878603123,0.018881510987131717,-0.01935965591986556,-0.05550169390411316,0.14979392170034292,0.039528698973960955,0.1211764446581494,0.07413110062918593,0.08556144115126686,-0.1023802207561456,0.023775045530091233,0.008256663890905206,0.08094468010981248,0.05956782614673837,0.07175786952548728
NDP,0.046178507002523066,0.030090729807971287,0.059431109323559855,-0.008246404544413456,0.017388057896222036,-0.002909836831528282,-0.014373183960210872,0.0762849565634972,-0.0016481071982740148,0.08883627728855593,-0.027176948518954983,0.07646517655159293,-0.00774481906613761,0.027366651737085947,0.08431533303855175,0.08339445842227443
TNFSF18,-0.026650798952818827,0.05419104020505839,,,,0.0780915534887889,0.03582122666949357,,,-0.022941456167935102,,,,0.0781436408990099,0.0021814640787010758,-0.0063160813942810656
IL36G,,,,,,,,,0.16514984237359867,,,,,,,
RTN4,0.02032816217855361,-0.01830132662992596,-0.004882640674573737,-0.03876225582386178,0.01807619081999916,-0.1182828467547621,-0.06698534509175014,-0.032498746903544144,-0.039398577695422696,0.0639488751014433,-0.04096278405674674,0.035172200455590684,-0.007631642135308908,-0.13104267223706528,-0.037547448000551084,0.06035817723531578
HEBP1,0.06847563383329043,-0.016389403513479364,0.012932240593657676,0.019555147045641486,0.04184538779220495,0.017918803301141865,-0.04949700709703949,0.03645259080892578,-0.04602264927725173,0.06205656190492112,0.04373090106867077,-0.06964061473830335,0.03819060721063691,-0.01475065988330503,0.12254212244522032,-0.001283763589019298
WNT7B,0.0088395246371,0.08088525852792025,0.06397776061226089,0.007472537617741831,-0.003704398066288449,-0.02875065491671707,-0.015424085140793074,0.04227218520883796,-0.016577860248930827,0.24016903179954285,0.02686881123194059,-0.03673613964191898,0.08772653700246065,0.05050628940963176,0.04568830456073696,0.014332906935443788
PTMA,-0.05832067061725649,0.023802814509434413,-0.032230912349354615,-0.002666407930136327,0.03678502760627394,-0.096488915210504,-0.037882383346154104,0.05356916076470273,-0.028103111426695044,0.0024196403459234082,0.008470205149970043,-0.008222615023367434,-0.005924024435259717,-0.02193013003410255,-0.002069906941610559,-0.014666977243463206
FASLG,,,,,,,,,,,,,,,-0.02586949831851895,
CEACAM1,,-0.025867368107707064,,-0.005698283960296167,-0.02178702204289155,0.08571090474416353,0.04279199434195466,,,,-0.03368227947904169,-0.020585070936355806,-0.01846121303668388,0.03608876135097337,-0.035993607372515925,
PDAP1,0.010093411771161067,0.00520505384418108,0.0022722989116139734,0.018632322496945887,-0.026481144991239783,0.11011419680949673,0.031797771452883275,0.07450412562489432,0.031568686579413134,-0.0015921922257062695,-0.0413401205734818,0.00016936090240440336,-0.08458708307024093,-0.047886192574507484,-0.025573812892187756,0.011467107768170014
QDPR,0.0415454455382869,-0.005916710817525125,-0.013660920344440669,-0.0010652684002224661,0.046101878186415486,-0.08826421243310381,0.000994684647404806,0.04909107277987532,-0.0015007950669948087,-0.036390429272776165,-0.03253990437023846,0.003342307309919353,0.04989127020980904,-0.049481012941449104,0.03557705541802219,0.03899612482512371
POMC,0.04779036523501786,0.05197894670216848,,0.04826827796579314,0.04334885183635306,0.03370525357290665,-0.013546473694648937,0.008037303823237973,-0.032315304100257465,0.09810508932057771,-0.022635653376556264,-0.04942616450789488,0.015841637856605896,0.08247409225360287,0.03713644348350498,0.03320851248180332
CCL18,0.06427881256675617,0.012702066713992929,,,,,,0.007293869931021732,,,-0.05705532425937929,-0.013305161243376993,0.0009828429835556265,,,
CCL17,,,,0.029479701787233945,,,-0.01456070453984554,,-0.01377866979936349,,,-0.01460411148390456,-0.026649920002956597,-0.02652819023397683,-0.023447794573544588,
VEGFD,-0.04026956213078527,0.021055116373601475,,-0.024550564686961384,-0.020844589149570495,-0.02602243993235958,-0.015513199125871216,0.05636568878184171,-0.01476702719535766,,0.12144738145093999,,-0.01846121303668388,0.08419116468581708,,
