,MGH258,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.01323177867296164,,,,,,,,,-0.006242086287863416,,0.07237351683732378,,
BMP1,-0.019000576383475763,0.07198589894332293,-0.03365998225923919,0.02270187826392941,0.011803094601254354,0.0804969637813304,-0.0015867270919554428,-0.021097491117197525,0.03659869228251154,-0.056668737892373054,-0.11395489401254116,-0.03896932991429625,0.011677322793635436,0.007821248673689054,0.08369519803480716,0.03314596387390734,0.12658247147353677,-0.034317931934662496,0.04684975479339062
NDP,0.028604254597742206,0.043862784921433695,-0.012788322710762448,0.01446736565848283,-0.007845885866452178,-0.03002871942810825,-0.0006840538713589617,0.008930527047473697,-0.003695347784485944,0.06704717367194094,-0.060771786354414395,0.08562451742357624,-0.010662614700886162,0.012243763766954628,0.020985545836052596,-0.009411585440662316,-0.002835789880819657,0.0636924058611365,-0.014097232459107874
TNFSF18,0.20378051631922256,-0.027232128600384403,-0.010673584255769092,,-0.013633036441563605,0.020134236841482404,0.0624977632362841,,,-0.022534320869560476,,,,,-0.007903013517884565,,0.02135343637328469,0.006719907175044952,
IL36G,,,,,,,,,-0.013752909901546135,,,,,,,,,,
RTN4,0.009328453077181382,0.07024807214987772,0.057877710796466385,0.002119785782687132,-0.030066285842951155,-0.07419626080248189,0.00037736336440718425,-0.0698744446989457,-0.027541872524681293,0.03517540682231779,-0.09259701382425675,-0.0013759466732804948,-0.04802057508948595,-0.06548017319099353,-0.02950165744618662,0.017564824044648014,0.010262166033222575,0.00871422133823653,-0.048453686433177955
HEBP1,-0.011314097394837885,-0.011618762878217354,0.07316153329112435,0.01605484212324524,0.012673501002464456,0.0614857687687267,-0.007855828560366514,0.037279528200463326,-0.0065387411807615314,-0.021538479101481427,-0.0092340591159182,0.010676673971973475,-0.01571089868025774,-0.015609423205477932,-0.0352175388348039,0.04569872471358803,0.02077864567018486,-0.002559782129321199,-0.04736204460730344
WNT7B,0.06622525026964356,-0.0403005632509783,-0.019936822824619334,-0.02495040085018759,-0.036222528092774084,-0.01147897891129326,-0.003589740995095886,,0.02861781186889586,-0.024808087805761617,-0.040263490781261846,-0.017407319928655306,-0.008250648170418956,0.01235726140765715,-0.04515155838899705,0.014650960091162499,0.030137555175142734,0.025582410795578013,0.010917470088663879
PTMA,-0.05625181826349978,0.008604767594087116,0.05171403550341353,-0.03223112725999928,0.011832391031529207,-0.02732980228310872,-0.047103875382582684,0.05199996747571633,0.05301251982792851,-0.008539205105842104,0.02570042248914197,-0.08675289279286469,-0.06935365101565744,-7.74203359747959e-05,-0.03160734965527649,-0.02599961198590311,0.027587238402199198,-0.03392631322001569,-0.03167185768579414
FASLG,-0.01648514407997672,,,,,,,,,,,,,,,,0.024803385647106053,,
CEACAM1,0.017026012686128803,-0.017332503538678195,0.06874278842970141,-0.02881055981191716,,0.0055493103904583774,0.038711547159252645,,,,-0.044493219311622464,0.11082841006930819,-0.023177932086385442,-0.010997041089223978,0.0020782194595489996,-0.024522570907074742,-0.026145534297214126,,
PDAP1,-0.010959746555832149,-0.011715672954829812,0.037980184066703976,0.009013087901524122,-0.009426244636635082,0.054618736243804485,0.043737898594840514,-0.06171169323031699,0.04960246320678011,0.05599419907904922,0.07639949441021734,-0.01070701134713113,0.018301561285272158,0.01490875787925975,-0.06169636222115894,-0.006762830130137516,0.035003121041743974,-0.04729384082842099,-0.07386197914839093
QDPR,0.022761899482316036,-0.003359073027010313,-0.010528538532455459,0.02404338187704641,0.012903251295550179,-0.016374598973711116,-0.007386858035461571,0.04492645630434003,0.008417551237175283,0.0130807413839487,-0.01668756616280099,-0.03353388796618469,0.013355427814369328,0.08555085801534126,0.0030281440213701734,0.02960295292261877,-0.018479485914326542,0.059289827958648074,0.04810930163647965
POMC,0.03002847914217454,0.03752983764491,0.0718786785891742,0.007362546971946829,-0.024800487742687564,0.025787239844907828,0.04887944649743601,0.0802867126318815,0.01956379787729896,-0.06072926116416508,0.015025029996483485,0.028211493704326174,0.05647602306449096,0.015294990426966113,0.01442179012589399,0.018611961940938355,0.028845979171728996,0.027835051406760514,0.046942729550968086
CCL18,,-0.021629326771535142,,,,,,0.045384622525365424,,,-0.03815060945993713,-0.03024574939572148,-0.020415972787165684,0.040485826882623595,,-0.03641611061981158,,,
CCL17,,,,-0.01669895680813275,,,-0.01788372317870963,,-0.012563673640042117,,,,-0.016443620971843265,0.038156887213520445,-0.03389615163809216,,0.10340777884216555,,
VEGFD,,0.05652502705249469,0.03844270137203836,-0.01860448194539237,,-0.022166778619335095,-0.01905359442079745,-0.04528136337565361,-0.013464878178927739,,0.06622969973831236,,,0.005081632756902797,-0.035749977954074086,,,,
TNFSF13,,0.024819767708317956,,-0.011518566672560836,0.09682924607124792,,,,,,,,0.036403650228211445,0.07147737620405543,0.14748409735227058,0.028311141262315598,0.061889850588734266,0.03662180796856641,
WNT5A,0.032951195568270725,0.07075058388005316,0.042634085973087626,-0.02212030198287676,0.0246227657268909,0.04033061101995039,0.026396019184837298,-0.030161276591154425,0.0633867744792,0.030333432941105586,0.055352829159854226,0.008339537495227122,-0.02917948308649031,-0.0343586699436907,0.054406081872053244,-0.017552974634426757,0.06515657200519873,-0.11477811315776915,0.03508492628983307
CXCL8,,0.013554005535976113,-0.020519558568508744,-0.005845724934258221,0.0015289796406229338,0.03973300963589697,-0.034439862314861514,0.07007258433786742,-0.0404837365364254,,-0.031237468137812262,-0.0401972255971369,-0.04272234310823711,0.004908645892762788,0.02326319899173722,0.008618441026669895,-0.05774849133951359,-0.07618225663242977,-0.07084063750598385
