,UKF275,UKF334,ZH1007nec,ZH916bulk
BMP1,0.05084723657974492,0.0351249375098042,0.01592351898168129,0.0610336600578639
NDP,0.01140577294152133,0.0320441713637703,0.09005544806428825,-0.0093745687830452
TNFSF18,-0.012224649517308284,,,0.06413601506558263
IL36G,,-0.013752911436744552,,
RTN4,-0.03664736650842588,-0.017883899815686694,-0.02066495129805392,-0.06746297781915771
HEBP1,-0.01804938250547203,-0.01636010762149504,0.024796351475929932,0.009325032480010247
WNT7B,-0.02657481907882763,-0.015116034573743229,0.048370873604083896,-0.05050172405144064
PTMA,-0.061695755714945205,0.016447976473400478,-0.01682877216507746,-0.006126058968993155
CEACAM1,-0.004734303955218566,,0.11621638298486764,
PDAP1,-0.0061914015619407,0.010354184862360503,-0.08723189405997282,-0.09459846055119124
QDPR,-0.011431343618513381,-0.0039000783520907333,-0.039038411733366606,0.0011228862129171316
POMC,-0.014184516597372045,-0.029465760158764898,-0.07138916826793242,0.005866476915658638
CCL18,,,-0.04348967395136019,
CCL17,-0.015246518014238248,-0.012563675042489455,,
VEGFD,-0.016243875375934903,0.03560118440106778,-0.04899597904137092,
TNFSF13,,,,0.07218324331953356
WNT5A,0.014302104454316468,0.006960334070443755,-0.05633031143950152,0.03953332859253794
CXCL8,-0.014281197001655008,-0.02416732251221409,0.14277567859273946,0.01834118129084193
GRN,-0.05588830847466775,0.009695059770207199,-0.08933165377737343,0.005930263800092421
MIA,0.05376401183432542,-0.01844076978704828,-0.06037666542417418,0.01267412933011327
COL4A4,-0.015917836513877053,0.059193388927219974,,0.08329615432227952
TAC1,-0.02094970825634616,-0.03170168871892075,,0.01815399787441321
RARRES2,0.015177726577481886,0.012002221334626546,0.08147443175610519,-0.0748088904332829
FGF7,-0.03628674349938417,0.04305309586222357,-0.00013218647922334732,0.02547860053369637
HBEGF,0.04541790221301388,0.017955726098860116,-0.09119541023296261,0.06920097744418553
CSF3,,,,-0.029705131497256187
PI3,,,-0.03784776082954795,-0.0829497311338743
PCSK1N,0.05684005743431096,-0.04550122881220197,-0.10082082768817263,-0.04377133411056956
NTS,0.011788562602650219,,,
SFRP1,-0.02556760763494255,0.01602643144085933,-0.004477473511438342,-0.03705954327212069
CXCL13,,,,0.05948817566794883
MICA,-0.004518610395243412,-0.0034304973289800695,-0.05582099376336444,-0.0068062251540883115
TG,-0.01536028991784212,-0.018872412685289667,-0.05087110040499315,0.010650141443158167
ADA,0.024377128483415902,0.10031917101114586,-0.017398863873614646,0.09196661356412551
LAMC3,-0.025054145516952397,-0.0006479832575985708,-0.045213131016419904,0.07863086507425779
CCL7,,,,-0.04028623585116993
NGF,,,,-0.03366503120708649
TNFSF15,,,,-0.03287603190277235
HMGB1,-0.06659156639004474,0.0417638564568006,-0.09394499005291111,-0.06159636268598558
ITGB3BP,-0.004777179634239422,0.0010769273461102358,0.019963776638077326,-0.06071936127527631
AANAT,-0.013813598488929105,-0.01685296834100163,-0.019660334124472524,-0.018137916705939228
RELN,0.00840338445738281,-0.018657690592845277,,-0.026955813163026775
IL15,0.07032486007011148,-0.015630349204753258,-0.06826522517935683,-0.008187948960006197
UTS2,,,0.021850884257730643,
BSG,0.057355737742998514,-0.02625329421638357,0.04473569784148141,0.05432684715994303
ADAMTS3,-0.0003026484129151533,-0.025972595802781096,-0.05672967656961169,-0.037577798514577064
CD34,0.01914606361061558,0.08025775387414638,-0.02366652139120299,0.017142255946330308
PLAT,0.05185682551161927,0.05062226479499197,-0.08724265189393098,0.02791927709665829
LTA,-0.013303934946943595,-0.01563035113417086,,
CKLF,0.037124634718065194,0.043340797436595475,-0.06709086616299385,-0.000828868404037013
CD24,-0.021934047066274512,-0.030650468795918866,0.05401278406498118,-0.06021992952406395
HSP90AA1,0.06646085760560076,-0.09467580492313983,-0.022086691383936718,-0.09096041235240435
BMP4,-0.006515048102744599,0.03677643398419405,-0.044762550910327825,0.004639221363228036
SCGB3A1,,-0.01090665231867554,0.08555427412498548,-0.03644824877498374
IGFBP4,-0.012337019400169175,0.07968136307004127,-0.08840278000680551,0.08704386054661363
RSPO4,0.0023974724744137443,0.042586436675963436,,0.021237806117646345
LEFTY2,0.0016979323939984037,-0.019295493921087897,0.04286606930980756,-0.04275907619250418
PF4,,,,-0.017916300816707604
ANGPTL2,-0.004154947221458761,0.05039283577507805,-0.09804679585994168,0.009170874210210072
LRIG2,0.014885061283075608,0.0641495476360729,0.08418959649140752,-0.03188222481792016
ICOSLG,0.042163571791225485,-0.03415962636639822,-0.06779054318392431,0.012380227131524528
WIF1,-0.011940368516310241,-0.02947226389516334,,-0.03287602920480016
NPPC,-0.023291865081384363,0.012671056017903916,-0.040687210826681544,0.012716629779962029
LYZ,-0.05231378181940888,0.05365397420042793,-0.01561015769716999,0.05025830535580277
EREG,,,,0.02754591920799611
SPTAN1,0.025579410334465227,-0.013180028089639589,-0.03644686021971478,0.02135793448545756
LIPC,-0.028928884438644227,-0.01066602476345613,-0.044130017310389257,0.009810091302216545
COL8A1,0.05718458911186101,0.06466716368719663,0.09154627365324358,-0.04992727425694715
GSTM2,-0.029004602153728836,-0.04343458674525677,0.05780862041128016,-0.019905200911847536
IL4,,,0.060382095929352016,
SPX,-0.023806594842581026,-0.042560784342114744,,0.05627589183567749
MFGE8,0.06617140938717422,0.009240637545006512,0.0051092403028691466,0.020548964579798358
TGFA,0.09284951195147634,-0.013258000605209232,-0.020233393038396188,0.01028912861238253
SLIT2,-0.03981845009663756,-0.03515866638634324,0.06128625372631171,-0.03284515269782236
PLTP,-0.023975761140316767,0.06049052145379355,0.04558583698616328,0.07098802455032108
APOD,-0.009138297542818419,-0.028245378030436225,-0.0032313282156930063,0.1693950777964119
B2M,-0.021762131459835653,0.06855628488318061,-0.06442122651040239,0.08816696563793106
OMG,-0.0016735182805427955,-0.04487251403779631,0.04516403655251378,-0.04784888212184078
CXCL3,0.061248943388770315,-0.011256683260452602,0.11489592602778222,0.0073910295263088215
CXCL10,0.021332778409783166,-0.01788823195946559,-0.06664003178049659,0.0979134125609515
RSPO3,0.024852919429775355,-0.011763017055854972,,0.08250699621417007
CORT,0.02793162828759118,-0.03120691896006801,,
NCAN,0.03470381236218057,0.0247942870333184,-0.02925246999362198,-0.013108953047957918
PRG4,0.009078420787576612,-0.013752911436744552,,-0.004667143012340256
ZG16B,-0.010571184026367447,,,0.08220544636722146
TGM2,-0.006380726338720101,0.016030299253767435,0.030435761433527418,0.10988575620880381
VEGFC,-0.028465590488227718,0.03503513839752336,-0.04781861529421479,-0.023583745573927842
WNT6,-0.023525793001596813,-0.01224938340981578,-0.012445803151207342,0.11036378515125991
NRG4,0.006628036370521431,-0.016373924540280926,,-0.023750872792718217
PMCH,-0.015473285519486417,,,0.002100619108057082
COL9A1,-0.028332153854332257,-0.01865769774925569,-0.05507608343958006,0.03187368623852093
GDF11,0.0017982346778018066,0.03833573441652384,-0.09496586793569982,0.007710299244531541
IL24,,,,-0.026552685668903047
SORBS1,0.019658191778750483,-0.028799226421943023,-0.058457620857530555,-0.019484547508749523
DLL1,-0.019702792628624,0.004300616448778491,-0.07104302167902612,0.02055519168775189
TLN1,-0.015599355414771653,-0.0691596070416652,0.08183155110858309,0.06097004881673195
COL2A1,,-0.01142784454038692,,-0.021398261570393293
SHH,-0.001079133306922811,-0.010906651365366232,-0.02486553054007251,0.03267006007281938
PON2,0.04092582609512533,0.06075434441366477,0.017848308217466982,-0.04183694527787113
ICAM5,0.02771191307386521,-0.021300100972264126,,-0.06707398736543364
