,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.025856694996059228,,,,,,,,,,-0.027299280931995254,,-0.021305663455433502,
BMP1,0.026182768470245147,0.010096853441967837,-0.026855260861502916,-0.05992063811769576,0.022942174454202772,0.0079301133909998,0.03921055297509614,0.008449332743591678,-0.021144309860166417,0.03883341370810607,0.025632706402136878,0.04624171464691192,0.05384239467680954,0.08221909745807052,0.06002067747636453,0.01340285742508677,0.005900305836055526,-0.02863382890483325,0.004874401991038448,0.007048090516997345
NDP,-0.007646332121066305,0.026123105582366805,0.06706165612564055,-0.012991363105604331,0.0892122168410368,0.08035533300908011,-0.0602072879862786,0.002151280771127582,-0.015542898634192307,0.011130794525288867,0.004974547304010571,-0.03389889127870914,-0.050247413498737806,0.023017178593679317,0.04416608603523883,0.0017605227184329393,-0.043306058539871316,0.04367999969312696,0.01181071398051741,0.050362908508473817
TNFSF18,-0.024816106212733873,0.007995282873982469,,,,-0.018168054158191106,-0.038396415829892866,-7.586942316828158e-06,,,,,,-0.05814474402296289,,,-0.02815326656456097,0.024714579442628993,-0.03593884518768187,-0.028861145402811084
IL36G,,,,,,,,,,,,-0.02809194742390701,,,,,,,,
RTN4,-0.08983005182283442,0.036099297583018046,0.02615765563989327,0.007960680915959478,0.016663849548299473,0.0025226784365454617,-0.019132784699750778,-0.017670893727196033,0.01878152334829802,0.03744662204373245,0.03212433596720306,0.0014475143211912529,-0.01819127406065285,0.10278517010588117,-0.03857094713309128,-0.05137370425662721,0.01805296359434775,-0.018169000183639275,-0.03124878892732554,0.038601698437868204
HEBP1,0.003379736511378083,-0.026001037696030696,0.0019687003580756307,0.03496759738017224,0.0019071691675653733,0.030796354077641922,0.025650058005930395,-0.03689769249548513,-0.0010726778739132633,-0.03388160901758288,-0.029064646530374907,0.003481245891619565,-0.02934122459258333,0.021710156397183024,0.09282147220225666,0.007238798956150531,-0.03583171562722231,0.0036109794081394075,0.05959402524300542,0.030233345041397217
WNT7B,-0.057921067760523054,-0.04589150756527475,0.036498595905465586,-0.006209997930970831,-0.004110570910454356,0.02218741628189456,0.009152075078645301,0.036210300145686866,-0.013194807600319172,,-0.04782460579630392,0.0380469735973184,-0.07341005221942568,,0.0692528392276888,-0.009113112864295397,0.015413754019521666,0.025786879497542697,-0.045475142702278926,0.04328752751071035
PTMA,-0.04172952198145676,-0.012438615315799496,0.03314759438366101,-0.034320719192286575,-0.015664533418957606,0.05480879516311669,-0.021949320241975465,-0.02351347704772933,-0.004916491808029654,-0.025955467957278378,0.017889329980985743,0.0401037425802816,-0.04278166709806647,-0.046123559812639436,-0.023208614596664724,-0.08190462086263858,0.002592874247943661,0.05196368229374696,-0.02553188099837342,-0.010565659240143162
FASLG,,,,,,,,,,,,,,,,,,,0.04948269755668524,
CEACAM1,,-0.03584747998381294,,0.007146052015174375,0.05323927067231804,,-0.003060081571661018,-0.025955469796506387,,,,,-0.055279610213579786,0.00872705474991807,-0.019563790362624924,-0.016479392364905136,-0.040453304812462294,,-0.025709972168248555,
