,UKF248,UKF259,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,0.16910002874741353
BMP1,-0.04031628436411148,0.027479669404261293,-0.03402811618336278,0.015156896862375726,0.05456647279876998
NDP,0.07743906433465643,0.03935193933091984,0.006390583296063301,-0.013401533001334431,-0.011231331166897845
TNFSF18,0.033660703560477054,,,,-0.010751230143981336
RTN4,0.0014456282299346096,0.05037192591237217,-0.07240780500809892,-0.006540943144672866,-0.011867975950211253
HEBP1,-0.0058776039368262974,0.05544282595219429,0.026246330064734077,0.02602898152822475,0.04143332109704851
WNT7B,0.020913440917468787,-0.010640932321186514,0.007553440274028995,-0.020366673885378588,0.07038403592274874
PTMA,-0.027997754600148236,-0.012920153641658471,0.03149055773361354,0.03994301726456442,-0.0230738815929795
FASLG,,,,,-0.013629414490155943
CEACAM1,-0.01580393568753256,0.05639080028061831,-0.020606751471508505,-0.01351765766452986,0.1345727305250401
PDAP1,0.006435037147912158,0.07507085253468065,-0.00429169961571555,0.05360779887545797,-0.005803830446260711
QDPR,0.01844819762497002,-0.0410753059798966,0.04346725818408736,-0.05854913546171712,0.07587834795161182
POMC,0.04684172282145518,-0.0242150044482725,-0.02996016162518078,0.04519650986710868,-0.021044346745960004
CCL18,-0.0026173087745466114,,0.024993404085292183,-0.03813652018216522,
CCL17,,-0.02051277223822818,-0.02974713942931428,,-0.012353533384684699
VEGFD,0.08705979679829283,0.10693446034729016,-0.0010893676434288314,,
TNFSF13,0.07833171357115903,0.027175053367857423,0.0074999766821578625,-0.015179423569579693,0.08606880194942512
WNT5A,-0.04285980523896338,0.037947750493858075,-0.023266738900101374,0.011741585694717558,0.05522104119782871
CXCL8,-0.05428418815052403,-0.032818097581193605,-0.002598858733683407,-0.01790963619294129,0.05939715588139275
GRN,-0.05139310292524103,-0.00012952458486362804,-0.025803536760508613,0.04513933867749148,-0.029640009562283326
MIA,0.0009063871788872,-0.006191392328708805,0.09457783318711167,0.0055868898451257075,0.03361729172823974
COL4A4,0.03642246975205086,0.12744585555316612,0.003964400781894712,-0.013583226993912538,-0.024649561539559033
TAC1,0.046295424550515316,0.06257340636398011,,-0.02332181041532054,-0.01623997579431448
RARRES2,0.04092034373023893,0.07645148068916567,-0.010536825351576027,-0.005241173252541469,-0.023016341267595747
FGF7,,-0.02827829569516373,0.03992780142460224,-0.007995200713658803,0.0044788504426850366
EFNA2,,,0.064867869931984,,
HBEGF,-0.05595227606108861,0.019495465257882327,0.04157096124751371,0.043363809948549215,-0.012597069157991112
CSF3,,-0.024449435937052004,-0.038938611818806375,-0.019379408756106446,-0.013006364896614149
PI3,-0.020748184587981264,-0.035233049257084995,-0.05458564239513869,0.01079508890044806,-0.028258509979205485
PCSK1N,0.01610029517662282,-0.007303524629994716,-0.0475483135926759,0.002489574716146592,0.029964489357680812
NTS,,,-0.02386101802372411,0.0007243800594997132,0.02379986221551496
SFRP1,-0.06412956837520653,-0.017898186670151976,0.0406733762947179,-0.03159526834175443,-0.01881308407168709
CXCL13,,,-0.001683336308028581,0.01788594117623282,
MICA,-0.059128895880082376,0.0009861017054925546,0.05612250299828668,0.06179737819616407,-0.004312753524820271
TG,0.029437088416006386,-0.019314979102760064,0.0433299220633513,0.02977812558222261,-0.02536489241338657
ADA,-0.027958223945622147,0.0078069250364657,0.046115780850902295,-0.023395604891560055,0.004825809647389969
LAMC3,-0.023727269666362717,-0.003800038356232448,0.04265328703872617,0.059432108377540906,0.012351465067973017
CCL7,-0.012544742632953531,-0.01396469903118737,,,-0.013629409643698832
NGF,-0.021538700140325016,0.0076279536460587246,-0.019322078310866384,0.05859349806499622,-0.04080604168934744
TNFSF15,,-0.015550375375907576,,-0.012034280134144542,0.010695284436832164
HMGB1,-0.006640597930010146,-0.03077308897335509,0.0101314291188116,0.06772687321718224,-0.010159930143470637
ITGB3BP,-0.030060670548993577,0.008068347071638038,0.008974019694727236,0.04630663992167703,-0.021170452797679495
AANAT,-0.01820051301107473,-0.014149252710653572,0.004283567245944307,,-0.014420483779103039
RELN,0.00011131067646086756,-0.0002745831136103902,,-0.014536106219093087,
IL15,0.06025628605892669,0.01310856031562736,-0.011939215512772595,-0.029355313048465385,0.014045248151159796
BSG,0.09181632992515806,0.005940014913045039,0.005488961365381362,0.015988139915645173,-0.00023153159517187117
ADAMTS3,0.01952833610317194,0.061016486684334986,0.04642218617887604,-0.018892167861836204,0.04062245498161092
