,UKF243,UKF248,UKF255,UKF304,UKF313,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,-0.04660032912161636,
BMP1,-0.07822799226626441,-0.055980929904141156,-0.005912719088767011,-0.011333138789551903,-0.06304396096503895,0.06980450719447863,-0.027760827489061245,0.14203051061054475,0.08243186674031969,0.09547191412288476,0.1048327853824149,0.014277371096358479
NDP,-0.06355269042768273,-0.01388410467934169,-0.049075039800837834,0.031253029558554093,-0.040474821676646046,-0.01153476712228128,-0.055757326138519685,0.04708613799742543,0.05401198180587156,-0.07236482128812564,-0.06709265174044324,-0.1042525650926249
TNFSF18,0.013691991106301381,-0.0217704205294128,,,,,,,,,-0.0029499053721416184,0.0399810970234275
IL36G,,,,,,-0.02361839654925996,,,,,,
RTN4,-0.018200315871231065,0.011559945512391699,-0.006572879801181254,-0.059249769188792066,-0.04833747662644332,-0.0993995547077964,0.08544813791984289,-0.03409208506057123,-0.0726422955913693,-0.0028105589005571227,0.060301605342564735,-0.10108627451163579
HEBP1,0.054938900897955695,-0.0039310859207018,0.007003448843657237,0.007333762222217882,-0.03784410003974268,0.05139964272559378,0.01503956955643912,-0.004826560884513088,0.009114154680678867,0.008607445940221744,0.023104146074591415,-0.009999494681145957
WNT7B,-0.04953475770862345,0.0082984798746126,-0.0361557272204854,,0.007633161340009625,-0.025959339624708627,0.13361167553673936,0.03855146367287815,0.04836019842814863,-0.02399720279154486,0.11468194799078217,0.05054249542029974
PTMA,0.027949269783776487,-0.09049129582947846,0.005143769525207474,0.10902734645358754,-0.06950219713221156,0.1300813319939099,-0.11576721181272984,-0.0859738128086317,-0.020570939905377197,0.01884958023690351,0.0502387581686331,0.08607708128091211
FASLG,,,,,,,,,,,-0.029967556129047418,
CEACAM1,,0.01492916549223469,,,,,-0.0431573354199041,-0.007183746701477206,0.016987848969553507,-0.035145423569037236,0.016495615596246724,
PDAP1,0.057024126689539704,0.057597565129522764,0.09306139081740016,-0.00448943847708567,0.019922906703183814,-0.0006880257425750775,-0.087239053159747,-0.045416481075608896,0.036453545527553435,0.036889864059591035,0.06706709785855196,0.14717221811679648
QDPR,-0.054481820490340956,-0.03373539145560376,-0.05512726231207774,0.0798359598382933,-0.07021734114782678,-0.06667045290614396,-0.12459225347793036,-0.046910323039566965,-0.05560800138257661,-0.027120571550278735,-0.06268933327230856,-0.14384769149098975
POMC,-0.06974916227028492,-0.003019780535626842,,-0.015632455179233114,0.11470929300010527,-0.036409354855184276,0.1957728623822342,-0.05083133831530248,0.03857199490917919,-0.00512803414021812,-0.02050023637047524,-0.0359630635095228
CCL18,0.05607862066616625,0.013355095812589793,,0.09161566885512626,0.02462397055258561,,-0.008303040092067782,0.045945036682364104,0.16209352936064883,0.017794506432695673,,
CCL17,,,,,,-0.021576075773799663,,0.14242355211822882,0.02787893911059831,,0.021423406793586237,
VEGFD,-0.004459048636429193,-0.009832950364587076,,-0.027830309664356543,-0.011676188452020618,-0.023123748689842006,-0.04169044794595765,,0.08813191508131966,,,
