,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.038632891865770624,,,,,,,,0.034209998869206774,,0.009232938834427242,,
BMP1,0.07175951340410772,0.07930340364291578,0.012986276736661789,0.005463263913673733,-0.011369848692050488,0.08831034554155956,0.01039004761168312,-0.023333197988636156,-0.03218644569764784,0.04558370705715098,0.08221031662986569,-0.06887889551734637,-0.005731519984727016,-0.0551830167444093,0.17697030859142415,-0.049613381370461763,0.02375078198233538,0.00313635947300864,-0.03074945769055464,-0.047516182562835026
NDP,-0.006388054815642756,0.14041903222132673,-0.026258452393580635,-0.036371066674782244,-0.021702036498191322,0.03153049515157475,0.022612160538926136,-0.049997897249958664,0.050590186317474264,0.03944816750061569,0.0521972689957312,0.007720903757850749,0.04391306380380898,0.005720914542206213,0.07193701883434993,0.02191737686913187,-0.004806945383323785,0.1161999746745054,0.01600888987737738,0.2420006377751951
TNFSF18,0.07178323243235804,0.054632829165655795,-0.04683613198665638,-0.004150976002099936,,,-0.028509996352768685,0.07121923271068331,-0.022307207540414403,,,,0.10117433926928428,-0.012219123583013984,,-0.02171474417928334,-0.014188594088674907,0.014331960933922482,-0.040866585741082866,
IL36G,,,,,,,,,,,,-0.018834867991349046,,,,,,,,
RTN4,-0.031401610856284706,-0.07294865701723778,0.017804530708061234,-0.01243796136740174,0.04701036709876444,0.014893438872546048,0.021330629951855973,0.03344877106551452,0.06381037258254181,-0.12229804952985326,-0.108270806134578,0.12155411098205582,0.0725557137962139,0.037220150063881845,-0.11857075548206446,0.09193573815649886,-0.07352316546842175,-0.03670671865197165,-0.009404530202906785,0.00915938591707066
HEBP1,0.010048889374872033,-0.010060174752962097,0.05914045971961851,0.06934144979607865,0.0061698632804148505,-0.03114254160512332,-0.022421036174462245,-0.014884474236166352,0.027986696827503123,0.03488785963278479,0.09437768704629292,0.01743994274567726,0.11510430228013596,-0.015233394335501292,-0.0007417584010576271,0.012099093806777457,-0.0027366603285632657,0.10239561988892387,-0.019523705286399507,0.09796453950133202
WNT7B,-0.039942738690336356,-0.04991810810631242,0.026728290704913334,0.00022388263902285203,0.0034057940164082825,-0.05445465501042564,0.06851958312896497,0.10106544277728594,-0.028631934651323812,-0.05773077952555885,,-0.020701690479039046,-0.025697291012438932,,0.036758744294859216,-0.026786227499060653,-0.010884317524787775,0.13168168439845637,0.009037405284385338,-0.02757687573207681
PTMA,-0.042170538761320486,-0.16003982288880372,-0.028983737023619872,-0.01688778094552784,-0.03871024375894017,-0.036935947906820955,-0.03449463377840946,-0.046735316881651716,-0.027401260101406092,0.0506521854016868,0.18952598123215417,-0.10621654197752585,0.09781137475497574,-0.0819101238352695,-0.24887863916977288,0.0882187349552681,-0.07251614431011122,-0.03503950839700735,-0.04028416616330667,0.026552050050026307
FASLG,0.00874628745478974,,,,,,,,,,,,,,,,,-0.02736502033137051,,
