,UKF243,UKF251,UKF259,UKF266,UKF296,UKF304,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916bulk
IGFL3,,,,,,,,,-0.003489038447263044,
BMP1,-0.043661105773169555,0.024478974406565865,0.05434730546850995,0.005173555373280945,-0.03511301124882767,0.020826505111608874,-0.007092590199647787,-0.01664528322155931,-0.04864718556876932,-0.00041503478852535867
NDP,0.05229282583537886,-0.011422613294611687,0.0713550897660951,0.05015286147521907,0.017107200911193974,-0.0157160855527364,0.10223900896345492,-0.08907941307142371,0.03289190013921027,0.027669443631722003
TNFSF18,-0.01898587156715039,0.0005815624590774491,,0.01228853093672158,,,-0.06254475740478524,,-0.036077420306755044,0.05959306635978989
RTN4,0.039218154679338535,0.030051092183037365,0.02574617987002193,-0.044635002323243474,-0.07269846777092752,0.09638741283545335,0.04481200500611091,-0.027277944532148456,-0.034956230752468086,0.05353528151174233
HEBP1,-0.03310748794220482,-0.010861644320644823,0.03258080284384873,-0.011726558470317092,0.055568440535920235,0.0397399154809721,0.07175648771931066,0.015495450426215022,0.028897348005031732,0.02474620266247176
WNT7B,0.14351555480243877,-0.02298345212220005,-0.03186427919537384,0.001630694784477445,-0.023980942949824557,,,-0.030936002073556554,-0.05926355537503601,0.09439736105250512
PTMA,-0.062176270922203035,0.01363445321442561,-0.02794118089942837,-0.012589320634509288,0.02915826343835717,-0.06625484088017598,0.06688464211520834,0.05025296279014347,0.037747285341273674,-0.06757638427852317
CEACAM1,,-0.01763841714222709,-0.019564613399494855,,,,0.0020736757288715582,0.1567438482999916,-0.010883886456328179,
PDAP1,-0.0037521369243111646,0.008650240829062645,-0.012609863825168658,-0.043331325867216525,0.0321810380401631,-0.05350826898469609,-0.08994964798333506,-0.07343234256657089,0.05720009090567416,-0.04438376017300284
QDPR,0.03650141235343055,0.01923546184828471,0.0017408668212585956,-0.029056263820034203,0.04132266829523247,-0.005228156891864177,0.01113783647907147,-0.037831476902341565,0.08484438271251536,0.041906159180567754
POMC,0.02822370296618975,-0.03134065318284955,-0.034264165418701975,0.007955060085160783,0.01781885773841253,-0.01954225181377539,0.009510935695316688,0.04534805533549584,0.024095507479812192,-0.011342769778007505
CCL18,-0.025461614870153994,,,,,-0.0594254054029918,,-0.019670882793657838,,
CCL17,,,-0.02132631957301119,,-0.040358651450810655,,,,0.0017504155657797618,
VEGFD,0.15764967007245848,-0.025263493771789765,-0.0237598750638436,,0.008126326731301942,0.011638435395634868,-0.04310508386309648,,0.017582804454927027,
TNFSF13,,,0.08382398009761456,-0.013703807378126973,,,,,-0.049461117940630836,0.012334438446477096
WNT5A,0.004005012590284689,-0.0011969386654023877,-0.023709757445026815,-0.036975014455312066,-0.06972750798196888,0.04920917280143307,0.05241602285275168,0.024174559137707143,0.015736569356189205,-0.09403232909393898
CXCL8,-0.04843186205895609,-0.0236552381528728,0.021076091192768667,-0.019492777178010654,0.048452202814441285,-0.044709413255999184,-0.11431335245160248,-0.03463368620562202,0.048446728558300615,-0.07362810671594269
