,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.017553690823183924,,,,,,,,0.02189329602708577,-0.0221980830913067,
BMP1,-0.030000886812562428,0.002990219955997985,-0.06120513781257226,0.01096564737687738,-0.019609067848060643,0.0789585053365625,0.06107729788001326,0.10889313963903412,-0.05658985426874652,-0.0184663310230503,0.02824916053101227,0.07396199948883234,0.10563639144230588,0.021474708376175423,0.02760826166074713,0.09879714908391575,0.02412205283236021,0.025492632512090906
NDP,0.003069225580265045,0.059385128166102204,-0.006600070089560246,0.010306124588277472,0.0005971179257550934,0.02697599450346498,-0.006237262601662436,0.019291380127786906,-0.01475543237505159,0.0012443210723786324,-0.04012958310183577,0.009011106109471161,-0.045616166007615304,-0.0280290626550602,0.0468202850155384,0.03533966680339848,0.1318911543564116,0.032810828383381306
TNFSF18,-0.026427553906170433,0.038811885862936386,-0.014313561537958772,,,,-0.014453493500723382,0.0029683969717822865,-0.011674763932192451,,,,,-0.08066772567973196,,0.08831633855745834,-0.02552088945538561,-0.028558124161194926
IL36G,,,,,,,,,,,,-0.00804203430431117,,,,,,
RTN4,-0.11584701227722025,0.02009108189837268,-0.06132293955109468,-0.032262196136763725,0.04848592436326615,-0.02801032912707427,-0.12299573335179802,-0.10579661779238426,0.04463942389324035,-0.03348143125564327,-0.01002260608440971,-0.05856689718586742,-0.06424572879442085,-0.11005937485020097,0.014670446632794982,-0.060741816704620866,-0.029325221743413354,-0.12701020375504793
HEBP1,-0.07192852297027759,-0.027017657545328963,-0.03123394854282048,0.04863972240349097,0.041915034603799195,0.010891113594443495,0.058473328617772054,0.03716609487418036,-0.014110457871944496,0.004294907109940068,0.0019967484348706443,0.02597930375685618,0.07372924121593845,0.0977219709442874,-0.028410731696826404,0.005658363343550909,0.06104955391391338,0.033434989920296504
WNT7B,-0.06168220459012703,-0.04116873849089579,-0.01680714099099846,-0.032553763693227454,0.005796010288058514,0.05723066170861023,-0.00720717216300832,-0.03517866186521329,0.011112051169497934,0.03906323073330394,-0.024198215055799586,-0.025014607312848443,-0.01909165278007165,,0.07068154945484409,0.026663356975876646,-0.04737993718927245,0.07227892165156206
PTMA,-0.05527569626756762,0.033065469693281425,-0.06346920025432409,0.0068830594257284754,0.015932807332716348,0.020191149364133906,0.18061491369782312,-0.042558579428412145,-0.033475750526441944,0.031224028446775458,0.05522011381759693,0.07011901690389298,-0.025589550340527147,0.028887807168733952,-0.03219631008602775,-0.024496040125429427,-0.08818519478152934,0.019987077468200727
FASLG,,,,,,,,,,,,,,,,,0.00263086956896636,
