,UKF251,UKF255,UKF259,UKF260,UKF266,UKF275,UKF304,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,0.03359955600554535,
BMP1,0.01618680548131138,0.17201856302321186,-0.0038369418235804373,0.022939874706424262,0.056269002737548375,-0.09352467991264979,-0.07116685983049567,-0.05834270401608145,-0.00040460799881586457,0.09525731691779327,-0.08130831349548932
NDP,0.021858984531578834,0.11105849418639738,-0.011662028009844545,0.031811579003017836,0.04084010934138603,0.07473374513606093,-0.00266606741176196,0.02835287895439957,-0.007502037873324939,-0.02839038416963908,0.05031778797382568
TNFSF18,-0.023785814182346734,,,,-0.011295554906789457,-0.014795353584691301,,,,0.08282594921462702,-0.02322655387694751
RTN4,0.022084992405552024,0.024981327672303114,0.031099630902267975,-0.007638819175014346,0.0623295694468231,0.08990037287544975,0.12791099662312272,-0.03797361116997858,0.011605865751910388,-0.05959968413337646,0.0548913888333545
HEBP1,0.03093232499919783,0.04150532245867663,-0.015600835239136017,0.042173271611238815,-0.01583232637882754,0.00626468464637994,-0.03504530716794111,0.03191629468505607,-0.014597141370204117,-0.02712868046669324,0.025379668543764822
WNT7B,0.0067917842848880024,-0.0036171836687861,0.005185607240252559,0.10424717122952734,0.05352018944990646,-0.028726121566362946,,-0.007727059961532442,0.011687256748785554,0.030078321336486427,-0.002754898889627701
PTMA,0.048753442244375514,0.21686648441018466,-0.009053083694422245,-0.048384350800274686,-0.04157870254129793,0.08347898387230354,-0.17333153240696908,0.02856498946583275,-0.014961370763771947,0.16468118562229092,-0.10633759301491043
FASLG,,,,,,,,,,0.0032229968406666636,
CEACAM1,-0.011338931855209981,,-0.025892614546134674,-0.01448327932788802,,-0.02326956643189989,,0.0754770454742499,-0.014826658889829324,0.0062328737900197275,
PDAP1,-0.01169750156323343,0.09694783424105072,-0.02407173302745225,-0.03443199462131745,-0.007361026093707456,-0.005997713450795906,0.01613304496330193,-0.04332641036294903,-0.010073800167059587,-0.01889338007016322,0.08519047030840857
QDPR,-0.036752227576793174,0.12087841953769894,0.010702285642765973,0.08538491330728133,0.007456706912818724,0.050109241985907264,-0.15915577162627745,0.017100828806369515,-0.03144943198926203,-0.05620315322253754,0.05006274056925266
POMC,-0.020147472864066235,,0.025221977855060067,0.029845717277513308,-0.01908767801852892,0.014751324502202507,0.008852678901098473,-0.0240696136984663,0.05546646476205372,0.04362135164819488,0.030732634264368452
CCL18,,,,,,,-0.04137769583752092,-0.03433750440404625,0.018800713120858424,,
CCL17,,,0.004212588391600374,,,0.042723235557592394,,-0.013312000374670204,,-0.02470118925522435,
VEGFD,0.0841040634070603,,0.017998991241113194,0.05264023546815096,,-0.005588311559725575,-0.026216390867097202,,,,
TNFSF13,,,-0.010351961535062047,,0.07100981932360288,,,0.06370487545780817,-0.016649344213010224,0.07421777947937892,-0.025267177589762532
