,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.006833604125534772,,,,,,,,,,,0.038018989281784446,,,0.04506385907720347,,
BMP1,0.054609415783438316,0.060724675715860314,0.02742949426834398,-0.029384821599699545,-0.0018743515585759938,0.09666137538586464,0.08206448289940835,0.028824591478097735,-0.04743272078744091,0.0165630509591585,0.14987084351293853,-0.0037818924718554738,0.13126197690716726,0.006577053117234529,0.03801812843563132,0.025742911907127585,0.051500435068895005,0.019675430478995202,0.016331756383632833,0.031522175249794664,0.09754400996600246,0.07005165525660077,0.006245913364669766
NDP,0.16549354183801177,0.006839002781901611,0.00677679590924726,0.07846888207975412,0.00044608193889229423,-0.019711255393533255,0.035101660425107394,0.004357214350506086,0.015794210262068994,-0.013516669129417517,0.0438939956924506,-0.03438067017397224,0.05822604976843805,0.10940227810944739,0.02351240769862581,0.05119215873706358,0.0717618111976133,0.029270269821170734,-0.041170905491220475,-0.011231668602683324,-0.0009253484357906533,0.03752080946122305,-0.02200050636950593
TNFSF18,-0.041571835914829706,-0.028886550812047204,-0.031209299364492075,,,0.018058457361276797,-0.020147780926790742,0.0016130779969996355,,,,,0.08117089190874066,0.08080744817319524,,,,-0.026215159365133647,,0.04859623937644044,-0.029110987826037358,-0.021476455988477097,
IL36G,,,,,,,,,,,,0.018291905500127815,,,,,,,,,,,
RTN4,-0.07698890214131757,-0.02708016217520364,0.046869836147159005,-0.03207526948692686,0.03677882024729295,-0.12348090418844059,-0.09282862618573738,0.02296300296557948,-0.049480844475726184,0.0352649634116141,-0.004877054217188396,0.03366631407770541,0.05002672305100587,0.02619192445144912,-0.03318863894299772,-0.04098722503530807,-0.025768218621657273,-0.008783755398453951,0.09429770710009101,0.002679908962102843,-0.015830526375089558,-0.07161344921308647,0.015489046222014365
HEBP1,0.06250517494530337,-0.09704248363050698,0.0052737413090879265,0.06532017533872973,-0.07779667003893655,-0.012970861336969007,0.03230936719535807,0.019359981108501165,-0.015615724275133127,0.0029758316183793464,0.028716304362591275,0.009615206338668695,0.011966447937520823,-0.02428443398079318,0.03906042226070418,0.04094193919865755,0.0040408050907638085,0.0024761464899699867,0.03200516009753625,0.07004206476796462,0.018139698672732404,-0.002559200807437881,-0.030969881274249093
WNT7B,-0.04219323794221418,-0.030526970280957196,-0.002971662703409073,0.025960718730449778,-0.028095912854767462,0.020254399752136856,0.007372443153518397,0.009865235560113587,0.011775176580956715,,-0.04093838269971459,-0.02037399398106364,0.2423423121724996,,-0.03810888784332054,0.01772055086585752,0.0747776345209509,-0.04439602808899968,-0.023652672907402056,0.13475682198299901,-0.005367573982971485,0.025450920689043522,-0.0476128803398658
PTMA,-0.14614212389314518,0.02809829602531293,-0.016458034322534027,0.03503247086827954,0.05982017896968381,0.08654377715493528,-0.0656503427912742,0.05424083007289974,0.04342800193762653,0.018110204757335904,0.18332584586613887,0.015347550788225904,0.034514122226994896,0.017889014188718785,0.048604880790082454,-0.02822789768221231,-0.0985600838671845,0.04267388624539531,-0.04155214067881967,0.01394620969399852,0.05547055687917086,0.004604306000840197,-0.009054412092959381
FASLG,,,,,,,,,,,,,,,,,,,,,-0.0204358773017829,,
