,MGH258,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,0.097240020778042,,,,,,-0.022245081107230107,0.06521624698212043,
BMP1,0.025115739206462012,0.0004341917500727973,0.0720426103415969,0.17893896208858534,-0.058882690519742646,0.02081028689585149,0.04915256408121777,0.09213063576021888,-0.050081471440862016,0.087264713391114,-0.03865742558167831,-0.013959241727462548
NDP,-0.030424958902780973,0.0036451421753534987,-0.019801615161995627,0.07310939920501226,0.02674221550376391,-0.0065831061408462965,-0.05355615439396973,0.1238349969735361,0.01645981268825801,0.1560907266923023,0.14790729780444972,0.07509508348925394
TNFSF18,-0.022403033987964727,,,0.004852690371533827,-0.02315390876389746,,0.026316789887915033,,,0.17694240327787608,0.02808731209449799,0.004659779281533611
RTN4,0.026656949358756166,-0.024505155549435137,0.03249001722811416,-0.20521636295928777,-0.023993189030760635,-0.07361843777543398,0.05955777109707034,-0.0574248353994321,0.04483702587574261,-0.14192208360823555,-0.040327690804344056,-0.08297078793290667
HEBP1,-0.043859405462440014,0.002180736143864447,-0.030437955018061975,0.056102227889364815,0.0531289880508221,0.03821574861556537,0.04785562766400088,0.030972950564342648,0.01675517938902919,-0.051167517191841476,0.08846263930634717,0.032301809129705636
WNT7B,-0.01973637126086008,0.005993492364198647,0.057135535984128134,-0.05932699773772487,-0.06198259236478793,-0.03051260319454864,,-0.022956803628186674,0.03085620155219946,0.07074204397431502,-0.050615199626690886,-0.026054983062193584
PTMA,0.05457742004821365,-0.010269565017560173,-0.00187350211346284,-0.11258130941770629,0.027356948150656733,0.03942256971220849,0.004319676330611428,-0.22563349648574516,-0.005916307372391577,-0.14482542710319216,-0.029535972919754523,-0.15542435992986758
FASLG,-0.019736376840281674,,,,,,,,,,-0.01259062934758211,
CEACAM1,0.008421182348062132,0.03744250402575449,-0.018762225391423196,0.07056673567239913,0.08050440067482219,,-0.027909669533230347,-0.011233868295117974,0.19240436290728247,0.044771151491539145,0.07348187164886952,
PDAP1,-0.01180360553929689,0.0031615727858784162,0.05864274567183756,0.11379080673683324,-0.019339040985941275,0.003424594275806683,-0.08487797638314748,0.03831731235530962,-0.05599449871025001,0.019617574971633703,0.07448920488081702,-0.06412330117251298
QDPR,-0.07684956269262791,0.05105879301793691,-0.028129273944199642,-0.17905144774640414,0.02194954334431329,-0.03221907179085055,-0.016735798728300486,-0.20985299513576502,-0.005108888616299702,-0.1601984052071524,0.0015534804926866084,0.06946637922080862
POMC,-0.008064936874083585,0.00799796430640425,-0.01668113548074268,-0.017457253422463404,-0.006503789059720094,0.07763001346089515,-0.10282833663432327,-0.06642546741926718,0.0495984867529467,0.020892650158448132,0.07658290748237467,-0.03508387091384016
CCL18,,,,,,,,-0.043945726617864264,-0.033588350984229645,,,
CCL17,,-0.011664114975960257,,,-0.028877432156150788,0.08689420617381974,,,-0.019855941095992997,0.04013894393635375,-0.025308942299103646,
VEGFD,,-0.02646755812866971,-0.01795063497186194,0.037756250201661574,-0.030766461475562355,-0.0277018538231172,-0.02624889654018824,,-0.013754816471355472,-0.030932889116279,,
TNFSF13,,0.05526230825842201,,,,,,,-0.0215827291183161,0.09714226394083998,0.011774896631412247,0.011027233409698158
