,MGH258,UKF243,UKF248,UKF251,UKF269,UKF296,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.014513720790302748,,,,,,-0.048492346665785134,,,0.053555849285091654,,
BMP1,-0.01800628259245075,0.11142966101871823,0.09451961853661972,-0.04409995000082221,0.045207740702837666,0.024013596945161395,0.14415804309942762,0.13527242139704357,0.0036033182559047066,-0.04775629775415751,0.07559996102862465,-0.062100540785970125,0.05014126130363545,0.12667479483497945,0.06814038721614875,0.003482106777071474
NDP,0.0028650625869473118,0.07065743282007803,0.04454543252170998,0.02602251863162503,-0.015386376739101015,-0.021066641227698378,0.08421469778250804,-0.027564860619616445,0.09810240919397194,0.07246224073372957,0.023641356047754254,0.026528140222162228,0.027823565882832683,0.088033603415293,0.0031340074591783267,0.13471400884749782
TNFSF18,0.08720321961782089,0.08613258992659004,0.021996826177062175,0.0035930374938802113,-0.0035251350858467832,,,-0.057639688994064985,,,-0.05000930117624043,,-0.04469143443256953,0.05051236187048132,0.01625423735069248,
IL36G,,,,,,,0.01960536808017434,,,,,,,,,
RTN4,-0.09820125590006812,-0.0065665063478524575,0.09225745827740305,-0.016150031669646826,-0.02541702426115466,0.04679859299241868,-0.12684096251103855,-0.06639566608405448,-0.06967364720921534,-0.09753135351834974,-0.03291176704237825,0.07590338365869166,-0.033829389200626905,0.00615085644692001,-0.06606599784561802,0.06975883075543692
HEBP1,0.027545961854885878,-0.011931721970243312,0.011270417639768202,0.03242953438376556,0.08423579039965134,-0.0008744344030818271,0.03215972625024972,-0.03446586909272724,0.04778157656384572,0.023273104575712862,-0.00696503938364301,0.006233661713683235,0.05454697286882171,0.07084437137838837,-0.03131807681917815,-0.058991964214070346
WNT7B,0.01071229752406999,0.014173451482165719,0.003201625820272628,0.04491943335019238,-0.018520074087627954,0.032559090683689985,-0.04417987266931724,,0.009808577086689951,0.028855824882146993,-0.05305829210502769,0.08023563887460355,0.0018466487640941066,0.0869916109202106,0.0011572859726520974,-1.8398776322226812e-05
PTMA,0.012892999314341822,-0.05905899115320838,0.057438638128176456,0.0035246514205494474,0.04189888519792779,-0.0073644255381021565,0.11107982181087207,0.00036849588056090245,-0.05351014078211022,-0.008032938844529141,-0.013769232333525363,-0.011989610617733747,0.04351972507362733,-0.029902907205539373,-0.03118239816619447,0.03954791185444055
FASLG,-0.04286055695277658,,,,,,,,,,,,,0.0968226522793403,,
CEACAM1,0.07419229316614782,,-0.009631152555358609,0.06506396437497103,-0.02836178305706934,,,0.07932793809019566,-0.044511348788253344,0.022072285175495025,0.0001577360328825689,-0.03357173129060014,,0.002932105883207296,,
