,UKF243,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.012443413253816031,,,,,,,,,,-0.00270216151127456,,,0.049657691253931865,,
BMP1,0.06117049532960227,0.025151433253173865,7.351965422297859e-05,-0.001248747290338478,0.012091284665546861,0.009443117681123471,0.04445193053059985,0.11110084937356897,0.09006556750479898,0.03375154475285147,0.0670733464880457,0.03858770473601306,0.1457140462847957,0.17722542299502453,0.04210030388234664,-0.004717912295742682,0.023017868119472595,-0.017292569045815977,-0.01795536560545139,0.09459055796606788,0.13859603131245954,-0.018742858936139778
NDP,-0.026828289290899154,-0.024351677539486125,-0.012849321009494428,0.013959642654610176,0.03956551367926941,-0.020326690746084723,-0.01989900569881897,0.019633861578843045,0.029486458924048303,0.009192486705146167,0.07148215701211952,-0.024585782645367073,0.013850509906333812,0.018534501493116754,0.11018283250685791,0.11462694130676485,-0.01549770939566254,-0.06888007003606078,0.013919162251222056,0.14602286047498086,0.11414035455924111,0.024536595780001405
TNFSF18,-0.041883453855074915,0.000687415297975985,,,,-0.01724037016999861,-0.018478095120414206,,,,-0.031988597051890014,,0.045679862973710975,,,,0.09721950784068206,,0.06302118627197481,0.03845608500711419,0.08016774226863622,
IL36G,,,,,,,,,,-0.0013122680562620388,,,,,,,,,,,,
RTN4,0.002579499372279027,0.0014034454178975964,9.779411796425956e-05,0.019286073356464893,-0.0048654930785121215,-0.06806027577388639,-0.0675180532559516,0.036903712372543356,-0.03047023739493836,-0.0958755777494422,-0.00986357434245259,0.09207400377482243,-0.06515799290944321,-0.011788219739505147,-0.04056372948698257,-0.08352356193946957,0.04749609448334476,0.11491322000242635,-0.02655141686045114,0.010865303084212677,-0.2692302531065892,0.002183858804364131
HEBP1,-0.0064729915932028766,0.01858257247501081,0.01257381739429112,-0.03561476326675785,0.020428315119381715,0.016558747204957276,0.019278744177413445,-0.01449888609817947,0.022148684371532935,0.035225539012263704,0.04524132354480475,0.011509387865851827,-0.07761463984291474,0.015488617191779427,0.08315567491768634,0.08153507036123842,-0.00789674386690975,-0.021319483759721664,-0.026788974449178892,0.18811366540114574,0.1011725864127605,0.05670649402390147
WNT7B,0.04213210951336795,-0.015480750435078926,0.0333359577210208,-0.029643013998645173,-0.027158172145823996,0.026516349586028273,-0.03460390545009521,,0.012397249611757631,0.018506899284205954,0.054454479326577786,0.010003157063798531,,0.0666770512827757,0.025345869737029427,-0.026197488402135604,-0.03176274431331503,0.015577015312577857,0.010160724690991689,0.06185181094700151,0.08120498025769883,-0.04319120347974844
PTMA,0.03238578155914968,0.08162650054903302,-0.017128020528882675,-0.05330921603750075,-0.038850529213554426,0.09473476737131675,-0.04716450413899663,0.035023956890533205,0.10542467176138091,0.05010286936146166,0.08760972952034034,-0.11340247739771184,0.031843536416787346,-0.142276339918636,-0.06449049840653144,-0.014336765927375301,0.022687760877705784,0.041632784068372994,-0.009462899759063203,-0.0694750001877608,0.06058456020357944,-0.02924324672312076
FASLG,,,,,,,,,,,,,,,,,,,,-0.002421092662945458,,
