,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.031367130710094025,,,,,,,-0.02350782288766695,,-0.018807319450882747,,
BMP1,-0.010107073966325503,-0.0015909967513946272,0.013410562937230901,0.04873263163391634,-0.038956820251461965,0.053698075741472846,-0.02106014831010008,-0.042472113980540065,0.048325905548763,-0.0168232836029601,0.024149335123339877,0.024860403473213766,0.04354252683928865,0.022312763625383206,0.019092543131906205,0.020183143880936474,0.010176892331117807,0.050203687124160484,-0.045476072510459785
NDP,-0.08784772703722006,-0.02668835372021927,0.0637785797875605,-0.012205510388930599,-0.023935533744539297,-0.03717054155602723,0.06268390755450927,-0.02731636245907262,0.05892771829676005,0.018597590789345562,0.10770406777751003,-0.021976596321025384,0.044792330992790244,-0.0068578598896581805,0.0764917827123557,-0.05297259620990903,0.02923763703024002,0.03737486238989825,0.007465319105413875
TNFSF18,-0.0204439395571415,-0.04450848508303236,0.0038235840013649733,,,,-0.016407528065817495,-0.010637221661614888,-0.02151945187869717,,,,,,-0.024243202806609743,,0.0211911532482482,0.0733363290431412,
IL36G,,,,,,,,,,,-0.0056082219005286335,,,,,,,,
RTN4,0.000508925656064796,0.02944590819515735,0.01678472861794639,0.09815324353542107,-0.027686269491511314,-0.024704294823341345,-0.02538179785804884,0.08029817387528099,-0.08328074806142434,-0.052460093126882774,-0.05035969651419839,-0.06637583190676241,-0.028126555933973327,0.02628946552225652,-0.06568655497295345,0.05380442126078856,0.060091566559078644,-0.049353898218625666,0.06423911512459232
HEBP1,-0.05110251604175048,-0.002742344693938431,0.04558671290268987,0.01834671314777408,-0.005451396361594941,0.005682594251067758,-0.022258989092797218,-0.06962557632512006,0.06532944045887415,0.07889931081336707,0.01563697440796246,0.09643069005344618,-0.022333818887907097,0.0784054743394174,0.030681025396996922,0.01878454205838358,0.025644495588456728,0.006326983763580846,-0.015619303235449107
WNT7B,-0.020971680015658217,-0.012725921366395646,0.032442532592963334,-0.04899070468159353,-0.03054081542087381,0.007952726180753197,-0.000508463629569563,0.07575509948032265,0.0017528575159050368,,0.0544194749339709,0.055739582875639376,-0.02642742746573209,0.056018177193955,0.0021343814128648377,0.08424759309317098,-0.04014263802041442,-0.045940163834201415,0.10392599415072554
PTMA,0.03634635742671802,0.006459656075035678,1.297608511366095e-05,0.012010335586083738,-0.03130300507062561,-0.0426191555267404,0.046490454485635366,0.037738146370710275,-0.06045140738447831,0.11030187113351834,0.05267363069228247,-0.13076793866950676,-0.05306302418076323,-0.07317951523667375,0.012897371783350419,0.019448119722552455,-0.03541192633910196,0.0031626038147439333,0.09040925007811909
FASLG,,,,,,,,,,,,,,,,,0.03316302580202492,,
