,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.008527592298053534,,,,,,,,,,,-0.017996413711767988,,0.02229588109227429,
BMP1,0.013672336019576549,-0.051148737750957525,0.00040015383783683896,-0.06620709554528956,-0.09923107959212026,0.03853149701792889,-0.014038846194241972,0.03731057564463789,-0.02024532337793681,0.017633592870537465,-0.02418835866181069,-0.04761261004444837,0.016552284558381643,0.03467178460267916,-0.03833488323239797,-0.016096486799317473,-0.009682994314914303,-0.025262651376680656,0.010485561890188908,-0.0010329028671468463,-0.06395821761763663,-0.007185949942331204
NDP,0.07307099012928861,0.014392451138931003,0.013169383580077857,0.023819908296524417,-0.04378938177840826,-0.09187477042428292,0.028871311956673994,-0.015521087391010784,0.005697887641755997,-0.034044550548630946,0.02417322658929687,-0.0003654220597330756,0.041567980935213814,0.1595216648438824,0.1264241328202719,0.053628133158377965,0.0016437751311372377,0.11419770073745808,0.043692428560741965,-0.023190792016376686,0.10043746177849412,-0.020393740500378593
TNFSF18,-0.06473488875822672,-0.044992674131735806,0.0470743540392595,,,,-0.014612394824564476,0.015004840093809256,-0.03820539541325481,,,,,,-0.11295733909160412,,,,0.007822682945195046,,-0.010817861086996823,0.015412813715270843
IL36G,,,,,,,,,,,,,-0.006974475232827959,,,,,,,,,
RTN4,-0.013041939928042813,0.030000347984106192,-0.02732771535776121,0.025887462990265446,-0.006931501800171914,-0.0993117965537043,0.030300383137774008,-0.09600659683957731,0.04349109337333416,-0.03976518111842019,0.04000008601966166,-0.059563169587718866,-0.03215414032537622,0.05123189371610459,0.07522639148215336,-0.1194196055238662,-0.03174494470811799,-0.04781544538478989,0.00364885375904417,0.02921440465510084,0.0012667318744849234,0.003720326736676212
HEBP1,0.03831431816606268,-0.023197403823715625,-0.0046092112608045336,0.08503334357150728,0.03312763876183214,0.008129050568886029,0.009964754885648108,0.049661017407557836,0.028273124809365485,0.06387091822518924,-0.031136705514988792,-0.007530347999453452,-0.03285448990385822,-0.023107791928843116,-0.0653833988451982,-0.01694949710510178,0.0870178249618391,0.01769995582397837,-0.055738614370402645,-0.03173238919899066,0.07065230598963054,-0.013159277166751715
WNT7B,-0.06100800625666857,0.08332756723447585,-0.023299352739335408,-0.05300156883584582,-0.007252908688782592,-0.08659589060362285,0.020212296461417766,-0.05962928395416391,-0.0066019002570956225,-0.0250249829547734,,-0.0029627444594249167,-0.024179100161968958,-0.020250732324481338,,-0.003436266361052817,-0.03787805728010057,0.04473788229357914,0.05272834911078721,0.010534674471382956,0.0715622196334258,0.07787189102305121
PTMA,-0.09412692999851689,-0.060879762027887356,-0.03510351632602764,-0.19858472916995992,0.00939385015368751,0.0639668524553057,-0.039421182073768615,-0.0832478323919294,0.017690368789965053,0.016196080188233177,-0.09233759655290766,-0.06619431652488826,0.0258032353194356,-0.06253569994013398,-0.059187239540247516,-0.1448534937698142,-0.015977879637042884,-0.044039686354154055,-0.06316313183542717,0.0641139025883719,-0.10741760155704859,0.05232861483327323
FASLG,,,,,,,,,,,,,,,,,,,,,0.03671194328882008,
