,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.07475666842284373,,,,,,,,0.007096915336214206,,0.01105614680405003,
BMP1,-0.024691960684206427,-0.044958766982165735,0.053340281498667166,0.03502406654751216,0.078628768013495,0.032649060892925186,-0.00658370524743657,0.1496121701956205,0.06859893545093985,-0.036998947121438454,-0.007743240246769995,0.05920920361085426,0.04673325447972612,0.04292642157441844,-0.006429773643376016,-0.040581438512108096,0.12158349026090341,0.09602866139477965,0.13695188298881195,0.03489014818914461
NDP,0.03830217427114301,0.05611778170812028,0.045651108395348895,0.05496720450884175,0.02301434987948669,0.01301043254025437,-0.008163162547124812,8.764073922111492e-06,-0.0737098587871749,0.05523670243744945,0.04210217015973675,-0.006164034493398947,0.014714903494412124,-0.019660483600524456,0.030447215098408247,0.05540056163017228,0.05802181627259148,-0.01116957837523887,0.055117137658454725,0.0424668867829307
TNFSF18,0.018000544998301317,-0.007365798783217558,-0.05240229832479986,0.049976218441144436,,,,0.013799422317562971,0.08719675968864297,-0.01796889643299611,,,,0.05820477613396975,,,0.05745423183776955,,0.04038716516549718,0.04337597699050943
RTN4,0.0652736105354785,-0.03387128776218009,0.058562452274610766,-0.019191068405501707,0.018520393027998426,-0.04445421227147885,-0.006824690568220655,-0.0846084690179347,-0.07544737944623467,-0.05325793022318556,-0.007807264963083718,-0.09943043011763986,-0.00592290266782794,-0.09301215138914032,0.0242348793747081,0.018950774140873348,-0.10448353563251522,-0.09976757240711177,-0.0286639791037959,0.032172348472743466
HEBP1,-0.07892482239297434,0.0016306925145675858,0.005670015550031215,0.03858840268552889,-0.00243408419633135,-0.004373766722651604,-0.04960008413620756,0.002958014239592995,0.045206870017321786,0.04570761879300481,-0.029856153665200023,0.07750999057730286,-0.01195292176785336,0.03944438468715619,0.05698105328517695,0.014864877725786336,0.0027705898822079434,0.10239787441032254,0.09801558635411776,0.08757459338019849
WNT7B,-0.0015754704870716203,-0.05448169460823139,0.020173950938259872,0.022345422256334003,-0.03572383531908953,0.05016572236477577,0.061912156475722666,-0.00963761196417107,-0.02427660694016418,-0.02778217660938373,-0.017327980144354105,,0.05283654878440294,-0.005534066833899006,0.05452099646160813,0.012261980917357859,-0.043922364195578,-0.05424986040279534,0.012205398844889805,-0.025164202470267936
PTMA,0.0026419506645131968,0.02533860901246992,-0.020037354029170406,-0.06609163707960913,0.08354924847147634,0.00691307012810831,0.0341587672824202,0.08401935617579918,-0.08744568446677531,0.030992019194331547,0.0049727136672616835,0.13122721312311625,0.06957830967675628,-0.05795777088193977,-0.053098875838793864,0.0054843623226174315,-0.07584903887443575,0.010112198993589368,0.004812017072800901,-0.05020193104968127
FASLG,-0.03290485651853964,,,,,,,,,,,,,,,,,,0.1028715225011557,
CEACAM1,0.025735774558283592,,-0.033352626762222434,0.026687543425050704,,-0.008634231590601723,0.016644034529967388,,0.14709771348268785,0.030600074321549913,,,,,0.09870725715078758,0.052637362534308264,0.08547403320915477,-0.048471004661557834,0.03377725942524126,
