,UKF260,UKF304,UKF313,ZH1007inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.04370277157784099,,
BMP1,0.009512824397902507,0.12542697671735994,0.0016813982544355431,0.09970331781104132,0.10984828064788538,0.04174054113132779,0.005337379487008287
NDP,-0.01416502866760406,0.02351741512774933,-0.009895955633499676,0.04153759338699167,-0.09603938962550074,-0.04782469483423247,-0.007952753081442124
TNFSF18,,,,-0.004424766045946927,0.0630405673074417,0.02898268208910091,
RTN4,0.04058658368953479,-0.09362806703056524,-0.0381468997970676,0.05037862115967583,-0.0720793709437788,-0.009530750675308756,0.002005878829260809
HEBP1,0.004243329649069394,0.011513587109583352,-0.03536335789705367,0.01606730202067741,0.02244404637128494,0.004923422999498823,0.06526091886883756
WNT7B,-0.02973385133481559,,0.003124328046482468,0.1745696736152277,0.008994286827076653,-0.06323046642687528,-0.0425626423012214
PTMA,-0.024722880768260833,0.13635141257470207,0.06445954263712284,0.05215625416393762,0.19875022583280444,0.08802612804219596,-0.08139188766718725
FASLG,,,,,0.03315426521125898,,
CEACAM1,-0.016785825756501106,,,,-0.01775846005579674,,
PDAP1,0.01490307454888938,0.0012291109139431545,0.08457289942337796,0.06246136208575456,-0.04774262163501296,-0.03324254089516629,-0.06934006441054026
QDPR,-0.09186626983470524,0.05264313391338111,0.05792819864084765,-0.051520213996630315,-0.005232724334949313,-0.059204984226591095,0.04214312714607051
POMC,0.04522744417954843,0.03022053447915129,0.12100496160114865,-0.018526063196314523,0.03263917564515987,0.007281538047981215,0.0038814959576000275
CCL18,,0.03544746673139083,0.03366348216937287,,,,
CCL17,,,,,-0.034355173789443215,,
VEGFD,-0.01605972770127635,-0.023221248503660148,0.12161702573616302,,,,
TNFSF13,,,,,0.026178794875567173,0.05205255741060863,
WNT5A,-0.09125701271072807,0.041602279295310546,0.036895639437222925,0.07987998486541426,0.09970909005058422,0.09541656546280967,0.035615051224260674
CXCL8,0.1354027552027435,0.05374691507495928,0.06822169705243185,,0.01570569521558169,0.08675873656139636,-0.03809283406752869
GRN,-0.00324574951980038,0.1360015248879112,0.05449899304815359,0.04114735099746734,0.13126689293058275,0.05517907908806396,-0.08842083635362394
MIA,0.07077494359220059,,0.07452191951207758,-0.02122046527493806,0.003363092578801286,0.0056731495984088985,
COL4A4,-0.07270512729853852,,,,0.08625718931978534,0.08834440856639533,
TAC1,-0.020446548694746672,-0.014677159841041584,,,0.05263837558247303,-0.021274707088564347,-0.010139234994140451
RARRES2,0.06716691445530157,0.03868766562706463,0.09529949067017976,-0.03401441449659482,-0.0404170723776709,-0.03297769478062123,-0.04250278801380096
FGF7,-0.005647694594598105,-0.011739718495232958,0.051598409510363416,0.07451707724328792,-0.036639328013306764,0.03897136546622545,-0.04287821194033097
HBEGF,0.1126372802373506,0.07801610368324212,0.08651163704461513,0.08404648701493728,0.01922517322499675,0.07814464913181675,-0.0009653786457172616
CSF3,0.18331491787367313,,0.08908609449463248,,-0.03617069808918458,0.007832979955095135,
PI3,0.09995181839167913,,,,-0.042072278860736625,-0.0016411775320600399,
PCSK1N,-0.055717226542747286,-0.10842989486724797,-0.006314511041737588,0.03652945712564483,-0.07505296662639015,-0.07490219100112779,0.032554244708214115
NTS,0.03248436811807683,-0.020906582947540824,,,-0.053563871589653596,,
SFRP1,-0.01832136813445567,0.028871647858430504,0.033302230120825733,-0.040651000123765706,0.1047291156616402,0.05718251788743633,0.03717905819486544
CXCL13,-0.018156709795804762,,0.011892785995742394,,,0.009712036317891285,
