,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.01803641897482166,,,,,,,,,,0.07794292869660174,
BMP1,-0.0019893930140496064,0.16865878724631703,0.030547910745147018,0.09104263615351464,-0.04850925999421563,0.03780001975977364,0.10855212271497484,0.19009155989932347,0.043810969952159724,-0.03707459010347921,0.07007598963941443,0.07065596061902343,-0.02314971541048315,0.1550890053046012,-0.0341213250425344,0.058136598524665954,0.05129940370774132,0.08760317490090277,0.05015753639651025
NDP,0.0153471139946039,0.15024925281686702,0.01182951121277586,-0.0022647545059167416,-0.02120489092495869,-0.0003631393589330791,0.00637208113780523,-0.0047115157134250026,-0.02240797212508301,-0.005028218762820791,0.06271603542351896,0.07872552425161057,0.08018678036980736,0.13876697111933636,-0.013437243500740437,-0.02185544100373325,-0.027458796979796883,0.009994307304943112,0.026275144470597585
TNFSF18,0.06549326668339041,0.08382978408810388,0.10541305257839419,-0.04598105378011772,,,-0.026878776045316473,0.15587462162922155,0.05039132310954472,,,,-0.09691386935333275,,,,,-0.005789509296319378,-0.03283796070639097
IL36G,,,,,,,,,,,,0.010727322668503316,,,,,,,
RTN4,0.033212354355970544,-0.09214159893224816,-0.018490106668620276,0.012587418332876014,-0.03374696650540669,0.048321782671916384,-0.24035984653434897,-0.19685274148734247,-0.07261369341721291,-0.022643253744812235,-0.026553337332178184,-0.08029519607976887,-0.04311764724073992,-0.1564468332037937,0.0034012165376313096,-0.0038154118774138207,-0.032035788601006615,-0.001282832451306707,-0.06449632051377396
HEBP1,-0.06507565418134374,0.041639711293758444,-0.040360027883555236,-0.009937328033645634,-0.04124528678523776,-0.023642350758564204,0.1548187088088554,0.11231175638019486,0.02805818570285882,-0.00691856004821058,0.05852107685228636,-0.006195467895818246,-0.07964373972045723,0.04282520501626774,0.0044356269531447765,0.0636755243402248,-0.027825349809437804,0.09092175852126579,0.07564445208857896
WNT7B,0.030497349114455122,-0.07226728660255256,-0.05285430435533932,0.048316077090246275,0.007998921414657212,-0.005815824238462528,-0.02518871806634859,-0.08319031321768137,-0.009306771919714824,-0.011246854524369656,0.0853314512801508,0.012353587912426207,,0.01901008413925007,0.03583204680580482,0.037093182122280646,-0.0013722173084974084,0.03667651218802657,0.026314833631529134
PTMA,0.03356730212245912,-0.17886018240921786,0.013080514194064087,0.0670489281883161,0.04679714089486764,-0.033197166429093955,0.29689426346164155,-0.1652166006696181,-0.05653021172753303,-0.0031358823923011924,0.13762842175472464,0.049910894941359966,-0.05911606642948192,-0.28073884210994143,0.020247538829963295,0.053875579716239,-0.02357297699178905,0.0010492465530630643,-0.054905893588795045
FASLG,0.006610149093210093,,,,,,,,,,,,,,,,,-0.03210815711457951,
CEACAM1,0.02810489857423666,,-0.0009600550624357708,-0.029664628453311446,-0.01399552095984566,-0.010303114916713006,,0.01221278713008157,0.03545526573113298,,,,-0.011184199495071176,0.10625868984407456,-0.029731858485252075,-0.016775789018764798,-0.030151921688591488,0.06181770622865799,
PDAP1,0.02515709449606137,0.09162721434490376,0.007229544702182269,0.04551643220463054,0.043158344998264014,0.04275144168826353,0.10917719661852099,0.22335351064963996,0.025314978261791753,0.06085095822312833,0.06198732351040747,0.042977918112882554,0.030111493731188595,0.09449904449600335,-0.033028479371594185,0.019494473866728913,-0.0009854376947842887,0.0004988691727366839,0.07138955204509692
QDPR,0.007962641338459456,0.06640560410361901,0.0022599698108126866,-0.01881900083578107,-0.03651981037723037,0.02426460358609011,-0.09835476013697214,-0.19864733242814556,-0.009026604053859973,-0.017048258810990993,0.046287563685347005,-0.021816275301688157,-0.04617980664420284,-0.21989943372981685,-0.0027521482198723224,0.09297787010336682,-0.012015989668158877,0.01841374420999439,-0.03720031921984057
POMC,-0.003341787547203562,0.051149873268789926,-0.03951826531870676,0.02663696546109005,-0.019499521240536277,-0.01852113000886821,-0.032083493212079886,0.040904790933896894,-0.0303603117914025,0.03285815567500097,-0.002328068682288652,-0.058902332181214025,-0.009026600727017659,-0.012801880065842416,0.01878819735867242,-0.022519195678610462,-0.04932458295630124,0.06227942329914426,0.082630957283012
CCL18,,-0.020459147283880704,-0.031175599095332282,,,,,,,,0.013937360842762299,,,-0.09216280520290189,0.046567150700561735,0.01025092142108056,-0.039026500612537714,,
CCL17,,,,,0.012744040293012963,,,,0.002689375147660029,-0.013920453093406804,,-0.007710428211622322,,,-0.021093314532884638,0.056128852216625405,,-0.02910243804839493,
VEGFD,,-0.027497868270404544,-0.05255243485646625,-0.011729575366103586,0.04328935491654809,0.056766059958728486,,0.0009584080577747425,-0.026603127702124942,0.10111051423714984,-0.033800170603803234,-0.00997529106375116,-0.03226097498227768,,,-0.03049229920512154,,,
TNFSF13,,,-0.04395391659583868,,-0.0283858734311054,,0.029987063371401265,,,,,,,,0.03650611910593075,0.07341421221107453,0.04696046490580238,-0.04741999371805417,-0.021215290868796442
WNT5A,0.009428592551448085,0.07733790329659197,-0.029130464242010153,-0.01099551195432212,0.007205488649751041,-0.019254479233641427,0.24217236848723925,0.11632374098567158,-0.007891652791333232,0.026425428960424702,0.026431110042755303,0.054089512905396334,-0.05553035635788969,0.1306477414872398,0.0647640475743767,0.05523547824718959,-0.05001003652143706,0.039298038721645105,-0.02753256203504958
CXCL8,,-0.15135899262229469,-0.005105715097750212,0.011828463872919238,0.06205185001304822,-0.0008226449115237607,-0.015959844027078434,0.05452856224031301,0.045296578849158914,-0.009508760207750369,-0.039099417627972324,-0.03658223615337815,-0.06894467970604791,-0.10825261979178766,-0.0737266082020432,-0.004707710768268751,-0.027751912089938862,-0.011173421915693012,0.020801604924311157
GRN,0.007512164493498679,0.03166749791481162,0.01571689844433281,0.008459917633434434,-0.02933752412847461,0.016932971702013286,0.15802838566277477,0.1582672181149856,-0.006589219501011735,0.009567044167413892,-0.0117093400946161,-0.058613948499120445,-0.06285369073159652,0.06382391511925628,0.013618105772107748,0.03648238658337514,0.009210244401370814,-0.04089035915552629,-0.13472234941823458
