,UKF243,UKF248,UKF251,UKF255,UKF259,UKF269,UKF275,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.016649270054589813,,,,,,,-0.017031843267855982,
BMP1,-0.05726710173193821,0.03940662923296149,0.001702383341877947,-0.020977775535233813,0.015029097091038305,0.09167187595625928,0.012629904134734568,0.0004527878058726647,0.043282373556071375,0.017957100754726334,-0.05382930758390388,-0.01800480380575882,0.051764014863043516,0.04820792623345185
NDP,0.0032598462952979235,0.025331232100220098,0.04407079772525565,-0.020887262992916638,-0.024057546093322415,0.06816342826471153,0.052418021470320236,0.14888911287507942,-0.06779096881544504,0.01512380576675153,0.024878867377921197,0.05715036306243923,0.010622641488650452,-0.05136970353742337
TNFSF18,-0.021544811490336067,-0.02640928485457069,-0.010190169571233419,,,-0.02472366620628212,-0.020283830537943238,,-0.008679105110754204,,,,0.04173781041547309,-0.008636489915983843
RTN4,-0.027371668791682777,0.02344381988347441,0.021181705864730775,-0.0007714861184095353,-0.026090877444368044,-0.11166514362275039,0.03520190603298858,-0.12687070909085385,0.04489976295242405,-0.009211950349152138,0.05036743228210466,-0.008914957753136955,0.03832407428159703,-0.04614480602660808
HEBP1,0.01164473631919151,0.0014674624419419352,-0.024439210559746117,0.014278899238132485,-0.008054670894941014,0.05864313503015748,-0.041582457776577354,0.01475881050056433,0.008380865346752763,0.01124838637765837,0.027356103496442075,-0.060848596574396424,0.08611954281297117,0.005276902645000796
WNT7B,-0.050285829514185344,-0.05340612056758755,0.07250827859824123,0.03267560233627717,0.012353471957188146,-0.05581785123210108,-0.004763773585555829,-0.05548894766469035,,0.030128040220569998,0.026769432866532987,0.014875346505255196,0.08546982411975039,0.09467872183124593
PTMA,0.061058719164229794,0.023972963328256634,-0.013052254125711973,0.02626987608336405,-0.004438234152575137,-0.07441693024949028,-0.03390334656703465,-0.07608219486826034,-0.03156193061224739,-0.005508931363862049,-0.023931875091549683,0.006992923245358875,-0.01296017445325518,0.05026333279092485
FASLG,,,,,,,,,,,,,0.01822935168259968,
CEACAM1,,-0.022968953757794314,-0.011338931161223772,,-0.020946758511992743,0.06524049907895833,-0.031901633137341324,-0.04178456907913923,-0.006489859747361747,-0.0011927158887092158,0.02904147853151784,-0.022019698517386384,0.021541898150438218,
PDAP1,0.017229597890352964,0.013524315196904071,0.01827520071796895,0.009643445117803668,0.04239845525317521,0.10468184949024255,0.02709344246630435,0.02643111973032171,-0.03355286346927875,0.04416678166468624,-0.03706673665984166,0.007402268837029816,-0.041234529839070215,-0.014904960740026903
QDPR,-0.0038804818652557133,-0.0043317191695207416,-0.02059612281918013,-0.09910934712613505,-0.010500219702040996,-0.11431356205399422,-0.014828404160453036,-0.0912870185395271,0.05657834202105971,0.021073537939685652,0.09186294750197407,0.012713920082834286,0.039229975598333605,-0.05960714830729493
