,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.008180015793183745,,,,,,,,,,-0.006830739148432338,,-0.015772317815926532,
BMP1,0.04521823223172777,0.07137410219129525,0.09976193296092799,0.0470978123829176,0.12475747545217786,0.0456841946472344,0.0001800458592582243,0.20426871540646407,0.2724321392535712,0.015049732724835077,-0.0016452454677355647,0.04300106805860427,0.04779672485754327,0.05645128000790005,-0.048664164034342275,0.10651953954172817,-0.02610290803576771,-0.0257190575341345,0.08950410433337795,-0.011509301537741547,0.015153937875108431,0.08803989197439908
NDP,0.07927525382999817,0.07243036568758897,0.04230688404764721,-0.023375305019162938,-0.03344442043166919,0.040822967410941394,0.01818925956245612,0.0437764727419718,0.028597663959193866,0.006792076152322697,0.004845381124084503,-0.014134874598624553,0.033199720411095736,-0.011093274845633123,0.050516915166328016,0.08934332703902056,0.07787341567217049,0.061067629845750926,0.03534085854339881,-0.05618685071649826,0.13863146373835433,-0.0372829112277936
TNFSF18,0.021841902623668696,0.091338160250028,-0.028887355096922553,-0.031129862883335472,,,,-0.04511073923585893,0.06933406599479215,0.002031416781996169,,,,,-0.01860779632369315,,,,-0.02578014642145224,,0.07375192765464977,0.044721216886001905
IL36G,,,,,,,,,,,,,,-0.01745643934918471,,,,,,,,
RTN4,-0.0808324734628311,-0.0614548772256959,0.01704405223665614,0.04695262107122024,0.07156652269892304,-0.03707985480556223,-0.028805879997148138,-0.3128393606992508,-0.37677117109404273,-0.015484784671300336,-0.06228034424136594,-0.1170398027977132,-0.0036773593273717155,-0.07356711057504947,0.09264725369296818,0.005146256980005526,-0.004372867376849785,-0.01531715380973947,-0.12732900693296817,0.11273185554206903,-0.007809855216915635,-0.15322741317968647
HEBP1,-0.02923357349752922,0.09576642599225671,0.05175538378089413,0.008455078642999802,-0.04221076787172307,-0.036868476569505544,0.031353571533535456,0.11881260733695326,0.15106003269889917,-0.02749714688583222,0.016284807572987357,0.018455983918874465,-0.04351361508994272,-0.017492876648341812,0.011520978915804106,-0.012433005040041334,-0.007125418697109598,0.07312455578687523,-0.001044658322868269,-0.0037116896229078,0.1672482088408107,0.09366474422501954
WNT7B,0.024130953151662953,-0.0547176596977942,-0.009174509929133842,0.021745723902290934,0.014463265164138046,-0.024957023384857557,0.022810535649664364,0.050697346954668654,-0.10370985086005663,-0.038038992728206655,0.05907845373250251,,0.01485448810844795,0.052591599605473646,,-0.03112512539482336,0.013475961448945114,0.022640315441909503,0.07926474991407431,0.054648643469412554,0.03866307340815776,0.01172480404182844
PTMA,0.012465695422451538,-0.07726084321844198,0.08449396106839621,0.008260722450127229,0.13878561185666438,-0.030844905941218033,0.12458994098122378,0.4209110223360247,-0.21751230498155444,-0.03678694898279294,0.030990091804484556,0.11058361745927171,0.046849766626755836,0.04285503938392784,-0.07397982871422372,-0.09780110521326718,-0.10281882051468884,-0.05305933832077426,-0.1127187524828279,0.02997897228140607,-0.04393051304388889,0.05739244788717031
FASLG,0.008759890659654572,,,,,,,,,,,,,,,,,,,,0.0035373354932816746,
CEACAM1,0.04442238965932088,,0.026326475665946848,4.9261821550734494e-05,,0.027796297679033667,-0.0032640548339497584,,0.14796797439565187,-0.023522100445551513,,,,,0.05535916560298313,0.03382172518597381,0.06665668497317716,-0.035984403038820945,0.01504512471532692,0.04388787730540398,-0.009126065375841517,
PDAP1,0.026939854410978622,0.03173899353938579,0.021632895006713997,0.025405665212335754,0.028713075624996073,0.08437645393593647,0.0362095278220062,0.14289616101011499,0.2599351975514615,0.013525574394549385,-0.0016732376898814256,-0.04234856762848562,0.04780908997570569,-0.007461840453002445,-0.09368003838066763,-0.028486801979450114,-0.11554157859545626,-0.08724148475604084,0.0386853202345994,0.029753619027780107,-0.0024158635159258032,-0.03779151236981941
QDPR,-0.07083658426807854,0.06406957548134014,0.010184484573976754,-0.09549616056476345,0.05134424116040665,-0.0025383960756059304,-0.023773111040051517,-0.1109925715327827,-0.31385462263849906,-0.04999277478999958,0.01581405503756381,0.054048276189958805,0.05515428442752795,-0.08483215065061857,-0.1189462533397331,-0.06275202502206957,0.09726254578592673,0.1292734202970962,-0.15929440230854436,-0.023305996036589442,0.10563900201010872,-0.1637320144025177
