,UKF248,UKF259,UKF275,UKF296,UKF313,ZH1019T1,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,,,0.06347178809391658
BMP1,-0.04754902969089759,-0.028933390781316903,-0.01993320107467356,-0.055464714170395765,0.0812590747856392,0.04151658128050969,-0.0227521163078317,0.09676939863966766
NDP,-0.006479953807620411,0.0554126677134239,-0.009744152565916472,-0.019583690627420065,0.027606461443098636,0.04842385743984236,0.035328673795776505,0.006776861337449011
TNFSF18,-0.026228443141726773,,0.05129884191703708,,,0.05894147581786605,,0.04233426849433386
RTN4,0.03461250019095432,-0.01894036966041582,0.004618805515843801,0.0025011066107294105,-0.03252425636232886,0.08661088401744811,-0.04253309746569716,-0.01181968203148656
HEBP1,-0.06180599264347659,-0.047094453368914796,0.01093442187802491,-0.022860617754687534,0.02937974192844615,0.020885682384776068,0.05143629069771751,0.038814191447898785
WNT7B,-0.019911081920144545,-0.0043229450370478794,-0.00649726635853374,0.0993625271731297,0.10829052587462172,,0.046680323808046896,0.1777309188437885
PTMA,-0.0679047932434054,-0.033974165073456686,0.03513663081763217,-0.03434814279174649,0.11881921687141962,-0.024096253029415912,-0.01034159475082987,0.05432668797370157
FASLG,,,,,,,,-0.01734249488530433
CEACAM1,0.024473947689755568,-0.01149126253418957,0.06000061588411653,,,-0.033632030186094286,-0.015399748901938029,-0.024129534484039684
PDAP1,-0.002739239595721533,0.011520502991585808,0.031397803326149366,-0.014421554119466556,0.05424602878835722,0.06385794445580412,-0.06612928048699195,-0.03146689491910141
QDPR,-0.08788150762647871,-0.01435194088417035,0.030013722194737927,0.01850599807901364,0.0801852373484713,0.067698915951339,0.06359034071602777,-0.01734504689201344
POMC,-0.0395658987588628,-0.007997631130474536,-0.019148910550869754,0.02402975172102412,-0.03427886272929621,-0.060836862230850074,0.03221620143842733,0.0058312541806094745
CCL18,0.012196383168304696,,,,0.08422177047316874,,0.028464232507629677,
CCL17,,-0.018054781324662213,-0.02058259847367394,0.0008644605232337903,,,-0.022230504327465695,-0.0157190237111117
VEGFD,0.06316113943239299,-0.020115020180128562,-0.0219290177735688,0.03378685144987576,0.010676675027747596,-0.022901530997578606,-0.015399748901938029,
TNFSF13,-0.01572060777423421,-0.012453784079814163,,,,,0.0929883007129136,0.04077890294332942
WNT5A,-0.004197160450094527,-0.05203760200225142,0.010477538378627305,0.004589814473250362,0.04406699373627403,0.07247596378546074,-0.01255060725306399,0.005165595947661658
