,UKF248,UKF259,UKF269,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH916T1,ZH916bulk
IGFL3,,,-0.01433720781363252,,,,,,-0.021666603346711142,
BMP1,0.051838704593371226,-0.024502862193634498,0.09060924085842287,0.023609535237864614,0.03987635107745095,0.09967866168563318,0.25148814314104934,-0.04948100537881652,0.018543638330566863,0.09788875350562382
NDP,-0.011975140198838417,-0.04059223735699529,0.040191284259661786,0.022788545251606486,0.029033721797009613,0.0745642101095835,0.07704702621773118,-0.015543381554190815,0.03758263427087617,0.09774066133832819
TNFSF18,-0.011412746152440778,,-0.021290323188471058,-0.015456148380300336,,0.03939289241522521,,-0.0454235846025804,0.030508931150245104,0.05968322287284556
RTN4,0.0193587479349822,0.01821699511244916,-0.0784749766030151,-0.015175550441230229,-0.0815471098340479,-0.07897661317314456,-0.07506214703839599,-0.10812096206083352,-0.029240005547814713,-0.07425963729856251
HEBP1,0.06510259415954604,-0.02119724378763421,0.028003497919770085,-0.007576814404032503,0.03976962378866842,0.018502716128129308,0.04806115935270309,0.12037569565537859,0.049890324433219516,0.13423278393786733
WNT7B,0.0016509092940832735,0.03061676242521178,-0.014093037841242637,0.04126074453715582,-0.022226277521219293,0.029604224230727862,-0.023929181888481248,,0.029270441269340204,0.010178992841813955
PTMA,0.03397793294804444,-0.032766138753173885,-0.015928117860116397,-0.10094300608766904,0.019129420089025465,0.005788785576768428,-0.19068128194469694,0.030347269880141428,-0.019707733370237453,0.0019076667655663756
FASLG,,,,,,,,,0.11565304189292785,
CEACAM1,-0.022882428008841015,0.007876851996918168,-0.02801685270988893,-0.024308839221580836,,,0.043507587114159196,0.006754291089385414,-0.010582411983890393,
PDAP1,0.013837196488729912,-0.025551768813091687,0.05572128670012249,0.002961616038398991,0.048466979366987406,0.07724567719021204,-0.040020783620246525,-0.004613754546806705,-0.01213127589128752,-0.06123811153276517
QDPR,-0.013674642176669596,-0.046085756844302085,-0.08975051834276988,-0.04194345660182266,0.0004023165652734677,-0.0882558092607224,0.00106065235395788,-0.07651922622026669,-7.961623083922598e-06,-0.06344042937832213
POMC,0.01727376654123765,-0.02400387569060651,0.07039708193188379,0.07759478790497369,-0.015598729630712474,0.03671894943863491,0.010244999488825466,0.03468244448558939,0.011181208860195408,0.051371377504002426
CCL18,-0.05801801262576703,,,,,,0.06454356123781242,,,
CCL17,,0.01593900014066747,,-0.01927682624989286,0.014973971362386677,,,,0.08199157679629325,
VEGFD,0.02876260046308123,-0.01205862701973961,-0.024018668954433074,0.006594171726916779,-0.02017884501689632,,-0.013846464195616899,-0.04183818746446031,,
TNFSF13,0.010799755645180488,-0.019258203673010867,,,,,,,-0.01202800298554346,-0.022241856675486824
WNT5A,0.0885156541697069,-0.0006619073701543949,0.03885030251292598,-0.03081101388786975,0.03187895427122869,0.06650882161385754,-0.008607871235086181,0.05369312616265912,0.017272969713163173,0.04389162113204027
