,UKF248,UKF266,UKF296,UKF304,UKF334,ZH8811Bbulk,ZH881T1,ZH916bulk,ZH916inf
BMP1,-0.02251067236331993,0.048026991786371834,0.09304724610419005,-0.023275738582800923,-0.1352957023081153,-0.02405925250925745,-0.015337931714104806,0.021891239296134554,0.030952928437668146
NDP,0.03581476302321331,0.01782280402068393,-0.023674430936170925,-0.03632860956422572,-0.07764275245489155,0.04423428817993147,0.02216199921954493,0.025549167575441345,-0.03183752099094751
TNFSF18,-0.003375882622336217,-0.012213191236977082,,,,,,0.0010547309568800475,
IL36G,,,,,-0.015795197374854433,,,,
RTN4,-0.03663140998099242,-0.022324095957167354,0.07736652940684553,0.058878018483553604,0.14567433274018346,-0.03407633624823518,0.04458210654117354,-0.02244243996528897,0.006677833655553805
HEBP1,0.045963205016805404,0.0795446636574063,-0.019122183922159756,-0.10654329196565739,-0.030329965377460955,0.06824084039011831,0.009777748067468716,-0.018972113698298133,-0.08424299448696661
WNT7B,-0.007200435802129935,-0.021216942113325057,-0.014651217866587778,,-0.017360742175615645,0.06253986163400378,-0.02655852966126047,0.18024696172534,0.07300437483393808
PTMA,0.01759316101856637,0.02547284106043925,-0.07459290791188945,-0.06784379740538567,-0.1402384478361347,-0.05738357955363874,-0.0040391588116188044,-0.04510019826291465,-0.2241166565077835
CEACAM1,-0.01774628476407786,,,,,-0.015175139954286921,-0.017627282395478283,,
PDAP1,-0.009581553993075443,0.018272833324232744,0.026430326956859086,0.020023536441762375,-0.1335254518255027,-0.028709197052995072,-0.01989130810939899,-0.049239389341213045,0.06702288699775982
QDPR,-0.03696576322447631,0.01717134248218066,0.056313096288487276,-0.0978821668164936,0.03210384346565229,0.09112179985058272,0.0179184889356792,0.02125117878781687,-0.06932538200550895
POMC,-0.007059534729930171,0.028375092902113465,-0.0070932957697224025,0.04302404597772492,0.008923610219198684,-0.03554993488398376,-0.001031480014985029,0.0742618671676812,0.03352321679019191
CCL18,-0.02214568664511739,,,-0.021522723593160743,,0.033421854718734295,-0.0003709842233359177,,
CCL17,,,0.029413439474038575,,0.009273731398837968,-0.021906267210708742,,,
VEGFD,-0.02214569367741014,,-0.013301582073579662,0.06823411444282663,0.006637632718438574,-0.015175139954286921,,,
TNFSF13,0.024036127613306743,-0.01184424768445344,,,,0.011564763636327254,-0.019794256704966373,-0.0032995782609779867,
WNT5A,0.03172359684483708,-0.004348677013852682,-0.05949580594000061,-0.01873541140024768,-0.013790892540955453,0.05372258863356147,0.05260465367449866,0.030009844288339957,-0.03567261995573782
CXCL8,0.04514902436785663,-0.016847674123231564,-0.012387011598934076,0.016963544959047498,-0.04649551357800699,-0.06293700963535107,0.001834551323213907,0.035798210508275315,-0.003360167417552013
GRN,0.053744709253459005,-0.05026055726072683,-0.016252863513264156,-0.08490988761870867,-0.07500731464461695,-0.009813800979469808,-0.02732574214051676,0.01918297485544504,-0.09990272097109826
MIA,0.043625032130425206,0.0802072264015424,-0.015127748321595713,,-0.02117919539221782,-0.012354663788615808,0.0027400789869610515,0.021723751066287832,
COL4A4,-0.01380393350535266,-0.011269278387969248,0.07545444480074143,,-0.020544605259505334,-0.024297771835196286,0.0332501166728952,0.01889337790229509,
TAC1,-0.046924537899150326,0.05254027289675761,0.031846959637611784,0.1413514270046191,0.07973046793193894,,-0.030412083836342647,0.1116420166206118,0.12127208448898233
RARRES2,-0.013932904156154492,-0.04954999529079708,0.00232955176679668,-0.021808551207975903,-0.10088644404654704,-0.011165315125922688,0.033402321126118704,0.02028989422219236,0.022447271748105308
FGF7,,0.05523014595022594,0.015437806975929752,0.06694123751373153,-0.007979363882604475,0.00026152539983882516,0.030284903452405348,-0.030989782925052667,0.040183225214156355
EFNA2,,,,,,-0.014422954959487378,,,
HBEGF,0.04462028821573835,0.023793205786102285,0.020130956419642354,-0.01385330210636963,-0.04176850618049773,-0.02206591374607502,0.015137989982674164,0.03446653445256936,0.016572050152499275
CSF3,,,,,,0.012131278506154853,-0.025271117177176554,-0.03952767069891832,
PI3,-0.023298196051660464,,,,,-0.007162808489882045,-0.005831898987832401,0.020076444194412554,
PCSK1N,0.04017240106417355,0.01534547958185083,0.004759267882865254,0.08706326908151017,0.17129659823882754,-0.023801868101671272,0.02923094439484579,-0.018126150503927217,0.15592554154144941
NTS,,-0.013757228439503263,-0.0046945039362645685,0.044896325501428115,,-0.017571633668820544,-0.037537666618363906,,
SFRP1,0.04492414800197243,0.08291600933160657,-0.018134100755474086,-0.0184789329024355,-0.005280507344865096,0.0017744331728522128,-0.018825668814678526,0.04955400303928748,0.007830900443668578
CXCL13,,,,,,-0.03705668284345138,-0.004565943144731302,0.07909173797334028,
MICA,0.027296164775849122,-0.015293603968768027,-0.007858593697254,0.044665196329669636,-0.0822770434125409,0.01587886907118876,0.009108069748295903,0.011659449813596356,0.02407783604895363
TG,-0.034874083920586316,-0.015879468207228915,0.008699108903893697,,-0.021674936588875357,0.11327520327357131,0.1086637369930548,0.02261801749282713,
ADA,0.042357669494634625,0.14351045622780612,-0.02131373281029741,0.03446858923652414,-0.05072073189533655,0.08255825234363678,0.05196889576506705,0.08397020688272151,0.09117296590866832
LAMC3,0.027241333599939604,0.031630519115147755,0.016563499233744162,0.026505146852374702,-0.04005054465859743,0.0076816857373194864,0.022784486354158678,0.03849991441166197,-0.0447810089717708
CCL7,-0.014086527524411791,,,,,,,-0.05051376935955549,
NGF,-0.009592748556942456,-0.015153271813397678,,0.0668090327205575,,0.10091716860443886,-0.04338498572459953,-0.02251730430783909,
TNFSF15,,0.020990319768996457,,,,,-0.015692929915475703,0.035488003541755776,
HMGB1,-0.027402609825106432,0.019837003456865076,-0.0056066271669533594,0.03004918643869749,-0.045143291220534565,-0.03347939248128998,0.03483461156457723,-0.09669547399108182,-0.12560348673378863
ITGB3BP,0.02060703123444793,0.001101197842978471,0.030994514842831604,0.030265990015805922,-0.09538488849974294,-0.015240754119365669,-0.013110701394623418,-0.018895982722098314,0.037873842893362944
AANAT,-0.0035650278718325538,,-0.015127749163039701,-0.006711356771083848,0.05177024271264253,0.06334564269547173,,-0.024135547044556883,
RELN,-0.04412185061283181,0.03517447879833602,-0.0440718874394223,0.024205544156467335,0.058928982868458976,,0.08205802303177392,0.001559901405476182,0.022461332410567306
IL15,0.0046620314293577365,-0.0130922627189577,-0.02368658264891214,0.019817405261163563,-0.01795143172865633,-0.023495706672543245,0.015003107976792,0.10794853902214899,
BSG,-0.006023980998932184,0.0952154488474072,0.01818680721917678,0.018295362291518378,-0.11734959726129299,-0.012896282627869543,0.006338903403393452,-0.025407533736912437,0.11971917865815408
ADAMTS3,0.02588835521495663,-0.02108784781348742,-0.014002458769942645,-0.031060871090088257,-0.018241341739566336,0.044638749237454554,0.04845813372558815,0.09278178706267139,
CD34,0.03162258242384167,0.0703620660279068,-0.028303607934002672,-0.05132930795871516,-0.012723437242434186,0.0002994835283360343,0.024670765176479544,0.03473517670088323,-0.053798305015592865
PLAT,-0.04708828779061331,0.01799607847451159,-0.01336474472157381,0.045571736587938394,-0.11365056446535682,0.019512788724821064,-0.02580722673694838,0.019404767480988475,0.029955173352062162
NTF3,,,0.022782982236532197,,,0.09543654872008094,0.0716336581261119,,
LTA,,,,,-0.017951433944589444,,,,
CKLF,-0.03410766788453633,0.007571093308485165,0.03493581646118906,-0.04862296504642365,-0.14919367341346737,0.03353535004292397,-0.01203348243848317,-0.022890666706947838,0.02703132797309876
CD24,-0.006111910221050803,0.08293835254749994,-0.05805708085488007,-0.011945956252371975,0.00819419525578017,-0.017633495336426403,0.04087367568890199,0.09602513704792709,0.05782523325040624
HSP90AA1,0.06748928420838449,-0.0012726229458672172,0.005596437879591637,0.06585806589346044,0.15391112428076045,-0.11560550606716159,0.03736708007431584,-0.03486300565086079,0.10112949436141272
BMP4,0.02169125667207548,0.02793102631259246,-0.016828299956103566,0.05925329327370769,-0.015296475824331541,0.03397413505523007,-0.004472888804717894,-0.020192534453605925,
SCGB3A1,-0.01408652611577786,-0.016712504914613704,-0.012760404378840875,-0.04834476610090463,0.04148854659040503,0.002715659471405583,-0.0325892636241576,0.05859439189504648,
IGFBP4,0.002651890898504818,0.029723594176042905,0.030552962376568765,0.05144285949763579,-0.07054915290651768,-0.01178960125921144,0.03952194140986746,0.06550682290241233,0.04332832584716878
RSPO4,,,-0.012760402512343073,,-0.024901465008224835,,-0.02194748212804709,-0.030433968792377145,
LEFTY2,0.05793457475319793,0.053304115167415976,-0.013991937417935871,0.04636285510892017,-0.02216084472954555,-0.016583806872132113,-0.02984712571511174,0.10611963139871122,
PF4,0.14979284682433375,,,,,-0.013219636768059848,,-0.023840649851726587,
ANGPTL2,-0.026893643778472927,-0.007580121425374648,0.039685756237706586,-0.05068017489245572,-0.10452046536352817,-0.003446311707394144,-0.04761337424276599,-0.002815198318665995,-0.007234270613539466
LRIG2,-0.00942136426390133,0.06336570072179937,-0.01739717288055139,-0.005728589168327593,-0.03791826912856108,0.09301301699269407,0.012101271725353071,0.016035865192156388,0.021000272867883408
ICOSLG,0.0002537796423612493,-0.0186416879536262,-0.024216861066591447,-0.027334353385973537,-0.06724941485273708,0.0712091844382761,-0.029798734354327453,-0.008403397663760434,-0.03238063090216526
WIF1,0.027051501449109668,0.005872167804466184,-0.02401243554733987,-0.01520527445118026,0.09975893009992877,,-0.020402310512972276,0.03982744840348609,0.20001066421556865
NPPC,-0.0024294925153944117,-0.006788662025495418,-0.017733836750650673,0.02188409777947221,-0.0833145018372995,-0.02501243900969182,0.008802381294074355,0.1317653911681482,0.11507951338466639
LYZ,0.025193894716216414,0.04627186453872488,0.028963650625615383,-0.06355226747989273,-0.0011684811886381848,0.009391973109672843,-0.01728885276023447,0.041084425290167814,-0.06357873830572389
EREG,,,,-0.030051348693436605,,-0.0016078999515282484,-0.027335959026578188,-0.008659666756835684,
SPTAN1,0.015212239367082955,-0.024544832525982385,0.0009049097243302096,0.08854014072316002,0.07924357228923497,0.08148268866024767,-0.049647323964858436,0.04324100683179221,0.23615974077049098
PTH2,,,,,,,-0.013121093304560176,,
LIPC,0.11287499454916075,-0.020302742445792537,,-0.010611130556589363,-0.028200024005273185,,,0.0470323230652394,
COL8A1,-0.04978248721255909,-0.0062914645159012185,-0.05207377403306333,-0.021264177415619378,-0.09828375355700873,0.027746486565101026,0.00956896479130018,0.03604895920753612,
