,MGH258,UKF243,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.02266031323762519,,,,,,,,,,-0.025359590476366836,,,0.019184494492848408,,
BMP1,0.007050057636333419,-0.06827612344895163,0.014188924498504757,-0.01745445171554162,-0.0017597948526534876,0.0714120136592772,-0.062464042375562405,0.05841448718614921,0.05349159769489475,0.09799285724404354,0.053992685830986445,0.009828325786481773,-0.05944984870921358,-0.049297322161184744,-0.028859519637265123,-0.052466795877140336,-0.09775020169825023,-0.06304520871150948,-0.016811182873295777,0.029952022800557726,-0.10505552368294156,-0.03274784177798468
NDP,-0.03861262046633544,-0.013311848392841783,-0.0013514446853065813,-0.04996720478722376,0.12830337092413704,0.03330036315196623,0.07227912714014352,0.0023919417483135494,-0.014004624942724921,0.049787503434134774,0.009280021780648132,-0.02329406361508493,0.15127050493219205,0.021945114902206353,-0.01950652805787752,0.023615492829694454,-0.05240539136815759,0.03994967090843829,-0.06566007862060891,0.06618891257765112,0.07652568614084973,0.10944233639562295
TNFSF18,0.11666235682926268,0.05647030844277284,-0.013351517417830036,,,0.019079464206754628,-0.008542568875900247,-0.02917518739224661,,,,0.007064059360588771,0.04510336705271586,,,,-0.029481708880271778,,-0.03932553881640931,-0.01172955890508488,0.008802518499420913,
IL36G,,,,,,,,,,,0.026208140261304927,,,,,,,,,,,
RTN4,0.004940304322658616,0.040659281395497265,0.03619944070504487,0.007188240578128552,0.07948869175263594,-0.06041767388962105,0.056564550954625155,-0.030310492991505147,-0.014011587365811857,-0.11503233964618009,-0.08878189898702465,0.11815520596455421,0.05936771327018458,0.03411703347296245,0.04757340745721693,0.02030120052310026,0.1355137775044668,-0.04946307567725558,0.041856605862253884,-0.0015159954151746096,0.012365979200507915,-0.10198643040405021
HEBP1,-0.0015706373522192051,-0.0831505869877064,-0.02275279763706197,-0.04984923229288092,0.09065612153653803,0.08613108717379346,0.02314462785889926,0.0023611030916160904,0.019609729174023198,0.07478717390692587,0.007614225349572178,-0.035376492657274904,-0.00285598258392189,0.02151391988425795,-0.0021567993948448643,0.004182873355125545,-0.05305753550501574,0.007306579616254899,-0.011432972798005524,0.04539516350639263,-0.017604568675431725,0.08749857473410759
WNT7B,0.01869597675707116,-0.010265384609640561,-0.029080311273733016,0.0754195080997609,0.052754717874508555,-0.010976772929906958,-0.03704794718478689,-0.03925537516797602,-0.030646602167770896,,0.022092017537653906,-0.023191785425538753,,-0.04540903209375907,0.02899552956614372,0.024004790870108154,-0.031087096824599644,0.06094002370135172,0.08203172003047436,-0.014955872698942978,0.08053739360265948,-0.08397985909476906
PTMA,0.021286070304339457,0.07752079590422674,0.1135078561297764,-0.011347944590852014,-0.05193261204908356,0.1519625015332211,0.13508028689206453,0.019877339398576367,0.01595414241412308,0.21821368649038245,0.060288285069054634,0.1299240201657414,-0.16553221562678985,0.004404400814241665,0.017737671017877012,0.04631548655339369,0.16948769212579462,0.039900438014741635,0.03351241318962266,-0.05329283625345107,-0.09853973792946412,0.16244619842543437
FASLG,0.01222674833200529,,,,,,,,,,,,,,,,,,,-0.018320051529459463,,
CEACAM1,0.02496932815580891,,-0.00242340330137555,-0.025892614789626258,0.0060749896407628476,,0.006213319444032875,-0.0022844341313640096,,,,,-0.08292120608046548,-0.04520773665890344,0.10460917819082796,-0.021769312315545877,-0.04680964341914929,0.004225098487995363,,0.007996121605446235,,
PDAP1,-0.027819791637256567,0.009565055358807013,-0.03523132683236524,-0.049139039787719406,-0.03779214859739473,0.06235170302382883,-0.08891796483007018,0.02959908164770398,0.029126519312396865,0.07176028573096337,0.029204802747461817,-0.04829047058795907,0.07678120709950038,0.028929359000561868,-0.019768431532856314,-0.013073639095535041,-0.03897182383158527,0.02767455430700072,-0.0086675825707533,0.05458653016793563,0.027019684676019385,-0.04215129348463841
QDPR,0.0546243477976723,0.09026878374439895,0.03455476293004595,0.0437241678091652,0.07366851262088625,-0.005553434879081458,0.1916872944684016,0.07243679139843295,0.043294798796948815,0.27462626997326073,0.02683767842373168,-0.056369624273343744,0.06963549033516687,0.04453922407210709,0.03414000931909248,0.0669782178402611,0.19719948832084558,0.015770226715374053,0.09125341177249666,0.028635808067059135,0.06524222715814963,0.08677879352582869
POMC,-0.0350142119440991,0.03262714667631813,0.0151927374323059,-0.01202815185809775,0.06754523060187416,-0.0063309418327660676,-0.043612781891958594,-0.016509680862063125,0.011802840735025586,-0.01298660842993436,-0.05062489001841099,0.06687656792965174,-0.03733849929905854,-0.005748433257826376,0.003940958911927234,-0.01757515942097891,-0.008271714380187898,0.0519201668645022,,0.02523397897212816,0.04199359471221859,-0.01721581286190592
CCL18,,0.02421299638399444,,,,,,,,0.08665330769861611,,,,-0.08441197588788985,-0.0039382437686345745,-0.029760464756761095,,0.06870929445624795,,,,
CCL17,,,,-0.015007679782839182,,,,-0.028406169137996578,5.9913416889081145e-05,,-6.814985199818912e-06,,,,-0.021220110637943126,-0.03142536899259388,-0.06923213224785253,,,0.03236033681396786,,
VEGFD,,-0.028256219383306632,0.023382600212476894,-0.01672021257196619,-0.0204929097632652,,-0.0046820134768943865,0.0010842893769625783,0.012198460532328268,0.016037621097791645,0.05408692333334803,,-0.031122634041761563,,,-0.021769312315545877,-0.06774229433650394,,,,,
TNFSF13,,,,-0.010351961632410868,,0.05365124561057221,,,,,,,,,-0.029420202804402773,0.08919894895979084,-0.039535601767639296,-0.028915975576150846,,-0.02705657398340451,0.003641203359399085,
WNT5A,0.007064297783390351,0.011241349367072273,0.05171682532562112,0.04430793850959817,0.07731421727306569,0.03696354935305677,-0.01523482738376796,0.027998273164192622,0.012904412155801275,0.036922957015941074,-0.014609961902592342,-0.0318365206865147,0.02933358978139878,-0.003981019511344522,-0.015467323058595186,0.01139262999530326,-0.06781880645962532,-0.056383506453005876,0.054407114910170765,0.06247047100832613,-0.0521164971827916,0.014181807547483074
CXCL8,,0.012483600978287062,0.008757304725794472,-0.01304243741670733,-0.10761133499222184,-0.016103708934640474,-0.04625618528522978,-0.021326718559342567,-0.025910461504078944,0.05720157122782457,0.06109068356488746,,-0.045738510341459544,-0.04648036790872194,-0.02689707231288245,-0.10052941935851514,-0.020539247678957272,0.10653952944834838,-0.02352534674231589,-0.018384980762410325,0.0016584952695145208,0.06654154179457078
GRN,0.0445743588589986,-0.04461798700519786,-0.03850945149560082,0.06091625578863837,0.037869818608775425,-0.0061652134950540855,-0.015794238971811748,-0.006819787448670029,0.024195760487356402,0.14295657693642994,0.008895069589816992,-0.0304641760074366,-0.000535744864805349,-0.031871589112148054,-0.04604880774038171,-0.038930179666680054,-0.11670078035571173,-0.022193647695992604,-0.007667002722213207,-0.005024448219997967,-0.03391675027096279,0.055841692629067206
MIA,0.051175220763906744,0.13269850964807897,-0.032929888073709564,-0.021299208262257906,-0.08260359709430445,0.020997317417789083,-0.04104095084476603,-0.009184819002935699,-0.03164338205381434,,-0.008690418104628072,-0.07444164410997309,-0.021669425825675194,-0.017907807756937913,0.05011870693301029,0.11866587304978343,-0.06626849162933095,0.03142308511417874,,0.03486052655754121,-0.014260882675331639,
