,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1019T1,ZH1019inf,ZH8812bulk
IGFL3,,,,-0.024015363119793028,,,,,,-0.02622061242792539
BMP1,0.020929826676499234,-0.0005314687729360911,0.08582991999976397,0.07141749771999126,0.021444873774471546,0.03410040580633201,-0.054901726559551244,-0.04787618267191767,-0.03227941481175507,-0.03865165607402418
NDP,0.05741593240810824,0.020823767701105427,0.031024274350406614,0.051088143270231035,-0.014064689878517795,-0.011112501488124541,0.01974690938467637,-0.039493693455800824,0.0018643258653849443,-0.057146921998241354
TNFSF18,0.006457687399568406,,0.09112932368728124,0.017334311803533353,-0.02151945295604,,,-0.07168265362543032,,-0.028623772824225475
RTN4,-0.029826691277341794,0.006588058044519867,-0.06947102395739405,-0.08852319785356166,0.0066714833023059795,-0.034941185824203774,0.010786872654703926,0.01325439942809081,-0.08295837966641771,0.04455668561697723
HEBP1,-0.04288143353765571,0.016697918608962588,-0.04424281388223332,0.08475260920160048,0.013380503211340359,-0.014274652901656559,-0.03693504091009433,0.028694631599255564,-0.026607012348224823,0.06585213236581497
WNT7B,0.07573577982999677,0.046972230042324016,0.0581822315160282,-0.03415860124174552,-0.03706402131408215,0.0021917309333721467,,,-0.03887552586770364,-0.08719633480202679
PTMA,0.05325092424968489,0.04261765776086731,0.059315303227704064,-0.023002912270212776,-0.01270232906808096,0.032102935571402716,-0.0631883992790015,0.1114872157180124,-0.04736040928673874,-0.04547954271917013
CEACAM1,-0.015712247865129047,0.038590265761898196,,-0.012885302946849277,-0.01750813346717993,,,-0.050565283582190805,-0.03486419428099209,0.05127617462649543
PDAP1,0.03624384201600105,-0.011436887520753763,-0.03743547666565279,0.05844376456839323,-0.031740565757116264,0.023473627752939784,-0.0423317762473347,-0.011347421465884636,0.04116983473351922,-0.005699976642212107
