,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.017543368077277955,,0.04939634164168654,
BMP1,0.03714207343489661,0.09359334823093321,-0.015493660169208117,0.05791627388202883,-0.03571876144974941,0.008740317664981014,0.03886208379667196,0.004544976538249628,-0.05650309716226674,0.07826925335755675,-0.04276966906727783,0.026485827953115527,0.10313984370764528
NDP,0.022535936235466167,-0.02423657943591819,-0.006605150135867022,-0.06121087907145376,0.008861180453637771,0.04217331474939424,-0.001358849223876217,0.040722958818979,0.10284101528618632,0.050176535150321,-0.006953924537464806,0.1441247195127081,0.11735760984467436
TNFSF18,-0.02016011993188144,-0.03400768930720389,0.0010335105950160276,,,,,,,-0.018092165839465477,,-0.06985930402340639,0.010289092985229804
IL36G,,,,,,,-0.01614024145987865,,,,,,
RTN4,0.04368963787055608,0.022014325278315962,-0.013858059801602037,0.03379560151096773,0.016820944982027384,0.0043228711898287255,-0.08981300059273163,0.01567047667495518,0.02665453393329966,-0.05679617359477606,0.0881280953144269,0.02384933838685521,-0.15041899857852364
HEBP1,0.009990157475638134,0.10470917885293782,0.045893277646202914,0.062341216318305456,0.011410160565049727,-0.005752176097125088,0.0692993639303876,0.0583422032789248,0.05447135592675169,-0.017275572380569742,0.01823865072146764,0.06624114374430407,0.051988799123850814
WNT7B,0.047959866718171984,0.047388194012178864,-0.015480750617120726,0.06099251281965108,0.02442429700129754,-0.047484583033080285,-0.0177399853884205,-0.028362746884802486,-0.021310260825651076,-0.03783218238845488,0.08678898734024897,-0.029019626936923355,0.04646124415011168
PTMA,-0.018110542502488402,-0.018513634791748376,0.008936916636984961,0.012548126932817382,-0.016887018688808632,0.01588468856821784,0.06800119823945694,-0.03491718189888158,-0.03680982871764078,-0.05046000436991756,-0.0398456453948229,-0.10501483743595799,0.02030280237819495
FASLG,,,,,,,,,,,,0.0008913822834416683,
CEACAM1,,-0.0060709228054673,0.1518020628562022,,0.005431719641525912,-0.0199252771897725,,0.021446982730672245,0.05802999865521239,-0.007147778154929118,-0.011647121348322317,-0.04018834436814082,
PDAP1,-0.04337016771374126,-0.0037766417003609796,0.023352623491614814,0.01214577532724418,0.04318859570938612,0.03943743413474586,0.027776844747041587,-0.04214110997776902,-0.010298032584070284,-0.04382108793855833,0.03276354819398289,0.020627939121933194,0.050815351328964795
