,UKF243,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,0.004728261504969431,,,,,,,,,,,-0.02279375393807672,,0.06630676598701822,,
BMP1,-0.03344599874074508,0.0076143708406678084,0.0432848333815119,-0.058111988739309596,0.06989578054510823,0.02556474997785512,-0.053052707024825514,-0.04051244955982268,0.021892621246105068,-0.010465901695025155,-0.047787095783356534,-0.0451068039691033,0.0163141356087311,0.035778410946723516,0.03436262073317112,-0.030402279219043593,0.012863327240420505,0.002958649438069628,-0.0030178445290475267,-0.044269206696484154
NDP,0.07293116291239131,0.004761919510240581,0.013600401262363872,-0.03413143974960923,0.05491731386879636,-0.012331527246606128,-0.015661528878133022,-0.01535982168270517,-0.010838558559422081,0.07022549928926307,-0.022144696012529948,-0.1057454238493812,0.10241052261020112,0.06837265919854306,0.04410936564047166,-0.011443466231780493,0.01895980606457141,0.06877362657128037,0.0065705373657758345,-0.05530955374061152
TNFSF18,-0.02900829895124518,0.01978300976070524,,-0.021631906656536477,-0.026066701096124894,0.0687879057655529,,,,0.022692373648215254,,0.02542844082812223,,,,0.10364773169745799,0.02976318998486616,0.01722850494414249,-0.04514485157803745,
IL36G,,,,,,,,,0.0009169358738612905,,,,,,,,,,,
RTN4,0.10741658794361847,-0.035165355689062615,0.018757523784775403,0.09330241677571463,-0.09830816676888063,-0.00798671459465512,0.015079661412736567,0.1749129568086468,0.028590944576360116,-0.018743367047551727,0.08620117852992257,0.07164571507916438,-0.018291421328026698,-0.017972296194448012,-0.03294954972488298,0.0016423034509112804,-0.13237157806864347,0.030819838033953204,-0.024620301604185504,-0.03096663780824788
HEBP1,0.043157932920452155,-0.02343490712158804,0.020233645430480115,-0.027944148472969665,-0.002002897036008435,0.062357622589483845,-0.011776278168490438,-0.03217942513466003,-0.002182445629267823,0.054682524597486695,-0.05348133912229361,-0.05742622901493038,-0.019952358662123616,0.010531511429825568,0.0661246642482999,-0.03200242414474445,0.0726329029424625,0.06303740781283187,0.02789087050625483,0.10093565956806418
WNT7B,0.01699985326203757,0.09235872359595736,0.026898362610348267,0.014975675666089015,-0.002501381442196147,-0.038714618407070515,-0.009858606345896132,,-0.019703596676419823,0.034728713401555984,0.045890524380347714,,-0.02999193491571452,0.02231066038630104,0.03615929999879536,-0.0056160231839264,0.09116826538147525,-0.0052241956527838375,-0.030345762282382224,-0.05552373897224949
PTMA,-0.005690488871715893,-0.011734950027038577,0.04345843888198024,-0.05211375729466057,-0.027312266127266793,-0.009587646965808704,-0.053358391528184036,-0.12189071561993961,-0.029061259231953282,0.07100514078847242,-0.03170696957208276,-0.03954199334528358,0.016394890344453485,0.042573172535141264,6.993864382346015e-05,0.039468610703395614,-0.06252962721049678,-0.05777119302710195,0.008314388933263486,0.01997531552013187
FASLG,,,,,,,,,,,,,,,,,,-0.010768558235254092,,
CEACAM1,,-0.02890085112289075,-0.017709626184374678,,0.06781643737856483,0.0060465005803640335,,,,,0.016011414454980947,0.07526959472249402,-0.026897247623678427,-0.012171031898372438,0.005730871401878187,-0.00472472496466525,,0.008957036325938833,,
PDAP1,-0.05122933351137049,0.042878475925903756,0.03858496282384039,-0.07487022759373523,0.07254480643764545,0.014133902891730278,-0.009698441432129702,0.031267192080756775,-0.0006340009286752754,0.03331318168651136,-0.017339758902143086,-0.0720135296090233,0.031604902651622926,0.0018052714708390292,0.018372711207618464,-0.05827819072492931,0.0025963264673697466,0.009147021445227914,0.0362791650681631,0.052018412436649154
QDPR,0.002826064077898036,-0.003956438662263829,-0.0014578218726028923,0.10775429622907672,-0.07405748265658073,-0.019823868613534044,-0.015351011310036515,-0.09357474963540917,0.003936030502224511,0.013014380842720857,-0.020450642602126586,-0.11942440980950988,-0.022059212858243072,-0.017781356911625183,0.045746861871106485,0.012214112059628721,-0.058692343391418794,0.06438833145812857,-0.025557079810101406,0.06829396715070862
POMC,0.01988400679637261,-0.020280004479067467,0.10645244678495863,0.021525773287348556,0.016327835585194652,-0.015671669478024473,0.03130432086474635,-0.013109580431095072,-0.021016673596820287,0.022828764372019326,0.010008835968596199,-0.08140206920462094,-0.06405420724124967,0.03206756340167441,0.0038968024959176437,-0.018165651923979186,,0.010029090287385802,0.07822872763104871,0.09737999389475684
CCL18,0.056032129270296126,-0.03606553153256497,,,,,,-0.04768055872459849,,,-0.0675172883149974,,-0.01907059079836068,-0.05034209275219239,-0.02246993007959,,,,,
CCL17,,,,,,0.015847699794250058,-0.028565431563846565,,0.024852658005790344,,,,,-0.019516676275981717,-0.0376692713810555,0.0053669119612374085,,-0.02418538328353501,,
VEGFD,-0.0024504222673087874,0.06328741873425071,0.026631687866822778,,-0.0028450445543717197,-0.017946938423057435,0.007986139561431224,-0.0451285622258515,-0.017551333139378813,,0.08169080081403744,0.05632179420321273,,,-0.02609465408621014,-0.03169584591359888,,,,
TNFSF13,,-0.02721621607301227,,0.03379400868245912,,,,,,,,,,0.0211936424896069,0.07180345019410844,-0.0322271494072678,,0.005030663836652766,-0.04911115906944241,
WNT5A,0.13464626899590132,-0.0282217245388468,0.060459060425671965,-0.06765463760896087,0.042647241050148436,-0.015100112276262857,-0.0017681869722475415,-0.009235969028754893,0.02327764363289214,0.02757228093127283,-0.09635872644886843,-0.050954675166937864,-0.016233985020899053,-0.019708688300624395,-0.02344686073474553,0.04037689559369896,0.0027524302527679634,-0.025975593389690074,-0.030595138447320445,0.018418152327755413
CXCL8,-0.050964939109615644,-0.03816248598124213,-0.11492140872874172,-0.029840465685174632,0.059730108613442655,0.034577068502574144,-0.01951242801860881,-0.05047990275980583,0.010931437608584926,,0.037275959874949464,-0.019662828986605298,0.032477613801640486,-0.014233105908495983,-0.12837450515000048,0.057672311602777256,-0.08511285514083085,0.011098762151818984,0.04496727256047341,-0.08831125066542646
GRN,-0.053550757792705884,-0.018917614866569416,0.018318337777663802,0.018609831155316277,0.07626011869571231,0.02220505943170868,-0.016761057602165792,-0.06476166605514753,0.009783583958688303,0.12308857228955222,-0.11984163022854236,-0.09044481188036184,0.008106172267323426,0.009472536704469117,0.039256664689079,0.021891475350299026,0.1514842137792781,-0.07903598719128216,0.007505719618137326,-0.033239212785563285
MIA,-0.013815620459625894,-0.031611163707724446,-0.009995467124298149,0.004605104036412674,0.03670971909198342,-0.015810858953816145,0.025057394269740935,,-0.02403735506915623,0.113661828015068,0.04032072150092687,0.011603328446363267,-0.04698849135079895,0.08144745556382808,0.07751763295037577,0.04779904242016608,,0.052233168498529395,0.026659063065348654,
COL4A4,-0.044124318774175324,-0.0029388864580171805,0.024259206035905617,-0.0015515364547550087,-0.017297857522490755,-0.017586716539704117,-0.009119110426634283,,-0.023317126181282708,,,-0.037958907685158076,-0.02411118543761192,0.09316760948569101,0.15252658642557254,-0.002452832991402762,,0.04077823785191583,0.02865083547184008,
TAC1,0.024371831250288117,-0.006012375959030269,0.005138722906486277,0.03654087655988438,-0.017462705636459432,-0.03742494670918841,0.04212647431240408,0.11377934589614427,0.016692262503420326,,,,,,,,0.05626630735771945,0.019848385686958913,0.023033416095918743,0.07408638892608524
RARRES2,0.0722416576464443,-0.00808013256752959,-0.04630898014693017,-0.027348344259051468,0.08104535430289515,-0.04242788859385908,-0.012626787956860654,-0.039018125586308246,-0.0015169848423421434,-0.005643309266629488,0.0639083446935079,0.04915664391224955,0.09562257644547287,-0.010677801024322192,-0.0205365790002518,0.03414312485276848,0.025006528944614276,-0.005900843193012241,0.06843344555578745,-0.003891185364053357
FGF7,0.008083243181795539,,0.051623756124676436,0.014201013594324036,-0.025464173300108073,0.032882292834239796,-0.03141962060164633,0.0760396789005963,-0.0006164315452436548,0.029819398060612325,0.04672755384839017,0.026093681945228292,-0.03581027904853699,-0.07697499270207282,-0.005099822493625222,-0.028147491197183374,0.025511687394944537,0.08965509064928148,-0.010641070852633933,0.0560395304105751
EFNA2,,,,,,,,,,,,,,,-0.024801222374393406,,,,,
HBEGF,-0.004267046905798842,-0.005904092252292703,-0.040364029832187176,0.04530452299698701,0.09008787654728313,0.0663874872343697,-0.02379432924353676,-0.06614002340542019,0.059100646715671785,0.12005352063775497,0.06382327532323782,0.03918958518747665,0.0071526821338516065,0.03405834069166352,0.003939761100192961,-0.03156539779640196,-0.06022074059714488,-0.08822732080657576,0.02210251367350166,0.006330598964751595
CSF3,0.008659162127257493,,-0.04299823195984014,,0.1305919403246977,,,,,,,,,-0.03959517696782546,-0.09298507177196243,,0.007610521259025873,0.07654064645651763,-0.003514680596446281,
PI3,-0.028703038678507,0.0008227831023669462,-0.05197603831366475,,0.11311340304199348,,,,,,-0.061975519228126635,,,-0.052473113310099205,-0.07159146392395092,-0.0063538069000907875,,-0.01048548557888971,0.10360296498470854,
PCSK1N,0.06322714889532512,0.01473903305922061,-0.037773830297131654,0.01093569869698686,0.022037551670478737,0.03689970444814761,0.033681025359150865,0.1588960197843076,0.020561590920954182,0.12050404125894006,-0.08351801320779892,-0.096630135156179,0.052766947071573735,-0.02890198889987794,0.04540221339612356,-0.0016940330814974945,-0.05465445698059619,0.0730787304986562,0.0002627338535440461,-0.0896967167454684
NTS,,,-0.05028075632769236,-0.024366693002806205,-0.0058223550907559795,-0.02009077932178127,0.029717274568919084,-0.01363516771355135,,,,,,-0.03629603585939862,-0.030215583098325484,,,-0.0377079380382555,,
