,UKF243,UKF248,UKF251,UKF255,UKF260,UKF266,UKF275,UKF334,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.01547171398475869,
BMP1,0.001164605949660289,0.003686811754983955,0.049453106682726615,0.07876806238441016,0.0007407925556045623,0.046419143544522624,0.041207588292702574,0.02167260815326824,-0.0284302979175612,0.07412927662187165,0.006485300463303338
NDP,0.060906220635750595,0.02095179488556391,0.04918421893311414,0.06941115158964124,0.022777222116037766,0.00527056894476915,0.047476976731180745,0.024612858023676205,0.00446786147639299,0.023927444601499828,-0.007184443204800449
TNFSF18,0.06329343653588003,-0.029286969369777732,-0.02528979802809401,,,-0.01429293937072749,-0.004377061155938945,,,-0.00984024407094816,-0.02430873417830757
IL36G,,,,,,,,-0.01471457045811027,,,
RTN4,0.004561372914837403,0.05946049258347053,-0.004257227704567762,0.004261464191756458,0.03109121059960153,-0.061718653339743815,0.08888959053592052,-0.02769896399015168,-0.11752572392432861,-0.024423721852437616,-0.028825625058378632
HEBP1,-0.03278472487111459,0.04951781451778357,0.0038642582346205493,-0.0350604534265668,0.02603980516073851,-0.022437867705026076,-0.04798628133895552,0.04546530477182589,0.02164855702169577,-0.02467137691557906,-0.03409633935878661
WNT7B,0.09870616296434186,-0.029704435106963623,-0.015709238582761135,-0.030595332802586254,0.03748205757070287,0.024555698412302013,0.03836323530039643,-0.0161730086611556,0.006247013181397365,-0.03302306932508666,0.17475756707119772
PTMA,-0.05658557617036489,-0.018838480700116834,0.015783384352091433,0.09271111230587814,0.010915148118857408,0.0805497178282163,-0.05018892070966734,0.075675655419527,-0.048426358633301025,0.04314317308968772,0.05538757025263565
FASLG,,,,,,,,,,-0.013418612260729717,
CEACAM1,,0.002517630002596739,0.015081998783573282,,-0.015199079560288072,,0.026397712966031984,,-0.005926494276052063,0.02514584640695263,
PDAP1,-0.05166486702752627,0.00929942690037846,-0.006189983119762568,-0.03813843004274171,0.0024231266670810404,0.024580632304056337,0.010802450304058306,-0.009004895472002283,-0.03668708325371929,0.005446626261846902,0.08548243846035634
QDPR,0.030120448450935543,-0.0334092337886764,0.014073279339725932,0.07433891240778145,0.003341771540553887,-0.039280685420100436,-0.029617411728303435,-0.0015000054845777798,-0.0014742783866886968,0.0030949527492452906,-0.09075962058287364
POMC,-0.010276208639593913,0.039411662123284,0.08440130067474019,,-0.018681053289852007,-0.017309224203778107,0.0803862477558795,0.013158086879434759,-0.05879198734043374,0.007603854452685481,0.00998437479857999
CCL18,-0.034529831237608624,-0.030803419423303256,,,,,,,0.04341659367942148,,
CCL17,,,,,,,0.024738906697483756,0.035878680232262324,-0.017371461978257577,-0.0121624648409359,
VEGFD,-0.0237951640780324,0.014696790993248963,-0.017267651916911243,,-0.014541618779387417,,-0.02545587635793089,-0.014406398361660862,,,
TNFSF13,,0.03700361479172775,,,,-0.01386116951425659,,,0.07286733314067138,-0.019817721298612777,-0.026444435395783682
WNT5A,0.034741772720594866,0.02313345424301978,-0.023085136288094336,0.08350659998633611,0.057936937865440595,0.016555803267911836,-0.0060862375208194305,-0.024889089083385746,-0.03668231730173386,0.04956841588893943,0.03271762354807453
CXCL8,-0.08946706440781105,0.04149942717364282,-0.016168405768625736,-0.07957042121873555,-0.037341122861658034,-0.019716614610279765,-0.0028527037243298386,-0.04331452746635347,-0.05606811693695079,-2.0393856661643274e-05,0.03298451458092142
GRN,-0.028433400798809457,0.05734254531751966,0.0219678826881562,0.03904062923898138,0.040713169927427004,0.00682454758352435,0.016205022630989434,-0.03508074058377575,0.02328041373102762,0.07224898398259684,-0.08584486659462859
MIA,0.12289935065216007,0.004410765734944735,-0.01535664203924748,0.051658389491884296,-0.0441242959346703,-0.025063667763736697,-0.021415559307300075,-0.002607757963475377,0.10901452330077795,-0.06438141191267342,0.010857702805686093
COL4A4,-0.039164699681612916,0.1503591088542383,-0.013279551531369728,0.01024125189350938,0.04465198426269663,-0.013188290400581757,0.05451517355034522,-0.019139048056867985,-0.01577677602878246,0.010127455090815668,0.14567150786066302
TAC1,-0.011941884868560874,0.06673052304034943,-0.0350231694605724,0.07208644909761619,-0.010584418741268673,-0.017947000921406196,0.02310105811843923,-0.03391839861989677,,0.00940154835866686,-0.04304632124285446
RARRES2,-0.036393996038380845,-0.056344843348914334,0.01225400286531333,0.032528605657779076,-0.05253630531436779,0.01646516339108301,-0.05058090411450442,0.06841419805682403,-0.022450168203756393,-0.027661016734560766,0.1295699084291535
