,MGH258,UKF248,UKF251,UKF255,UKF266,UKF304,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,-0.0605985271393687,0.03952118349941636,-0.06124775878307721,0.24176704483676828,0.3149610469395895,-0.01063509911450174,-0.005264807098363207,0.05239481908131531,-0.11874116260390062,-0.10589545367017453,-0.09524146841786844
NDP,0.06638109637166008,0.06963660129391774,0.010241155888149205,0.045134064856477446,0.010742352406657121,-0.04187494625474556,0.075839329320853,0.03295906729784811,0.03278971368702638,0.1214682831436118,0.07796425490060829
TNFSF18,0.09357940067629486,0.09589029401573543,0.05204369168220684,,0.08306144799785091,,0.060836288469193193,,,,
RTN4,0.04171306794015962,-0.04590472172109835,0.01966471793368905,0.04284670715546841,-0.49843390075798505,0.04092962459374387,-0.055675746895719004,-0.08555692115028486,0.030329353770126362,0.044630052761851606,0.18623539942615672
HEBP1,-0.06120455123662841,0.029770594839413758,-0.023591017318291687,-0.10590765714424343,0.22011804024526527,0.008074148645744975,-0.011461077877848289,0.01881134885753408,0.07195790658347453,0.09645215338278694,0.05097443852621063
WNT7B,0.15596550106795198,0.016205038343555155,-0.02329934851618933,-0.027462608606136807,-0.04314256404003963,,,-0.047517302960487236,0.008623791630060771,0.047449477984887495,0.06934807760475659
PTMA,0.08209544170857216,0.11901820150623815,-0.03814155243497856,0.5090108541727816,0.7026770351105316,-0.013542095277853387,-0.08828380310761763,-0.07215307006483561,0.015080171290376395,-0.0084057514438027,0.010479974214575702
FASLG,-0.020783307116142697,,,,,,,,,,
CEACAM1,0.022263218665544218,0.04703684227327594,0.018729929443313597,,,,-0.00015725827644491746,0.019451779172587523,0.079977667691457,0.014845936294998708,0.029236582251317016
PDAP1,-0.008708096766477933,0.09203026260449265,-0.023489801249139037,0.04825214837007178,0.31566922883263704,0.02343720914609936,0.03479772156098976,0.08576972633408325,-0.04709326218708864,-0.15594849504479247,0.05182317976454249
QDPR,0.08742712712122558,0.060815564119068334,0.0026350067433593954,0.2663021226198697,-0.1542151039195392,-0.07154942223023765,-0.021762029237647598,-0.14560153818009056,0.17220174190035129,0.2850692359897504,0.013298618960647848
POMC,0.027909358999390305,-0.03256582547141737,-0.021109669904974065,,-0.03346946272256062,0.09661369182750533,0.009458797769536259,0.0549810470277457,0.04273540089175423,0.09526388672513689,0.07643782432231558
CCL18,,-0.0715519421177139,,,,0.006141602624825481,,-0.04441275901852906,-0.06878871667275856,-0.062190331870943506,-0.01830170513429738
CCL17,,,,,,,,,-0.06043079608735253,-0.06088071731651881,
VEGFD,,-0.016745315123278946,-0.012133566767933236,,,0.023265654357521894,0.021956959512955298,,,-0.0075130175958249635,
TNFSF13,,0.0014805448870157032,,,0.022354413038349015,,,,0.098204242184827,0.0777473604938623,-0.015708276749288912
WNT5A,0.02387087143713675,0.008257180352309882,-0.011702166344787135,0.21335107680623122,0.4629628473496122,0.029563696972226113,0.04373018519623927,0.07938259491204201,-0.038249565903218645,0.08474014333568962,0.0316287055958872
CXCL8,,-0.13622827371946805,-0.02398036791979029,-0.4779627411472453,0.019399333945227262,-0.0516973418782918,-0.1438423274577609,-0.04487367443293771,-0.4104306782897811,-0.5421822067298723,-0.1060582118849766
