,UKF248,UKF260,UKF275,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,-0.003948923326107568
BMP1,-0.0874368073138802,-0.028479728552082938,-0.010909339041976357,0.008457389191405864,-0.03933787015265265,-0.03917173272058078,0.04579634157908804,0.007653957432828582
NDP,0.05128835003840629,-0.015412230831083598,0.008239590036822194,0.03039106275432654,0.060503031166587444,0.047181193640026146,-0.0001724150623434287,0.09723281647709155
TNFSF18,-0.0008026936214563414,,-0.014222981148063937,,,,,-0.015872436510504337
IL36G,,,,-0.01631020145683875,,,,
RTN4,0.007019029667650075,-0.006104508044480023,-0.04822831364891297,-0.025524170865030033,0.02965310110375827,0.0006261541337739755,0.08203904477925951,-0.027241511645117858
HEBP1,-0.05505463926697378,-0.05052810741803933,-0.027499497836477704,0.02916883362216215,0.02196833605771603,0.05480574407806596,-0.0010139244937037385,0.03771641903747274
WNT7B,0.025289422604164127,0.008196954353688956,0.06822399251472747,-0.01792679101150756,-0.013697114433553112,-0.016179902166766617,0.003710660627183999,0.050980171294504856
PTMA,-0.018164075015304,0.0936590726347857,0.021061906814853697,0.10000880503011196,-0.06492079422360253,-0.07570478184075717,0.014277017706436258,-0.0382447968420253
FASLG,,,,,,,,-0.019703626375798016
CEACAM1,-0.024532626813064118,-0.005265770483314458,-0.022369360947681525,,0.007706582418588032,-0.026232708116996975,-0.033482747644295145,-0.0274147021659686
PDAP1,0.012854889242807947,-0.031919990322563305,0.031629102894348345,0.0027980701442541114,-0.06341654104627678,-0.07750027980698605,0.00761745668307193,0.050956278898030415
QDPR,0.042838416009897205,-0.005286381749661485,-0.1006528503804234,0.011994122197619401,0.0686509844426169,0.08167878423260222,-0.0035796385283184662,0.06040485393248709
POMC,0.03622594517993318,0.02383473755121188,0.08518636965968725,-0.03494478143619235,0.0034237205107441196,-0.020285694654879817,0.010220752654152385,-0.026298080053597336
CCL18,0.0037594601247265967,,,,0.045696215784813775,0.02714382242110438,-0.017001656957464722,
CCL17,,,-0.017738826621008574,-0.01489983207728456,0.025068496740235546,-0.03786856104145019,,-0.01785912420585499
VEGFD,0.02503959527883469,0.07989623225030229,-0.018899219394086435,-0.015968611534742466,,-0.026232708116996975,,
TNFSF13,0.036873105078327306,,,,0.041613379843948334,-0.020480488909111482,-0.037598881505909135,0.0008913647806658023
WNT5A,0.011942254184770528,-0.02714476367047685,-0.025560543226013067,0.036249753571061395,0.008878119983167725,0.03137467096320336,-0.01882519844932484,0.040989000697033894
CXCL8,0.019105192133189355,0.010577984043170414,0.06597441750254965,-0.006226879546721911,-0.012548176924807117,-0.10565553414162801,0.03746856770351423,-0.05897969592037974
GRN,-0.03062014162148123,-0.05656975098403952,0.013865706418906531,0.01107970069459829,-0.01857250391075608,0.005008032060927352,-0.03147734440459508,-0.04833272409668006
MIA,0.032587026832958346,0.0063265157283664535,-0.0018156100677708797,-0.021869745299337048,0.017967830502414697,0.04765462682918206,0.06244001536062356,0.0426462543211197
COL4A4,-0.027083397221583663,-0.05319466981237278,0.04244173108698164,0.011884810470607141,0.10329953092897201,0.07573462355032579,-0.03962903133450728,0.026890633407319252
TAC1,0.05956190382067989,-0.06609262417790206,-0.042843387251939466,-0.037596470529587235,,,-0.02528766103308852,-0.023477634760780897
RARRES2,0.02304923359999388,0.01685907666402066,-0.006169572450005834,-0.002576736055973772,-0.005158345421931548,-0.054412559940521285,0.10549259742231416,0.08299627760501029
FGF7,,-0.03138659862987071,0.012023217240624703,-0.022559350081551056,-0.0034726017982889407,1.7593602954335134e-05,0.02377047504979563,-0.030884377138401458
EFNA2,,,,,,-0.008132939872319748,,
HBEGF,0.0023277460816147214,-0.013601407307392024,0.06977315918011344,0.02302081269780802,-0.02752794622613092,0.00042010527844425354,-0.010528602026448447,0.01505026549886482
CSF3,,-0.06469640895237962,,,-0.04960719786831153,-0.058638375423471764,-0.013358187885236865,0.06998504759714991
PI3,-0.03220763989485604,-0.058836782977285576,,,-0.04570610274777355,-0.11242752600783677,0.07989071954037645,0.012809259767835071
PCSK1N,0.02478185576562373,0.030967360823663144,-0.04243032802918881,-0.0596081740259553,-0.005548491023201293,0.024331880153501132,0.061911763040301215,0.07890758562649812
NTS,,-0.04780706986551494,-0.021156814452135044,,-0.03238259082134285,0.0788165136546146,-0.033305741681869755,0.001285643156915171
SFRP1,-0.03499257525989623,0.035405979274305936,0.022884299963323026,-0.017387814807351982,0.016084541470278182,0.0591145800898712,-0.015602326459292477,0.049132489167634734
