,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.041871549890672516,,,,,,,,,0.05103101652495161,,0.021966716369591025,,
BMP1,0.041767155493406455,0.024522227487986634,-0.030187580946084216,0.04233600434220909,-0.013886425531276489,0.08831951139278327,-0.009639068264905262,0.22121877052593403,-0.011250773550645361,-0.04908302609064506,-0.03853943270810085,-0.07011237605640003,0.038893138912283236,0.12077003595365918,0.00954072623446276,-0.05420457414974228,0.03234824829684647,-0.006125205915792493,-0.06074224551717807,0.08265360751614516,0.09336218451500064
NDP,0.059137318781913785,0.04722204060528874,0.00940101077859393,0.02842462840757533,0.03707628642501915,0.02972635822815851,0.0016679031268604654,0.057271890976229124,0.04612167527555285,-0.004648782321980267,0.026532816915365607,-0.060923486372412274,0.08525360453261296,0.07965870428051795,0.007107395047087428,0.022932247171835864,-0.025341256828441523,-0.053115016367657225,0.18646783133918116,0.11854270703319642,-0.0044945242868235785
TNFSF18,-0.02666311609833195,-0.00694227923750542,0.009373335916409601,-0.007249458534919851,,,0.0451767810060673,0.025205325371376746,0.00497610621090884,,,,-0.04020422218191328,,,,-0.044838976289182285,,-0.0163778271329121,0.043254360039188894,
IL36G,,,,,,,,,,,,-0.02108120941643806,,,,,,,,,
RTN4,-0.06191616965710744,-0.046407863458082316,-0.02643440433314153,0.030928314702681578,0.039418517793282086,-0.04443111832854842,0.026539948998458764,-0.2445580008588822,0.04208721234887888,-0.06162019469168673,0.0523199989470716,0.14513774353332157,0.10972891137976755,-0.08479658964071125,0.021333257979074326,0.01733409261351878,-0.06738328999215593,0.09219726520185224,0.018669860712377678,-0.1254136120966887,0.02473147697720328
HEBP1,-0.0034448762640778767,0.00446552024519666,0.05250432814932288,0.03128300779282767,0.017601250282291613,-0.001156149628753566,-0.018613654351664285,0.11347095802919276,0.06077949107060467,0.046143165850890684,-0.031626526345290805,0.022483522421741405,-0.01168363455500354,-0.0033083529045076225,-0.019036675690198897,0.01952053832410453,0.033714799253141935,0.06309819838500581,0.0904828651067845,0.08919765489265008,0.03991597127563573
WNT7B,-0.0038241255443163835,-0.008454384472558646,0.03782366436204393,-0.023337004735449692,0.07395897710680709,-0.03886064321183116,0.03948929164523145,-0.0658211233894991,-0.008547234955186424,-0.07156340967805734,,0.006268761742477348,,0.019662311583784484,0.02606566193260232,0.016209995921578475,0.039846200098434516,-0.03705290463961005,0.05025417688976489,0.11085707550316953,-0.04128122589694928
PTMA,-0.02174921766035949,-0.07011281022432378,0.0020365512865751665,0.028699209617989503,-0.033556393142719194,0.04017484745126121,-0.09150477743214223,-0.11355512722657654,-0.02466076844313389,0.045659807081400564,-0.05474780467120873,-0.16234084590516495,-0.02522012321399041,-0.12240964346474391,-0.008021879846728546,-0.004557981305890511,-0.030352926855281712,0.040930855347392124,-0.13009666365763745,-0.010457607531199804,-0.08964653371320468
FASLG,-0.023489376810996287,,,,,,,,,,,,,,,,,,-0.024002572229756068,,
CEACAM1,-0.004743846304394923,,-0.026724364702712805,-0.007967918676660813,0.00604480862402913,0.06628898969879847,,0.08411482268963852,0.04007960637078639,,,,-0.03676482683827126,-0.009320724026247874,-0.026589975249138677,0.026082805340311446,0.07411933840612994,0.03859825231000164,0.03553099307711567,,
PDAP1,0.05482121290905502,0.02326430275427454,0.032076451101247766,0.06923865828740743,-0.012547475986557923,-0.0063460826572161585,-0.023511564682920826,0.17639785237481487,0.04910160258097863,0.05281533681090254,-0.04527545371405411,-0.04872482672130358,0.06891110729185936,0.00032856373307426197,0.07402232445615275,0.006434083984836153,-0.01661944877303264,0.02984129351398733,0.05836470166611244,0.0005996785177452714,0.05378386716866869
QDPR,-0.016193921299114206,0.0328189814822637,-0.03928115002631168,0.02726553396197316,-0.06094038633199562,-0.018869630920879406,0.018847487703487993,-0.202332063422177,-0.010906343294750752,0.00594281916247233,0.03969171750400331,0.022701053482152747,-0.05755226516682863,-0.08436240381143909,0.0005523138971417557,0.013415626769303596,-0.045889734591106394,0.02790941705946535,0.1051125056178744,-0.06868801339586789,-0.15222736934447959
POMC,-0.023612758405506293,0.023646377791299716,-0.027159328973983016,-0.029386541804097634,-0.02722170626057445,0.016072722891851632,-0.006750952002317426,0.031833242784722555,0.023253455307561472,0.018465790234831456,-0.004437263906115782,0.12410213202696746,-0.022321059377881074,0.011572305174613263,0.027250301394898886,-0.0032154665913573825,-0.008274729722416666,0.012841399700483655,0.030734755266048356,0.030867876119044495,0.18204567263532875
CCL18,,-0.07364236537046562,-0.03334948212338495,,,,,,,,-0.006078423108637746,,,-0.06990639532623605,0.11376801795043445,-0.03177281235380248,,-0.08506810566031203,,,
CCL17,,,,,-0.011917436231738876,,,,0.024779636575824465,0.041025163699530666,,0.017424319273336635,,,-0.03402390180401439,-0.04034102651811897,-0.016478677018992933,,0.014902111281368586,,
VEGFD,,0.052593939017165976,0.010917055086814368,0.04635080134123321,-0.00992055937273268,-0.0180475987539197,,0.06049370603464151,0.08384304716094403,-0.037719304952913695,0.04244324620493364,-0.020639698702955293,-0.024573543596048474,,,0.09810910910864915,-0.003419481997065296,,,,
TNFSF13,,,0.03213415594347209,,-0.028833940695998827,,0.10030164555128754,,,,,,,,0.009939090608863508,0.023610971124424573,-0.029193148411522426,0.09814235341368015,-0.03828003393121728,0.005737825577175444,
WNT5A,0.04186853846108802,0.03611774189323899,-0.011331941377615843,0.05731284680718086,0.06142357222780246,0.0014455616495993781,-0.062043154853384234,0.17823142890584182,0.031115752591222623,0.07787681913874069,0.09548531953321014,0.012894312805755126,0.07428823665230476,0.009664251592710829,0.032553191152022,-0.007835134395994175,0.0005343595072200271,0.052516837982648945,0.019227879167116844,0.06774299945989859,-0.005655054057805057
