,MGH258,UKF248,UKF251,UKF259,UKF269,UKF275,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.04295865811224097,,,,,,-0.028517956201172145,,-0.008934663090940024,
BMP1,0.014755476013652792,0.02924453474688487,-0.025057046209945276,0.0068092413538259604,0.1921579409752452,0.05611761315222782,0.0910493093776719,0.06091022619029259,-0.062402902287035725,0.016319119609549133,0.12902626112856214,0.015037443644923505,-0.06542928997067614,0.10389460931952905
NDP,0.0521910733485183,0.04088598434802261,0.00457544499622049,0.06468482039700774,-0.000416801020489975,-0.007527005764475571,0.03287791785200143,0.007699805772851381,0.008395170832557109,0.06427722221895231,0.043124161883803455,0.020236114758399874,0.18587406808206777,0.05983788379846486
TNFSF18,0.1667913060115282,-0.0012413997018622088,0.06487099599399991,,0.07346231359180384,0.06425548925656611,0.06655375118304215,,,,-0.029410064858781376,,-0.004862103500733899,0.05887046429177111
RTN4,-0.04058281864278425,-0.0058808306721271405,0.016512725886471333,0.01712564503478548,-0.15775170266737423,-0.016586439738008253,-0.03956363744083439,0.015655164052482493,-0.0065571479218015085,-0.05686736321211219,-0.1730901643711659,-0.016581813492739843,0.16184566369859615,-0.3614241616950189
HEBP1,-0.007665718099815234,0.04760185634283375,0.07338597816709752,-0.05643684181032513,0.05169359435856863,-0.015114903561209213,-0.0576047670953345,0.09986627307868025,0.02524331587616239,0.07547712590488753,0.046129172968553046,0.01040502114610419,0.06661232743013411,0.03944893734558503
WNT7B,0.007413834221867404,-0.004564211572840684,-0.019199453837210247,0.03797896074820311,-0.06629106920594915,-0.040768849452967,,-0.03447722557235452,-0.036036847514421905,-0.03849414915989902,0.01917110900680727,0.04696242022053482,0.057674225541786396,-0.1237817760977308
PTMA,0.014040048817872392,-0.014653811540566586,-0.008178584040237793,-0.05265212599590583,-0.1163043525092752,-0.05916604127711227,-0.019979920991718702,-0.08794006766058068,0.027866948101110827,-0.05755138604396352,-0.12421721547001485,0.034704604433393946,-0.10349038801940333,0.08783342413797067
FASLG,0.06104448581477993,,,,,,,,,,,,0.019288290345623734,
CEACAM1,0.053197256596243955,0.05865168567880958,0.09398111299129923,0.05449612931360785,0.01463252282015218,-0.022369359837209418,0.0606083443434953,-0.030919728127015544,0.008300691039277337,-0.01864862312485365,0.05319245752517647,-0.014464089308812206,0.0012578362595828045,
PDAP1,-0.008076511179250465,-0.039761078536465023,-0.00629974690462338,0.007756729786381206,0.12866923059249882,0.005183172974429619,0.0009485682804904378,-0.016677930888135677,-0.038700384525836615,-0.01641936925358298,0.05432510981933922,-0.012579251170411573,0.09014897501696689,0.0484048734926726
QDPR,0.06117488086403381,0.014990229954777279,0.021771826500768855,7.269770563735044e-05,-0.16152693506064875,0.017229919145555377,-0.006097541581210208,-0.0338362216965718,0.01756594067012324,0.014380938701212997,-0.12439323792110162,0.05182941986615502,0.11663353724743952,-0.2096364405032567
POMC,0.003252151322521661,0.036817711938685035,-0.02618072432343282,-0.01885521169412302,0.0812493536017733,0.05160592773267368,-0.0005325326026048566,0.03292566743645026,0.030791462255340556,0.06518515442964326,0.05263558582057103,0.07262967963396612,0.02636960148837837,-0.02100147906561522
CCL18,,-0.02658320576073017,,,,,,-0.021922595611150335,-0.03765906550244124,-0.008454503605949983,,-0.0193999930120274,,
CCL17,,,,0.024791514896775495,,-0.017738825740408,,,-0.018111732116789934,-0.026920458230728903,0.08538827875960325,,-0.022761484401790766,
VEGFD,,-0.026583214202143074,-0.02110410915902464,0.03791803109569925,0.1234147496317701,-0.018899218455881005,-0.051107819007850205,,,0.0677572260643982,-0.012615694001465411,,,
TNFSF13,,-0.02006054648727707,,0.01261018511996756,,,,,-0.03475369350821945,0.10964396737093275,0.011977434558412107,-0.016242202873860526,-0.054697376524912376,0.0016046113148562757
WNT5A,0.014526696426718848,0.08098552718047446,-0.018161797270209303,0.02705038274605144,0.1196241659027765,0.009118379833978145,0.06894906818852958,0.07853432252738722,0.0271359027485028,-0.04111921510591158,0.03306128423940575,0.018496133868285466,0.013218051571430215,0.08709315835524839
CXCL8,,-0.019437034442738803,0.04702843270765658,0.0062309874795532265,0.03131716934618562,0.07144163362738155,0.028470502820725992,-0.038598181137763844,-0.06835233649369964,-0.1259954584898654,0.0031054992148699173,-0.030691589719016053,0.008222719162110433,0.04827400109585676
GRN,0.023127579181188303,0.016490775766119934,-0.03693000575128507,0.023478011629661857,0.13953654237367077,0.0932089304056422,0.014297417529843101,-0.05955811178103116,0.04416360241771505,0.008267988126522576,0.07801905693411865,0.06888829137692228,-0.1556645805017407,-0.1328739039920372
MIA,0.13566084363728947,0.03666905916381367,-0.001258421262188548,0.018335186240390558,0.061986465198966535,-0.03486589664034025,-0.03146073254195605,0.05469189558979906,-0.012445331671113022,0.01163567030084595,0.08248952608858448,0.05248359230849783,0.14071899699405144,0.02644858646596808
COL4A4,0.06335128342547372,0.02358390586605988,-0.009266429071799845,-0.007380986756467795,-0.005776412311970546,0.011616389917196995,-0.014409235675406192,-0.027717010639212076,-0.047856318986517654,0.06849125811869647,0.03513669635796538,0.020591647536949056,-0.04844703206148839,0.19205932584877944
TAC1,-0.026772884106351095,-0.03929168225214023,-0.03363459930966178,0.028147362884016692,-0.12491596420495514,-0.044395325351960925,,,,,,-0.024954674623513275,0.02326200934809818,-0.2803716310171159
RARRES2,-0.027604167376216508,-0.06901117662056191,0.0293558049275784,0.021023378409169628,0.12045162332919998,-0.0470509178707429,-0.1062515992447286,-0.017706547216837763,-0.02431469966437199,-0.04634794647367951,-0.03732138648714258,-0.0012648900935354754,0.24945331725845538,0.030865780302538056
FGF7,0.0054932448110883705,,-0.010134145566469016,0.004080940076681129,0.031072410010085066,-0.004833235132827451,0.0630679132502834,0.05449790235665318,0.021504632902222955,-0.03974064444907669,-0.0034766675917497184,0.02654495800408283,0.20108160137535133,0.006544848219733092
EFNA2,,,,,,,,,,-0.01772426825692876,,,,
HBEGF,0.02521096605436812,0.07228005598172349,0.09202141650779548,-0.025434334109526918,0.03709485000295008,-0.011132444936239752,-0.046969465988502324,0.010783550206665575,0.023041623893244673,-0.0623259386324936,-0.023117832168489196,-0.01468528114802511,0.09025307800197095,0.10437029539320779
CSF3,,,,0.022054911084810745,0.024711160770450387,,,,-0.009251527354910527,-0.04350287836400859,,-0.020736247799485148,-0.02822938012299599,-0.00488143918499051
PI3,,-0.027966653254875327,,0.031272692176595784,0.00024339560943735763,,,,-0.0901779848528477,-0.06643272663729748,0.14554045772533733,-0.007014122272161798,-0.02979247617993799,-0.09379712258326921
PCSK1N,-0.07485640029973487,0.03112091095773215,-0.03342484172856049,0.022545033269138343,-0.05603577067487397,-0.000267776823565755,-0.07532699959517895,0.08956435098896827,-0.03910076408466327,0.026873071868942652,0.052357020094221426,-0.016865925050600004,0.1441725507012297,-0.19705251031885745
NTS,,,,,-0.0044244202672265925,-0.02115681340185684,,,-0.04225278566664101,0.055218355231623634,,0.04260038445969102,0.07681015253371615,
SFRP1,0.0321192494708184,0.06975583231329098,-0.04758896503377995,-0.031119041749500323,0.021970656793239823,0.0038288699987131373,-0.07634684772235294,0.1533878345868413,-0.056829949492506165,-0.03934460500812074,-0.001064776637356974,0.013751587157124373,-0.04446936827457871,-0.010399886515923426
CXCL13,,,-0.016237897203125788,,,,,,0.0032817197014713756,0.01715541523108433,,0.06919298762877878,,0.0562778007494412
MICA,0.0981465139803084,0.01559348336408646,0.02152742451365567,0.03273066371467178,0.10164702639994903,-0.053724704520825874,0.02794797555194376,-0.05905264299213752,-0.013092193627926903,0.028311463399109487,0.06189433810984496,-0.03386767488727113,0.04021108109706812,0.15524695206384942
TG,0.05789187253980141,-0.023753708734388753,-0.0036786028624536987,0.040009530927748164,0.03588071966488632,-0.0025058734588438423,-0.008359612814684404,0.10567790047436638,-0.005756917803956234,-0.02659494969512206,,-0.01706625058420397,0.018890009715269326,-0.004173258403065185
ADA,0.014379957792692872,-0.03764845180109765,0.018186028890851854,-0.048445203774300415,0.12859189852711164,0.015265755861488147,-0.017297812344906665,-0.0006437328692102343,0.0028018875997823265,-0.011341404759120837,0.11216367070565583,0.00029737814356136787,0.01655177476248454,0.02234959940433071
LAMC3,0.020081870012318495,0.06963511013287024,0.02236315389020846,-0.0520953520667362,0.16244914887710588,0.03926835312345607,0.07947325473754406,0.0815031974642358,0.053072562468096225,0.003228451348015966,0.03821365722970278,-0.003983780700191519,-0.12191433710961205,0.03892681736830481
CCL7,,-0.016909164553639545,,-0.024280004459638176,,,,,-0.027145311677552204,,,,0.01301892697662669,-0.012508130064985367
NGF,,0.058123533780709016,,0.0238872486230296,,,0.02307105920378042,-0.03257836116472985,0.06557602211105135,0.02859001858900977,,0.061874661759043444,-0.08487307524001432,-0.028122171048988967
TNFSF15,,,,0.047369745216757284,,,0.09778005401019793,0.2137986975485682,0.04143517049086234,,,-0.012876853886030491,0.031071551184381225,0.06367950268918762
HMGB1,0.09031211724889639,0.020597367271890994,-0.029624441314844714,-0.03564051810886412,0.052909324898651015,-0.005205615646130705,-0.04099826522493545,0.010844598364677143,0.02122983981468446,0.005532485925861592,-0.04849485613886413,-0.014282616901904226,0.12735069147892966,0.004594715675088433
ITGB3BP,-0.017086674781754383,0.013153554073793544,0.08240751714797141,0.024150488205766894,0.06279835529304188,-0.009548013612349426,0.06529483436515919,0.003573246232228453,-0.03403595053096138,0.019813113658055066,0.049404826986260655,0.014577747804655023,0.13772353114359567,0.042940001571275664
AANAT,,-0.024532625217553977,,-0.024600882421309575,-0.021838421961369554,0.07045866551108465,,-0.022833302283452327,-0.02381409779610751,-0.02385206453314824,0.040934593733264045,,0.0690503104240311,-0.016520139603148087
RELN,0.045524511604952106,-0.03839905197667864,-0.017183992758153948,0.006639228716525359,-0.06408078205894174,0.03588700622738954,0.008653661572634303,,,,-0.020959759562256878,-0.01555384399969234,,0.020213389509003518
IL15,0.0011153657497120933,0.006333530929924022,-0.025525367227156395,0.05395363916699859,0.0068676573604541154,0.0011919049536948674,0.07474919500456066,-0.03859828201753597,-0.03225276421248275,0.07593853592307433,0.027168929277588433,-0.007134488290844687,0.03860410428565369,0.015371057557900835
UTS2,,,,,0.06984581220513603,,,,-0.020279447169770794,,,,,
BSG,-0.07098976862516486,-0.031482968508794944,-0.013455931800941243,-0.017994113986040478,0.048522877924606675,0.0009441621730122107,0.09859706946448359,0.021804855275455566,-0.07008847870906913,-0.017862265143375168,0.1728197307954491,0.014083538536777662,0.16138530885946661,0.11291067153396654
ADAMTS3,-0.028460166319711065,0.008733448681585283,-0.025334031453972693,-0.019730500301280218,0.15734979968629478,-0.011873840947862995,,0.07966448206982175,0.09290699660297787,-0.011307521057140708,0.09059216157837031,0.004684338382108171,0.10904971558927071,0.07996942738909535
CD34,-0.02054689362713015,0.09039068767721933,0.04210440892361435,-0.009094718751066011,0.13966345855630158,-0.0044428472095935185,0.1358457850404291,0.0939032742584194,-0.015500638383075848,0.06532363347359128,-0.017712046316700016,0.025764814242955916,-0.06286521986944725,0.08722036503181192
CCL23,,,,,0.08732037705014421,,,,,,,,,
