,UKF248,UKF266,UKF275,ZH1007nec,ZH8811Bbulk,ZH881T1
BMP1,-0.05084842759312559,0.019704525716509005,0.042332024417034306,-0.044448122208208145,-0.02127921691050609,0.04411069171720148
NDP,-0.03506988583525978,-0.015176530844846856,0.0008178482005371702,-0.08625590659200238,0.029834007735265254,0.008973138367772833
TNFSF18,-0.027232129609639697,-0.013800787584349165,0.02020965785812116,,,
RTN4,-0.03818950751153564,0.0397650650688108,-0.013247915641193733,0.004172859433208184,0.03608185588465364,0.0939884932332467
HEBP1,-0.07121513432531158,0.026892707491595138,0.019557501846340683,-0.0382608333256493,-0.00013679481060333273,0.018532051968708885
WNT7B,0.012595748086897307,0.029277875068482763,0.03514264616657402,-0.05361221310523143,0.02539616463155642,0.02270564374714259
PTMA,0.0015042364575954272,-0.006475712945170586,0.008049298972098416,-0.00042678829560879715,-0.026706541491394318,-0.028231368795398316
CEACAM1,-0.01733250418104153,,-0.0007446944573491291,-0.04037134089328881,0.0412591838089104,-0.01586763424283104
PDAP1,0.05253055204675113,0.011581869471740428,-0.013920031363205576,0.026891446745946773,0.01626982390347043,0.030410667687339736
QDPR,0.07920664247800743,-0.04268529643509116,0.01812357750537544,-0.06045652112723013,-0.005443528739907572,-0.0160071968607036
POMC,-0.015344487960277318,0.007634602856158381,-0.018058953032301442,-0.03582118936148177,-0.021792815510553457,-0.011545918293837458
CCL18,0.041924288628319005,,,-0.03461631420748923,-0.011588727768146087,-1.8058770301809903e-05
CCL17,,,0.13617910511537634,,-0.021243754736958522,
VEGFD,0.05662132102290591,,-0.020680816329751734,0.07580856733679109,-0.01471619734147584,
TNFSF13,-0.016322189850802967,0.04065638304047084,,,0.012220767666682656,0.10941605505755252
WNT5A,-0.02556261772264757,0.010232174227689976,0.024042439457525062,-0.061455485583981125,-0.021718768788404366,0.05555855310043657
CXCL8,-0.026357373111824022,0.15700172900958595,0.004204921356648761,0.00789499887743908,-0.014988127716234069,-0.040796774782007834
GRN,-0.07702024519626278,-0.05193341740634928,0.040313728266535426,-0.12456000124158735,0.004497256725073605,-0.009331698585619556
MIA,0.004067835594352314,0.036083067310512404,0.12305191642385797,0.036242514612145664,0.0468427811253444,0.0017050782578352437
COL4A4,-0.02597664668212043,0.015768441689348312,-0.020265721429887574,,0.011768414609501118,0.013994824779169338
TAC1,-0.034177124493032625,0.001266648423304868,0.04120891630042173,,,0.026685115836495247
RARRES2,0.011937538417861908,-0.00941531377624666,0.014406078380227992,-0.08330089766435071,0.0022407562887555373,0.012321259412732733
FGF7,,-0.036498287701825845,0.0002917725121499785,-0.07959108776230864,-0.028716256791415592,0.05589936145928914
EFNA2,,,,,-0.013986760719862344,
HBEGF,-0.05419441236233763,0.00249038828589689,-0.04339046757392147,0.08359064734261185,0.04745277012018548,0.0001656172249697491
CSF3,,,,,-0.020687035256721404,-0.022748421184766644
PI3,-0.022754964537340074,,,-0.055411669530557546,-0.0645051884349682,-0.041629056623418044
PCSK1N,0.08116083546236397,-0.04509826578443064,-0.03811242356907181,-0.04792999330061689,0.03172432000649842,0.09598222571176102
NTS,,-0.01554553464029314,0.00048015812659262755,,0.032376931251011466,0.03138596061924286
SFRP1,-0.015269271643864496,0.02402815635409584,0.0050654286809158474,-0.04628624068614908,0.06234899047082646,0.036062245619805845
CXCL13,,,,,-0.03593597549593985,-0.026413044523204122
MICA,0.01858363207402244,0.010976636842172868,0.024738960815053865,0.09400954892164344,-0.04785997886452927,0.012447910754177796
TG,0.04439436626062778,-0.017943644984194505,-0.01955588350753075,-0.054696718909595134,0.0589674798092075,0.05958550191467864
ADA,-0.012465796664737004,0.029711184773212513,0.043358291879000414,0.014961482097920954,0.024784451718832184,0.007849476092382478
LAMC3,-0.01615498107283024,0.017146066247840226,0.08782442123210114,-0.09765743450963686,0.0002944379191807209,0.05546870376682636
CCL7,-0.013758079533776196,,,,,
NGF,-0.009332662795558297,0.11300759376265619,,,0.16339678596025797,0.03169799310086392
TNFSF15,,0.06718607359148424,,,,-0.014126379013535596
HMGB1,0.01171529316679261,0.04886845607829441,-0.04296966874709933,-0.09922083895715811,-0.032222117668951916,0.007283692474338552
ITGB3BP,-0.04109846135066584,0.022383598141319676,-0.0005138640576278644,0.014461178589163636,-0.037470852264912834,-0.0050617491286584475
AANAT,-0.019960880257847074,,-0.017586720323261352,0.1020605252291177,-0.018822391675856278,
RELN,-0.025884349127041274,-0.01998520532929253,-0.007357682292980236,,,0.02611727375047229
IL15,0.001077018448745971,-0.014794129828720365,0.006088388730627073,-0.05433681767530733,-0.03412482103941998,0.04300005922515405
UTS2,,,,-0.025752804105149036,,
