,UKF248,UKF269,UKF275,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,-0.014513724260411373,,,,,,,-0.016880318622103884
BMP1,0.04870561898525814,-0.014960217316479212,-0.020542100021832776,0.01364167304514728,0.05089738366034469,-0.007777085235924185,0.004359766657026482,0.029195789767174213,0.019429434702723385
NDP,-0.003766037454044216,0.02405965774052513,-0.044275998440092584,-0.02017942391495276,0.009938877177311319,-0.028979778069696163,0.05336043228652842,-0.011465077089496548,-0.04261346492307444
TNFSF18,0.031577596489363646,-0.02155244481276871,-0.010647509681371023,,,,,,0.0630270698485366
IL36G,,,,-0.016140242009613313,,,,,
RTN4,0.02015655961442685,-0.048397909445899535,-0.0024380177497001143,0.01385656095219781,-0.03361867969999602,-0.010339374010547459,-0.035004245916045305,0.08827193998786174,0.010439555588685605
HEBP1,0.007198451373845596,0.04035677848987474,-0.04506961748975809,-0.01760024859041527,-0.002747617532058337,0.006164700679424967,0.0658790555893034,0.017444472201901973,0.020398077043723057
WNT7B,-0.03674642317934705,-0.006191477181274657,-0.021510320557117345,-0.01773998599264225,-0.023397915741726196,0.05766489296052456,0.0009484494094632517,-0.023135553996154672,0.013054692850936519
PTMA,-0.012976217674948493,-0.00890944294224178,-0.06891083960549522,-0.02790546771904004,-0.017237049551907538,-0.06070020821933223,-0.011423549111916873,-0.056794088025915644,0.006809124459137722
FASLG,,,,,,,,,-0.014640294582146786
CEACAM1,-0.01580393568753256,0.027226196292623427,-0.00041282892109898426,,0.04916514469921436,-0.01876378603025162,-0.0217693105396471,-0.015355403663814852,-0.02036981964317939
PDAP1,0.0033238981972656934,0.031265050941256575,-0.005088763052154658,0.014831534374215189,0.017170637676332996,0.03093066572266186,-0.03412264177488892,0.02145977273630185,-0.03287739526362618
QDPR,-0.024129454821895678,-0.06559807568819208,0.02624387555883751,0.04372011845304282,0.09906654832467582,0.04174770139600575,0.055164972051594444,0.02956141651972495,-0.0021989246757540396
POMC,0.1053165839343391,-0.015857151127053905,-0.012354528249030876,0.003419728602988724,-0.06535776732246472,-0.006825783109442874,0.02398519089573228,0.004099936848247626,0.0033780141394532813
CCL18,-0.019721818518551773,,,,0.13073802310691637,-0.009578693732569485,-0.005863244505021975,-0.02171570350776553,
