,UKF243,UKF248,UKF251,UKF260,UKF269,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,0.006689008654903394,,,,,,-0.01710443966435552,
BMP1,0.05004073010287442,-0.017629282989662515,0.09333577899946927,-0.04152868815397369,0.12709931020722265,0.0830655414043866,0.0219632276586675,0.0740365908430983,0.09548461417507738,-0.00614281638506391,0.06403911531681951,0.032231333505528266
NDP,0.010503052901329406,0.017833678685123783,0.03786405429877197,0.014206973950749088,0.028717664617074794,0.010260952433536787,0.016463056705504298,0.062122517294195954,0.006819663087314888,-0.004732861692161217,0.01009513293776625,-0.046826992257883386
TNFSF18,-0.022076432440802655,-0.003116763347199775,-0.011524420689740049,,0.054750233872952775,,0.05665813488502001,,,-0.039055625968995644,0.0015994840346987775,-0.03004546018324567
RTN4,-0.005349394610558753,-0.06583923413319753,0.023427655263160166,-0.07225268506463792,-0.10529895904221102,-0.01581575557997534,-0.018520806221285234,0.01337581964847741,-0.022293760551898426,0.10616195065409477,0.0022478067503925647,-0.08385203628343443
HEBP1,0.05840965754556388,-0.03187109147800449,0.04740700727597861,-0.0076836554222554755,0.06709726712275377,0.00023353828242282911,-0.08009206817130657,0.036270261577501524,-0.04333425482101742,0.01658397781230554,0.03364919938510758,0.03206917219505447
WNT7B,-0.05152663872216208,0.0015107319121582476,-0.008679482000179541,-0.048988564148714324,-0.03544993162369175,-0.017046886747623887,,-0.014320672511596912,-0.020366673885378588,-0.03905558547124537,0.012121471959585831,0.0870440101733115
PTMA,0.06019614539837928,-0.06301951539316143,0.014166656072712013,-0.033531379987715715,-0.12288847210658525,-0.1403704952242617,0.038512239862261384,-0.01857328382056722,0.02776461671954485,0.1342595415656481,0.008693980590449978,0.09397829962850836
FASLG,,,,,,,,,,,0.012377296824489452,
CEACAM1,,-0.018151166787629243,-0.01776001134518255,-0.0288521253670632,-0.008862560377126197,0.011446958300090168,-0.03834496517696801,-0.017888125545414264,-0.01351765766452986,,-0.020640271007937947,
PDAP1,-0.0011354863597099719,-0.06433101226033398,0.048462214920554914,0.029577403576907028,0.08511942895056013,-0.05503842190222706,-0.01610806160556837,0.007540790280007981,0.02923217214305616,0.09798389648621464,0.0094522065735518,0.07916292930032301
QDPR,0.06356340717365844,0.00614165055776369,-0.00275359099053083,-0.0334734878228065,-0.10594356468703196,-0.046327484667507086,0.004680856915298741,-0.012555403624109887,-0.09293715809513649,0.05460256006604047,0.05190449433356656,-0.10483457981758684
POMC,-0.01185990870746599,0.010105417277276318,0.03204638956602893,-0.0580572989622072,0.03165731917149426,-0.004526506773609726,-0.05964160410668871,-0.04190549149804435,-0.02211311218353496,,-0.008802373713048556,-0.0565419492257794
CCL18,-0.008729916115894071,0.06933320354745359,,,,0.02223355418479943,,-0.0012070790834512516,0.020630570170412168,,,
CCL17,,,,,,,,0.055082390180004694,,,0.1984796372976785,
VEGFD,0.03504580330286951,-0.022650948348360123,0.0012573940305172517,-0.027604079996997818,-0.0007942307802821429,-0.042339888304757586,-0.033609207236103014,-0.017888125545414264,,,,
TNFSF13,,-0.01709313248834139,,,,,,0.0005788235081198752,0.03510163455602149,,-0.0026630868197492,-0.03268517500435922
