,UKF243,UKF248,UKF259,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf
IGFL3,,,,0.027135788803107203,,,,,,,
BMP1,0.01000154345766888,0.04311193326827794,-0.023545744267683483,0.10989845017257913,-0.03298093993612018,0.008565420721710865,-0.006080745795977502,0.04564085053595362,-0.022783836579105154,0.05793824482201024,-0.006069221375760602
NDP,0.018200172649580737,0.02686095878306621,0.034427593365965375,0.09505382022578969,-0.04688478698702795,-0.0014487741484516007,-0.04303194662346128,0.05583805531374835,0.19611661942037123,0.05866116734613581,0.0809851789922261
TNFSF18,-0.024096585344163694,0.04729165609316009,,0.0061239503623660855,-0.019334381419811003,,,,,0.039317438193684266,
IL36G,,,,,,,,0.03342052415651622,,,
RTN4,0.008981927041971826,-0.019552332334545865,-0.012201829487909256,-0.12018871775351486,-0.03699359757282222,-0.046398590811899044,0.005698118551477596,-0.06322617407929604,-0.07657100874814683,0.08382318054261081,-0.0349398572823181
HEBP1,0.017094994460781887,-0.007163597136012048,-0.003569844705789356,0.050803512718596656,0.02809750564871948,0.02383282185263283,0.017191620426270177,-0.04583003325450734,-0.0370801243787791,-0.08269075307692512,0.04162682600893033
WNT7B,-0.014245090773076183,0.06722471102327238,-0.014972693173719874,-0.06080497234882331,0.0500341230251778,-0.015148168269468371,-0.05821397295610993,-0.015758313121485144,-0.07419758746309339,,-0.031854559033547884
PTMA,-0.04436132012355377,0.058612003013542975,-0.05496084073181029,-0.08189109693447147,-0.01916884241953483,-0.015952786274700814,0.006046580724649426,0.030456339423228847,0.022000494621842157,-0.15209225763471865,-0.06785451986869755
CEACAM1,,-0.023918191259252167,0.09529616331753096,0.013409800686455552,0.015801016189565174,,,,0.00746550662894387,-0.031494701848944144,0.06855083712848069
PDAP1,0.009840901714989947,7.355970223448378e-05,0.0784317508215601,0.07154592433256672,-0.041589289109997166,-0.008072325566287678,0.024846177671361883,0.08868546685707238,0.0700617950902147,0.021176261975214536,0.012769186155420862
QDPR,0.0023184638011627505,-0.03023900236006381,-0.026397835675323236,-0.036182512178824976,0.012202851104827134,-0.05164978604321372,0.05518104188370532,0.03073000219770058,0.021118565518825235,0.03210926275306733,0.0038755321429694727
POMC,-0.03170818021539912,-0.016629653952907622,-0.022427082821555575,0.020792961767471595,0.026342897537166104,0.02720470080683221,-0.021912645888865434,-0.030717756874607056,-0.04368379557881803,0.07117721022124969,0.05282186233444157
CCL18,-0.03231550226961635,-0.029847642804513953,,,,,0.03452262492435886,,0.026644851577169486,,-0.020254953943392242
CCL17,,,-0.019260202033046923,,0.033724346688313374,0.012210627528099458,,-0.013097504131145292,,,
VEGFD,0.016186732227898258,-0.006153871365539003,-0.023229252916471814,-0.02891016697838964,-0.02569114818461925,-0.013752754572044062,-0.014805069347328736,0.15178443554224696,0.21657393775487546,-0.0428163569941662,
TNFSF13,,0.023007152296478147,-0.006090868299202878,,,,,,,,
WNT5A,0.018903441971841035,-0.02057984119669585,-0.004016406949853814,0.08228591842791241,0.05856777935670279,-0.04575544477360566,-0.009113129776206853,0.01817005116854081,0.0649850548330186,0.0023703013534683193,0.055094777487271034
CXCL8,-0.08810542839523432,-0.04768810972087767,0.02867330440164312,0.006866602838431444,-0.026530882108469284,-0.012807163047136555,-0.03073808915220356,-0.042203890495857536,0.006685681697079571,0.10017270413704844,-0.035662035422779695
GRN,-0.031174043913363418,0.05725595905824743,-0.02757505073299166,0.07609052400496638,-0.011772251686336322,0.02128932986760338,0.00713835400306052,-0.03638381550104772,0.06219129627735283,0.05074463899648368,0.002249006570347341
MIA,-0.04284513095067714,0.08058224206089709,-0.000498225543808658,-0.015152214500484222,-0.023364513061925038,-0.015640862022555515,-0.0010231065818819601,-0.01922431594661064,-0.06841357529551917,0.03799911514441942,-0.028264144171649547
COL4A4,-0.004050257301545314,-0.02609079481495364,-0.04741572778757205,0.028992680612958198,0.05186588442226805,-0.02627540432139961,,0.05656355109753822,,-0.03352605076167552,-0.0256085905110711
TAC1,0.021629774824228325,0.026123153292605804,-0.051768488437158845,-0.08877028453727276,0.007333169312970046,-0.036423273899204626,,-0.03304868977875707,,,
RARRES2,-0.029983129852026773,0.03135891558628682,0.0631163395836518,0.10085514442533476,0.04270715437977439,-0.012320990841979572,0.031126628690012263,0.0377242815325436,0.148913057600949,-0.13823203656826263,-0.030491395304532373
FGF7,0.01700856270517467,,0.06837791605611467,0.017136725457818837,-0.031230974309716584,-0.004692203904693666,0.08895018171092299,0.027695079589658604,0.045557315999565015,-0.05950407922033908,-0.034879490015971515
HBEGF,-0.04710138325738248,-0.010902490835348885,0.010668307522434282,-0.04369764468181491,-0.03846784413411697,-0.0353183923909746,0.08860890343465,0.004698186826462911,-0.001873043195669016,-0.007729416046292758,0.016960911379251094
CSF3,-0.03665311685829792,,-0.034743621009654425,-0.017991522993388753,,,-0.004903931395884365,,,,
PI3,-0.015246856705080353,-0.031400978659328116,0.013648926885158714,0.18455680051009712,,,,,0.06919655353047026,,
PCSK1N,0.09697853408409214,0.051087005690776316,-0.018231273612589298,-0.04674681988360364,-0.018413898772570502,-0.05608514119267565,-0.04364282686229475,-0.027612778459488417,-0.05767036150436637,0.11279377934447692,-0.0471686476081358
