,MGH258,UKF334,ZH8812bulk
IGFL3,,,-0.016360136105988885
BMP1,0.03824961036362008,-0.03008898942599128,-0.02697648116892075
NDP,0.009667012285356054,-0.0330553415324258,0.05383872696469133
TNFSF18,-0.01927998321590006,,-0.01687191959274584
IL36G,,-0.013950288855091315,
RTN4,-0.012863604235099628,0.03161513598306384,-0.05887759653356075
HEBP1,0.030984963480741347,0.01757268766917183,-0.007948158697364555
WNT7B,-0.01698506134734137,-0.015332975102556238,-0.035280548771211374
PTMA,-0.04483876971870458,-0.04231087228445553,-0.03441590035010495
FASLG,-0.0169850661489747,,
CEACAM1,-0.023583912995837508,,-0.02424318700252912
PDAP1,0.010916705105377697,-0.002522554109196925,0.007534065625483028
QDPR,-0.023643792903098187,-0.030811748207609884,-0.059471720431506156
POMC,-0.016104084493260104,0.02879180911637286,-0.05243306276839227
CCL17,,-0.012743984917692231,0.025352894160205062
VEGFD,,-0.013658123360027289,-0.022749581071624184
TNFSF13,,,-0.02313092227121881
WNT5A,0.05905674420053666,0.01561432355582957,-0.02777073389597588
CXCL8,,0.0844454531135388,0.03976618537312342
GRN,-0.0740325865427745,0.03794774677575584,-0.014292616093628734
MIA,-0.02223198659047734,-0.018705425860028577,-0.012282298387181902
COL4A4,-0.019670776219798874,-0.018144957038662455,-0.033226678738976965
TAC1,0.038263996596279194,0.02040371725618732,
RARRES2,0.05045835487493533,-0.05863938869899846,0.03159266104808637
FGF7,-0.04706868643420531,-0.041848187227302394,-0.035242611155071865
HBEGF,0.031633798475119754,0.025107757597412784,-0.06774314133632174
PI3,,,0.008801848242224
PCSK1N,0.048825699213029664,0.025900043945682794,0.0077145658744186
SFRP1,-0.024713686840202906,-0.03638972109088772,-0.0142352245714033
MICA,-0.009040082639666084,-0.00797086666568472,-0.05391247071605748
TG,-0.019670771786913715,-0.01914326356009752,
ADA,-0.05660902869191652,-0.01341618179975334,-0.007204734345560867
LAMC3,0.07223044500085307,0.12104479175588533,0.022698039163555242
HMGB1,-0.10252769501395947,-0.007717191539703496,-0.030183787616080156
ITGB3BP,0.010081294953538615,0.009773209765623703,-0.03837307273077511
AANAT,,0.06278540206883765,-0.02668126738082067
RELN,0.01179277716312322,-0.01892545984435732,0.04596803470640856
IL15,-0.0010170585515081288,-0.01585467101385398,-0.01837006781330749
BSG,0.09257430536844485,-0.021287246219918024,0.05193164167746847
ADAMTS3,0.12081124233800428,0.024061861012503787,0.11937226253262875
CD34,0.027253603578412583,0.029797462510525636,0.11885809301011906
PLAT,0.012791473819236492,0.08084340645986447,0.06690981314684004
LTA,,-0.01585467297096197,
CKLF,-0.012764337674541928,-0.005895427372503205,-0.004611177682123708
CD24,-0.03392449343994368,-0.009823502972316656,0.022830204209369136
HSP90AA1,-0.07829059429904553,-0.009880828406778914,0.004722140206551225
BMP4,-0.020244079880605705,-0.013509818912048423,-0.004271046157965856
SCGB3A1,,-0.011063181129856155,
IGFBP4,0.06398051405766429,0.0010894264272640441,0.03821627085679046
RSPO4,,-0.021992927440888453,
LEFTY2,-0.019476281390736126,0.01553045434159464,0.05379213431335728
ANGPTL2,-0.04670773734187315,-0.05120746736707769,-0.002422795349159775
LRIG2,0.06534678677226231,0.02203032383619367,-0.05962973196109379
ICOSLG,-0.04102086904071754,-0.015742376788212248,-0.041559737867601296
WIF1,,0.018692835738093164,
NPPC,0.08052291174651459,-0.07397347981410116,0.056945454276534344
LYZ,-0.0657228823063828,0.03508111427205202,-0.004650823949501713
SPTAN1,0.09729204580572882,-0.041740487650045,-0.030895387253459958
LIPC,-0.025184476313557132,-0.010290330209792514,0.001832298412548448
COL8A1,-0.019775729506516876,-0.014394456669327068,0.01754294869967862
GSTM2,0.0020969549151723835,-0.02035907872599562,-0.04472515871576477
SPX,0.06373407534578135,-0.03443476521965898,0.05062500495076177
MFGE8,0.033823762067978914,0.011972784274308045,0.028802368607274222
TGFA,-0.013597174987285406,-0.0014282793331855368,-0.03763232126253265
SLIT2,-0.020244076641249338,0.0035454945463716647,-0.03763383081408079
PLTP,-0.0007493063740576992,-0.052264946252939225,0.1162430186278142
APOD,-0.13520999849162452,0.036475293850432654,-0.04259042589583472
B2M,0.009879486664005692,-0.0048568710726898025,0.10906255442180939
OMG,-0.07792694914561381,0.025738022261360082,0.040720773806192254
CXCL3,-0.01584093490860444,-0.011418235604573659,-0.01878896133863864
CXCL10,0.07163154093323594,0.00016580898439692374,-0.025312738705070937
RSPO3,,0.09946844469246584,
CORT,0.029163919794534844,0.04708967842693638,
NCAN,-0.05134756021771325,0.0011471775359893288,0.057970770206711555
PRG4,,-0.013950288855091315,
TGM2,0.021459872454250174,0.055774910375894216,0.056571437922584455
VEGFC,-0.019670777169703224,0.056713827138937065,-0.02478294961297457
WNT6,,0.04192225011548658,
NRG4,,-0.016608917906509597,-0.01990035057447633
COL9A1,0.13973798334158508,-0.01892546710347427,-0.008343734451317716
GDF11,0.08540262413211556,0.004691281877957259,0.01860296281042998
SORBS1,0.004510640833135122,0.031275411477147075,-0.04675370390314043
DLL1,0.026691064599049734,-0.013744658126284491,0.10330443484429044
TLN1,0.0038947187209367974,0.008520811834571903,0.03218058278839398
COL2A1,-0.018475889195728564,0.10277532238389327,
SHH,,-0.011063180162865253,-0.0187621211515214
PON2,-0.028600486202432263,0.037845697518801964,0.05777620242653312
ICAM5,,-0.02160579325856784,
HPX,0.0010488391825854227,-0.028120395966336316,0.05300428511978703
SFRP2,,-0.0217031282621767,-0.04048426472468348
HP,-0.036660276254766755,-0.010519217080007626,0.05794388053386341
