,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,0.23694051093685925,,,,,,,,0.0037438553888334055
BMP1,0.021235646626152002,0.020292053433844187,0.0016876371282285487,0.03732662023514278,0.04940005068025678,0.044258486290162435,0.02386366932537049,0.07432945537717875,0.03512060100332358,-0.03782337374542934,0.013597797256800648,-0.02654346069920892,0.051331983991112586,0.05763976102158561
NDP,-0.03786749760208728,0.008749606937529077,-0.04873858072665171,-0.024281762463701333,-0.00562943088642018,0.03131226088624608,-0.04835271229435623,-0.009808349574467978,0.04568131657454536,0.06714811290168987,0.030907032276168377,0.0060879768789891845,-0.0544848662049176,0.04159378085538387
TNFSF18,-0.03292272690396055,0.1120288962619772,,,-0.01790743337207456,-0.0026350152932567766,-0.010647508663312509,,,,,,,-0.03746596625519612
IL36G,,,,,,,,,,-0.013752909048658349,,,,
RTN4,0.049945990538663464,-0.010566733026000405,0.02134570277407394,0.03240035624903385,-0.03287111183580552,-0.079060850987177,0.0030916771305844254,0.01533269931369583,-0.031231996987474257,0.041148599627156876,0.006208158323999966,-0.012370496526721519,0.015680547281729986,0.05384356814044278
HEBP1,-0.0006617145787983635,-0.014340914336674938,-0.004919954627216653,0.040426751804301816,0.09199912728980912,0.03859385196119796,0.026442020898551768,0.016713437919557348,0.05635431862083143,0.06125072482985214,0.05677092895394739,0.05663181591627211,-0.02484932055483047,0.023397941091494318
WNT7B,-0.026730555608328287,-0.0209976171909835,-0.0072634423526294865,0.031028314030468157,0.005277952713442824,-0.05785412944376154,0.02626112541992588,-0.014267906276059408,0.013255638560015565,0.0077178919750391,-0.023966762596923537,0.06757355471438359,-0.019153669896584666,0.0420456521573639
PTMA,0.03393658501979866,0.07126882429001154,0.017459597127980266,0.022723501388393384,0.07332273615765311,-0.03517067018713321,0.0012087608424887985,0.03415183933878791,0.04836458518169216,0.00408200211612169,-0.008905717144216646,-0.006408418913981758,0.024303683031565774,-0.03664570248714121
FASLG,,,,,,,,,,,,,,0.07688626041655744
CEACAM1,-0.020954413404091266,0.12441877462148232,-0.02347696182827611,-0.005918283888127874,,0.05958747072464428,-0.016745994528413258,,,,0.06706550990795072,0.03782003689016038,0.18707077528923127,-0.007698998891733646
PDAP1,0.04803939909280087,-0.010472847516883673,0.05742552038381361,0.035375018410573784,0.029137198139064763,0.02471529564488228,0.023572497787147467,-0.062173222859367494,-0.02334437948379764,-0.025074935373001518,-0.034189020591071484,0.05731328044395939,0.015578453680025488,-0.013163451221550874
QDPR,0.002019717882717825,0.041031934361135246,-0.020393844585513587,0.007591441906468833,-0.03871674981141791,-0.05226171819972897,-0.03585490688841749,-0.00956606451418172,0.021871241969093333,0.0676766436233216,-0.007139852828801802,0.05203562577025599,0.0026007131758264373,0.005391742752697519
POMC,0.009173301977307554,-0.028632732565583803,-0.02072068399246309,0.10713932383858626,-0.0294896687666505,-0.013002462498578175,-0.012354527067756282,-0.007385280777664795,-0.024222578728808144,-0.02946575504226461,0.003404229495171382,0.06541710140965216,-0.02079609334019147,-0.020773990088852196
CCL18,0.026735697944027945,,,,,,,,0.07066813012086022,,-0.01242104011463564,0.02473915271616369,0.01734196426613082,
CCL17,,,-0.018787875337696065,,,,-0.013279516309412907,0.11189384333458866,,-0.012563672860904911,-0.014426160887522759,-0.029992058114473617,,0.14843440314939085
VEGFD,0.026524773007472028,-0.023080656826763014,-0.020931767866015215,0.1143738840720706,,-0.023416745360803085,-0.014148201430736689,0.030812276505491006,0.00695913734461248,-0.013464877343902263,,-0.02077641412051043,,
TNFSF13,-0.01973297742907197,,-0.012959455922876428,,-0.01736647466957995,,,,,,0.005750050046605067,-0.032600341774588974,-0.014275363267877154,-0.012108498652761666
WNT5A,-0.027175888677740775,0.0031302308402796067,-0.05101664280529017,-0.010835039848974257,0.0438723051772269,0.12216657973832952,-0.02647123169024849,0.02023274676947394,0.009278303854334367,-0.008419002948889571,0.05899223728084139,0.015200777288231123,0.005262444509635911,-0.0004633876437952204
CXCL8,-0.06285047470386017,-0.021611359018421664,0.0011776011065822204,-0.020901752407102712,0.00475317624881108,-0.009876383054238875,0.008783099287048918,0.01166508145326681,-0.002625231394906248,-0.03221225518569008,-0.006310912635765514,-0.035296358758421846,-0.04296150716378667,0.047945177239144855
GRN,0.005685821599526821,0.02237074733529371,-0.043638194668946285,-0.0016884902675808665,0.0075479469838138896,0.056274991571277126,-0.005831502941622301,0.009478171006777206,-0.021669198338601165,0.07854581266965847,0.05179771907292634,-0.0426887465320901,-0.0026652133277134163,0.03320064951546888
MIA,0.008007126703851989,-0.02052632208622341,0.021414308012300858,-0.008878202886843184,0.014876511374797029,0.0006377531862642644,-0.004561692984020642,0.10042802738727159,-0.022194901697227272,-0.018440766584951904,0.02981132343838904,0.10084463986439131,0.05336569525441594,-0.02967953079770442
COL4A4,-0.02032790174044171,-0.03451916005512811,-0.0255332342900555,0.037081042895093924,-0.01652343339003247,0.014116080417634746,0.025003822226539636,-0.02474853721944119,,-0.017888227723217593,0.046623643299029016,0.027530481221972297,-0.010700636572490737,-0.033361828600917916
TAC1,0.0016444573694716583,-0.036608474606254535,-0.02712472058743098,-0.05384058653029025,-0.06671437749502797,-0.0751900060875771,-0.02549811270437068,0.004265054475544914,,0.00244503631217309,,,0.049659723831003505,-0.028805134855545485
RARRES2,0.05579564500401278,-0.025549410598244095,-0.035984722780471455,0.004318200209266929,0.0008580078447093382,0.12001344621400556,-0.022983334025390826,-0.004270045323721492,-0.0753414950050365,-0.026972778480100247,0.022053046383795648,-0.0338879591054302,-0.0017861839988648008,0.07900132731610908
FGF7,,-0.012714732517677265,-0.03330325222877243,-0.022731541502199654,-0.012451293397366016,-0.039254346562720976,0.01638093185788093,0.031657621844928555,-0.03565785935814541,0.004383385829034638,0.10027225174125705,-0.040958735559495446,0.01620545061348077,0.0530950749561615
EFNA2,,,,,,,,,,,,-0.01974659119997951,,
HBEGF,-0.05267735722553591,-0.013459317701038387,0.003989920995804679,-0.05260788078927168,0.008865480021048238,0.05481657887704258,0.046502969776682494,0.01875739676210975,0.06757530519249404,-0.05816854614465464,-0.021805524290959073,-0.01677457549802852,-0.010565804848402163,0.014082076299604507
CSF3,,,-0.0223935092306176,-0.04335995259038963,,0.037782275418415126,,,-0.024586700681921467,,-0.035880485200620225,-0.045625950650549744,-0.018225204576576618,-0.005172428711787094
PI3,-0.02750998522373977,,0.010429829917816687,-0.03849804615099343,,0.03111765989356081,,,,,0.0001350039260850542,-0.07255717074570578,0.01014545076477067,-0.04195249436640459
PCSK1N,0.050057075905833116,0.001328875116163756,-0.029451197930023855,-6.705234321774316e-05,-0.00992481761028883,-0.02951229800304307,0.0707864827151329,-0.03616699234028477,0.02506743248602945,0.03349779214421176,0.004498762910107348,-0.011096778638920477,0.052268146514473444,0.07912704602417475
NTS,,,,-0.008987980684574856,0.01664697573753138,0.0035352818386698574,-0.0158382664521683,0.018872171735738186,,,0.050703564763579775,-0.024057474196419994,-0.042139199862800784,0.013036395578262463
SFRP1,-0.00941968237476497,0.0031884117994550078,-0.016393147450979275,0.034446147454681525,-0.031626221395037256,-0.0064958336603064375,0.023002564790707298,-0.017659668454577497,-0.05320269624780276,0.032481826547850506,0.04702396517089447,-0.0011192426950180313,-0.00734874131658489,-0.03336910292214734
CXCL13,,-0.03896602170967265,,-0.024361043736760245,,,,,0.07597397984776764,,-0.03240411513078076,-0.026497413011144905,0.020558365757545338,
MICA,0.020769560021743724,0.05415607948986587,-0.01293874066521424,0.025229225582526042,-0.04281436879624418,0.050763245444480305,0.02393907379969047,0.034332497471989534,-0.017811921941949922,0.014932116967406739,-0.0015889544134309896,0.019614826157370747,0.006715803049251861,0.02412651847671862
TG,0.03154976182189493,-0.02191234845017334,-0.01769080333552251,-0.004382505825876721,-0.023283064465902094,-0.017588100503074383,-0.013378610138446503,-0.012780225242621013,0.05205066394750976,-0.018872409408241853,-0.019168761072586627,-0.002199457488838638,-0.014999623425601624,-0.04499016228951495
ADA,0.00656898157075319,0.016968700047064307,0.04030564205430968,0.05330987383061766,0.11655588091514438,0.06635197320428712,0.019766422212987144,-0.020756113580414615,0.04101894658915745,-0.00888323371816819,-0.03943712721574299,-0.019828600450270895,0.0997810910580504,0.06626346437443263
LAMC3,0.026778278303152197,-0.021618003352217113,-0.017695371249688015,-0.040210240704720554,0.06924781025575821,0.10402945886695643,-0.023987547172626484,0.060280409891517193,0.05598852923190435,-0.006108784136916334,0.0046752909276969595,0.0031364947464124133,0.022092578938673228,-0.003880474635298943
CCL7,-0.016633054473020173,,-0.012790422546467839,-0.008118740930903036,,,,,,,0.018388324441060314,,,-0.024174727090767158
NGF,0.008568492713070088,,0.020302247195011284,-0.0344750162658915,0.011256276074602226,,,,0.07340302015392838,,0.00909821281660959,0.023123706306953165,0.017452122298994614,-0.03508168797722699
TNFSF15,,,-0.014242761077045222,-0.02391351194849086,-0.013532412958887626,,,,-0.015657294261719117,,-0.0010566107504477564,,-0.011317539153897369,0.02453878043166379
HMGB1,-0.01635235851900835,-0.0024230021365310816,-0.04076165026821318,0.020779607762282187,0.06138179824962622,0.0715848508524079,0.012361111487518719,0.04986703609058902,0.01588301811459082,-0.05831030411057335,0.054863441475359216,-0.037864171758619544,0.0343284606489381,-0.04377310258488206
ITGB3BP,-0.0006928051882677434,0.011308666330244311,-0.02266485788833367,0.018331256259298944,0.10685077788038985,0.07630526273378993,-0.041289404127502746,-0.0348371792441472,0.020231499442233774,-0.008963373458365762,0.01496187141499185,0.01503207162678575,0.05026235229595973,0.013039353201690569
