,UKF251,UKF269,UKF275,UKF296,UKF304,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,-0.01855793571198526,,,,,,,-0.02037799320741874
BMP1,-0.029360418377728376,0.13877080333606653,0.07686132954517431,-0.039508480161546594,-0.012409620933225842,0.07606686458084386,-0.03905093353682225,-0.03349587521435475,0.02591306976294584
NDP,0.0030701621735777234,0.07485786450026216,-0.008007355557768638,-0.05330073928521135,-0.03878657417112289,-0.007625361903143403,0.027510141296150238,0.042295623133458325,0.0482036626889704
TNFSF18,-0.011308160857372691,0.056887577734778184,0.024472137971905877,,,,,,-0.034374031329697144
RTN4,-0.047414782405108984,-0.13267986513968258,-0.018803124570052485,0.04012154969528532,0.010003459809786648,-0.06500134297885113,-0.07042454375512615,-0.061276679844529315,0.0006663973331234773
HEBP1,0.006272002230747439,0.09473084269681568,-0.005812302562102571,-0.029908621426416978,-0.012890849978767133,0.02678891970592164,-0.02816933765246565,-0.03235598370986372,0.05077561998796278
WNT7B,-0.015480750617120726,-0.05679636277438837,-0.040768851043150325,-0.012182918627359466,,0.0035938272438448163,-0.017331599969212727,-0.02006997217502752,0.015978249220660937
PTMA,-0.042110886994216036,-0.025081282145050135,-0.0643019900121615,-0.02684596318801128,0.004738045148924486,-0.06375319190460249,0.0171264877113534,0.05358952338491206,-0.010895414516355352
FASLG,,,,,,,,,-0.017673826556741434
CEACAM1,-0.011880544994188062,0.09747278713137435,0.05106871918424801,,,0.06906330756085212,0.00836812242310744,-0.013320732424229058,-0.02459053384107976
PDAP1,0.010345167798328237,0.08168448773368271,0.03136763192420487,0.002233478231961094,0.08277557070868735,-0.018821665572850532,-0.004828146125766957,0.043895586944903454,0.00891587032860345
QDPR,-0.03404343855307244,-0.1591425224866707,0.025010326857648597,0.0704679379512989,-0.04426079187189656,-0.0013875943231061432,0.07034373325968453,-0.0340708182414269,-0.0025648765573977206
POMC,-0.021109833001663213,-0.046747245780495085,0.017079130206849986,-0.01395044993801007,-0.008102562745771489,-0.078158506116135,0.0351419225283479,-0.021790968359611404,0.04981192445842447
CCL18,,,,,0.03549525671968494,-0.02814370943660506,0.07572467351320673,-0.04587321513731047,
CCL17,,,-0.01773882643230844,-0.015079038047969633,,,0.00988294592328124,,-0.016019338656222362
VEGFD,0.020733296653937867,-0.0059995511161155075,-0.018899219193042403,0.09244744747162635,-0.0188863531979363,,0.07326498155875055,,
TNFSF13,,,,,,,-0.005086593712292694,-0.014958289723150752,-0.026102175260444976
WNT5A,0.017945767869477203,0.12447669629093085,0.0477083563324661,0.02327577857402963,-0.06172969357325111,0.07051609455254153,-0.014347020948981881,-0.04987723073527087,-0.003908423606361663
