,UKF251,UKF266,UKF296,UKF304,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916inf
DCN,0.07709232409372008,0.06565576118150841,-0.012619752565518514,0.03827095618260317,0.009042315191971411,0.036562128027358864,-0.08901309882876454,0.05606325887325574,0.05726478395697431,0.15269702162985166
RARRES2,-0.036314585093637636,-0.03489569748488782,0.031042368763142043,-0.10407422439104526,-0.002985549375013661,-0.0072701037832329455,0.017010544213755408,0.040243582621344295,0.10472649588662719,-0.03798399522418821
SEMA4A,-0.0523492020355075,0.017756215718849465,-0.05026712022370438,-0.012171088097580465,0.013706141746059105,-0.020327584292238268,0.04557506506073515,-0.06010335444392415,0.020223292042155082,-0.088648881622252
GDF11,-0.01938043882056947,0.023325797574441934,-0.0332040579586483,0.001195066763579333,0.006450691963781932,0.04494367485982644,0.07081112076472655,0.01991465905309988,-0.02784811337334388,-0.10291624320358732
GPC3,-0.04480399027501831,-0.07953428689493285,-0.016889315800889832,-0.023791322808633785,-0.004730386972373189,0.040594437355895296,-0.03885999055464063,0.0033649774733783204,,
OSTN,,,0.010679973465538966,,,,-0.03794079945098434,,,
GRN,-0.0446962391648531,0.009337871024692013,-0.03840886772271591,0.006071292897465184,-0.06661259903946887,-0.04461916816892642,0.004412678824950766,0.11691733857896927,0.03482900940924311,-0.0939128257780429
CALM1,0.04323816369807764,0.03252368523128824,-0.046924689836162735,-0.008288840220860075,0.03501682328408248,0.030293340818885257,0.016267657077220134,-9.863872764884859e-05,-0.013418546093318282,0.02483706151842009
ANGPTL4,-0.004315976586414731,0.010188205282376902,-0.009742193691603477,0.0017234702065405821,0.03331435390034012,-0.0847193691605939,0.0008322986970326664,-0.02537419924762715,-0.0016740663898817192,0.028883680394598772
BMP8B,0.021688466244415384,-0.03296197020249585,0.04160201040734767,0.05374302452916492,-0.039977454122119914,0.01780716436365322,0.0004425626022726673,0.052925960362572,-0.02504013163365797,0.01762485067991108
TNFSF4,-0.015566216468840002,-0.01957232904446185,0.00747920392928566,-0.03641206128370749,0.00224524084711502,-9.802224271159712e-06,0.0003970273241820466,0.03215558527381008,,-0.03457321546743839
RBP4,0.0121378170035653,0.007401528082441864,0.011212369632916205,-0.03800904733944994,0.09227210145927663,0.06046519704142862,-0.0014073233402541164,0.011429400980808215,-0.06193223610100855,-0.03099865672495696
DKK3,-0.010157625445757162,0.06944949720240755,-0.0002986225029926417,0.03838160958768391,0.054875383854728794,0.056479506497800536,-0.00454104660193472,0.015456854591788192,0.048915162451021,-0.03893259505728941
COL11A1,0.0470827441533807,-0.04773904369419961,0.02439161291898048,-0.040704242978252245,0.0936536325721427,-0.03347764988497546,0.05062381199626433,0.05926540191581386,,0.006511731037378419
COL5A1,-0.016510961699076048,0.03685153206781072,0.013890894794937906,0.011374421451132988,0.1289577334022219,-0.013710904923155338,-0.06054406088443459,0.07986078459892745,-0.012202194750378245,-0.013840300583244494
KISS1,0.007667194979970403,,,,,-0.017505668221064807,,0.02713724883603325,,
MEGF10,-0.02239630930168855,-0.06695781675447117,0.016101544127287898,0.03092803574459558,-0.03270101784828167,0.03336900838290228,0.0204403477602319,0.015196217458652744,0.11667945419509893,-0.06878492763424855
CEACAM1,0.014328381814591156,,,,-0.03554015009648984,0.07805796048139145,-0.04498958212172538,0.04098640464474916,,
EFEMP2,-0.02146616317830542,0.058001892691668305,-0.03712743994363237,0.027686005683217562,-0.00225659549354317,-0.08634117634523909,-0.007783836284913341,-0.07358371698518955,0.19216636626235103,0.08548722967626221
IGF1,0.04110290996359805,-0.022656200531238038,0.06265627491180775,-0.05544301002790267,-0.0016336767826838768,0.022597879625521424,-0.008589157037931637,0.02145289021062293,0.11087546078924872,-0.09593101780359764
COL6A3,0.010480747558554543,0.027650755756361983,-0.024633994243931673,-0.017077815398458755,0.018098120427963084,-0.009810597855083845,-0.012878948474348154,0.06272815982247792,-0.05387573877828188,0.03267014011304557
RLN2,0.012863957209158994,-0.022992899736190755,-0.026405449403778782,0.09557605033290213,,,0.006896602517325966,-0.01403557175231474,,
WIF1,,0.015469034071919586,0.021765372457658003,-0.010025319567544051,,,,-0.015645715708879966,-0.00411702515495404,-0.08162837133387459
PLAU,0.010435370420469724,0.018653742847567992,0.0038974487772014954,0.012801778681747913,-0.042213851137731344,-0.003343067690196066,0.0007397864372227343,-0.015439479999629984,0.03630696785147716,-0.020474232496904717
CXCL12,-0.010624450421260465,-0.06615121758742068,0.01691782307335313,-0.0076609396559245875,0.01546033584558574,0.027002731565716122,-0.01330157168559043,-0.02021903541281713,-0.05280903627516418,-0.05280605646242462
MMP9,-0.028454487665807958,-0.007434614473099294,,-0.019358898639921965,0.03239946784633792,-0.024938271734829348,-0.01604328530855831,0.00011172996016731321,,
TNFSF14,-0.04282552049684272,,0.02756603210189951,0.04785980408532422,0.10121255444462646,-0.02909494527390876,-0.07918552894207331,-0.018477347097953862,0.050406936824100114,0.040466889093338634
HBEGF,-0.01830605455180896,-0.05340581642560942,-0.011933560243998992,0.003474178429810615,0.0056277849128163054,-0.012360771640153851,0.023709252763630086,0.012843976906672258,0.08529513023412755,0.005716029634832718
