,UKF313,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,-0.022612172087179066,,-0.023395956121444548,
BMP1,0.014112145916376006,-0.041935452865121,0.017013950138350914,0.01896793358388149,0.04253204353043028
NDP,-0.03621709433241414,0.008321583967593164,-0.0011897827040607035,-0.027987712644737303,0.013895374226583051
TNFSF18,,-0.023319533945231605,-0.04875611627663252,0.015475668777453785,-0.023953090455780836
RTN4,-0.011050510905457786,0.010612488971909263,0.0007147708586869055,-0.025622733692504514,0.0709838491230212
HEBP1,0.024931630062341333,0.09524021805473806,0.10117442128668758,-0.011638747755451604,-0.03923075649393339
WNT7B,0.03441783052526249,0.03044100215136335,0.05723153762151257,-0.006849213926557818,-0.021359036530759386
PTMA,0.052640902360215736,0.0011155053654065843,-0.08025019773095249,0.029588341356141475,0.013661161358006962
FASLG,,,,-0.0004003177990021866,
CEACAM1,,-0.03350773568700184,,-0.02823237032679698,
PDAP1,0.0430332887379032,0.012179776601087872,0.014331645517534583,-0.004402298528021487,0.03381551985497044
QDPR,0.04223115328728601,0.07356798916203833,-0.03781753357564118,0.013734370830549535,-0.03139942153778783
POMC,-0.029118165462388424,-0.028042538257850497,,0.016243439590214258,0.151432535078134
CCL18,0.033187710864733364,,,,
CCL17,,-0.02981284270439309,,0.09212696451939993,
VEGFD,-0.019673409643182704,-0.0002169467446090287,,,
TNFSF13,,-0.03197041831091462,,-0.02996788451403067,-0.026057545754583574
WNT5A,0.033955189345292396,0.07893640899276459,0.07994702986876775,-0.0042799436071523185,-0.060520138613927715
CXCL8,0.03511001438280615,-0.04232773789912648,0.015184367386112294,0.019873682172736325,-0.03791807274956559
GRN,-0.03680686071991317,-0.07311749169651828,-0.06677848141422492,0.006314359625348217,0.10406307870407157
MIA,0.002957217989589569,-0.061300466632593406,,-0.00020195500018716558,-0.03616636249858073
COL4A4,,-0.04592427426420528,,0.03777943396952924,-0.029123252958230976
TAC1,,,0.057695642715556286,0.04330867447373806,0.07462700192957657
RARRES2,-0.03485797129401065,0.03523736427466618,0.002348213013895738,0.013889128052513572,0.05111935567415638
FGF7,0.047847017688431116,-0.010045899486677308,0.04419804748012139,0.030975741412965444,-0.025544036092920254
HBEGF,0.030104057478077723,-0.06610937535274884,0.01882936246926883,0.01998837549531136,0.02525677436459102
CSF3,-0.029555879522396078,,-0.04382062018483672,-0.019363716186038448,-0.013332792338893886
PI3,,-0.025330872242176665,,-0.010289142028930328,0.1033830700437388
PCSK1N,-0.004566517461924845,0.022914139893282743,0.019886931948103637,-0.02557377835821674,0.029516177714545386
NTS,,,,0.06983865776465385,
SFRP1,0.05241108716052777,0.06685618033323196,0.04604709881331164,0.0012463122170717391,-0.011064130380862599
CXCL13,0.08707520955960944,,,,-0.024848602923244093
MICA,0.030849992460349324,-0.031371053255926054,-0.07289634082095174,0.045239801053152215,-0.03089905612215537
TG,0.04573442635365342,,,-0.0033851051965527795,-0.027383289011420103
ADA,0.016346411881556385,0.027240979619241934,-0.01273244858359698,-0.028744428710709525,-0.019621654147361157
LAMC3,0.006791911307077113,-0.07768091360394208,0.12156521245924115,0.012890751526218807,-0.0037010017897454004
CCL7,,,,-0.020291297547137318,-0.010357033541744604
NGF,0.07986529834200295,,,-0.010426954140978502,-0.003910354783699887
TNFSF15,-0.018821765019750848,,,-0.011546423051102022,-0.01862943526746069
HMGB1,0.010218281649211092,-0.009059809142946072,-0.051263127814780964,-0.06836825281991311,0.08270767113584712
ITGB3BP,0.12345322529555335,-0.017150540041840707,-0.01685204030317337,0.0032058841238085467,-0.02486343308938478
AANAT,,-0.03687752996738817,,0.05500882732042075,-0.018705284136299585
RELN,,-0.022786708061540064,0.04790131094181229,,0.040755838489043246
IL15,0.04968411855050749,-0.033626766114306844,0.04542828819306148,0.049914257214676024,-0.004635278801242418
BSG,-0.06854060006014037,-0.012003037407200396,-0.06915665109706134,0.0313987792554481,0.02480946907775569
ADAMTS3,0.014647374908086423,-0.04694511456661644,-0.0333958750321071,0.011595912357809698,0.031181611424435936
CD34,0.0075903626148383285,-0.06810089999628285,0.03401201390006264,0.01788087904109075,0.06721024280887353
PLAT,0.012892092629285075,-0.023351674872008003,0.020426321481512785,0.03717720164657401,0.036101878178220775
NTF3,0.03712237968288847,,,,
LTA,,,,-0.028894091027026742,
CKLF,0.06890582147325378,-0.042296647766090295,-0.06912399901184775,-0.00024227471601748646,-0.06325494406240849
APELA,-0.02298170249502084,,,,
CD24,0.07118285686267731,0.0645871528328765,0.04388640283136228,0.029117081854838266,0.05961203674374063
HSP90AA1,0.06015322960545649,-0.006928913680178389,0.09093017434902327,-0.003476175324987266,0.054970998091025625
BMP4,0.06111468334927094,0.012129659943294298,,0.052270450516316416,-0.039681425725426114
SCGB3A1,0.010924207884223526,,,-0.022238290874968293,0.01873862940728707
IGFBP4,-0.004569120424715387,-0.043535014747553606,0.02420073304761578,0.019627899701919846,0.039732610266005414
RSPO4,,,,0.004373609496884485,-0.023586622362681175
LEFTY2,-0.002859596488512413,-0.03695720664528437,-0.055806629594657875,0.09311871204297019,0.084501577836764
PF4,,,,-0.028894084340719762,-0.018476735938377894
ANGPTL2,0.03477865483481372,-0.03847903404635353,0.0028115831891104438,0.03790324213671449,-0.013847148993663039
LRIG2,0.023487020208329854,-0.03559452644383749,-0.05330104860764952,0.005288927027174823,0.085270732353539
ICOSLG,0.02899027472593344,-0.0024324451209003827,0.09265505714160112,-0.003877949701433495,-0.007614084332622739
WIF1,,,0.06848077040989603,,-0.0016552636381530102
NPPC,,0.010443998881121628,-0.08050171445036826,,0.043555858591835105
LYZ,-0.043073383438310665,-0.07074777464416397,-0.013794531168270435,0.019611021167342545,-0.05891401824444214
EREG,0.03805079356801904,,,0.027877124065780905,-0.02127219648011011
SPTAN1,0.05351765798265922,-0.020157681617748304,-0.0016385897024049853,0.013776876193374187,0.02349440576591355
LIPC,0.031546292366023986,-0.04294357598478126,,0.09336671259096954,-0.010999486024417495
COL8A1,-0.07580054727426386,0.007975157507468291,-0.0999585393825086,0.06081349635014463,0.04292886515761338
GSTM2,-0.012211324856259462,-0.003330674374588601,0.05876160240828955,-0.018197146616734775,-0.044290295088724126
SPX,,-0.008173730568122962,0.03610419354487538,-0.00721258736568874,0.02133710152591224
MFGE8,-0.09460305590375072,0.013546344671073246,0.04381807497587329,0.020389366671753298,0.04559811174855501
TGFA,-0.03353796019285359,-0.04906245181747586,0.0702009894753645,0.04633790299669754,0.06955167214152128
