,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.025751389094226033,,,,,,,,,,,,
BMP1,-0.014992242870970616,-0.00791353790422265,-0.009116212426435028,-0.013317902429733451,0.03125907765077293,-0.03369213931724623,0.007664312595882192,-0.1844867852925992,0.00010306439986575142,-0.03912070417774541,-0.13651560274704544,0.08456243230394736,-0.1483754295202389,-0.044315710811065466,0.0077067440742632585,-0.024160803014054256,-0.024274448512250184,-0.05585136737083727,0.04755878824812708,0.08225180547743907
NDP,-0.0591877380302655,0.05321749013921009,0.000512337179308457,0.0736294672083004,0.04852004828581774,0.1264487787720853,0.05030401177427231,-0.04840112859198,0.048141765548895044,0.0009457232596072727,-0.009831269855424159,0.07589056627791248,-0.010876538552710242,0.028735536288538192,0.03905720178268242,0.10398018734527129,-0.04145355614011482,-0.0343460818301403,0.08806650860366431,0.09394963558210928
TNFSF18,0.019094175460180014,-0.014942304635760519,-0.007071770025006897,,,,-0.038099376796216,-0.038240039727040376,-0.025614072622801298,,,,,-0.025257711380729422,,,,0.008293153734369655,-0.038977739232961654,
IL36G,,,,,,,,,,,,,-0.03306100607527647,,,,,,,
RTN4,0.1473241587928745,-0.0268154147072872,0.030824295042991286,-0.13452349989597,-0.035906773661091636,0.11673797428366425,0.08786085824384637,0.24742410598400905,0.05286583295071849,0.08379463874072661,0.35283540649850664,-0.030185580523697457,0.24017954086354018,0.0019461507019589179,0.07970436233185517,0.026497480476855236,0.15963234743490404,-0.04587907825703766,0.14398779987915988,0.0444561041183192
HEBP1,-0.08284448381170112,0.02179204480513954,0.04353070600098467,0.029087575594875674,-0.08692550300648151,-0.016773391672457533,-0.004875727316286054,-0.0671753162654697,-0.02802958891267954,-0.04727998014231143,-0.10740555805299519,-0.01469518048123504,0.011054912801954789,-0.010441276256471468,0.025910145720124306,0.043090102309176766,0.04344865429237218,0.03717332647712038,-0.009089779775785756,0.00658047326338302
WNT7B,0.17732970503844595,-0.03843522159411414,-0.018040738536119157,0.11805654922625523,0.00483738410024897,0.023415175461733804,0.040069823199476294,0.18502769184710846,-0.0015243868047045504,0.0831530584905181,,0.05512846949544914,0.10087448941781481,0.07916049243178365,0.0024250251219837407,0.04495781382936714,-0.002311008521774249,0.06074593167496163,0.07359455964174928,0.03594143743132036
PTMA,-0.04563864309143816,0.013252671410546814,-0.0014019344723615458,-0.09214159449332779,0.0426645407279794,-0.0760512053259192,-0.0808804549625671,0.04557334029199495,-0.0003333828500381441,-0.06835567964589093,-0.3979805787118219,0.05624890357154986,-0.22073743867916068,-0.0394333421334927,-0.053262406667445424,0.020380218950583513,0.014136642640145457,-0.017898544625832766,-0.12789534339998646,-0.18594552367768225
CEACAM1,,-0.041071824876537065,-0.013845181749114062,,0.008632432385984526,0.003062891257517899,,-0.050321714290976455,-0.04028483409173076,,,,,,0.02392982113509172,-0.020121790362647676,0.009703585629420166,,,
PDAP1,-0.09069156432046137,0.0005197562490032556,-0.04008428037047282,-0.0927296360256023,-0.03739220186650225,-0.030191217106125334,-0.03795731774647651,-0.1318356202643053,0.03488558906825418,-0.02879464043945006,-0.014889414431789986,0.031001932792963722,-0.11402492758607156,0.059055224798607926,-0.06363588256389979,-0.07508299585227783,0.08502483639599359,-0.03159225479603101,-0.003081809159347565,0.06670406007664444
QDPR,0.09108519726313544,0.024877668218371132,0.05241380289294082,0.04440021228626677,-0.006739801494250912,0.09627737497962034,0.1376992845474552,0.04983588681883634,0.08759867977414734,0.004394707924461158,-0.2958485221308249,0.05976220214480392,0.017359654935888872,0.10176276925860041,0.09518448397693009,0.09892194805605146,-0.003123081558859198,0.09768063704860924,0.12649163750081605,0.011860316561659989
POMC,0.06872211229354769,0.026877768230235743,-0.02460067907191554,,-0.03985105080158899,0.11889945518788499,0.04813659854451988,0.043709307563183676,-0.01058959620272252,0.022773476801387707,-0.002188319812859658,-0.030162763911350057,0.06843616342311508,0.040372771233819785,-0.040367664432976,0.055927762478122464,0.004120245535781091,,-0.04394781833441153,-0.008604937892882181
CCL18,0.1328211408979825,0.006081255501795913,,,,,,,,,-0.11846225625095867,-0.017069782298450405,,,0.05662620338635933,-0.01696056913172111,-0.050710697680284925,,,
CCL17,,,,,-0.01853896549996458,,,,-0.01416162601544313,-0.04199652308636228,,,0.01964471424517934,,-0.01985580725547932,0.01746600492791123,,,,
VEGFD,0.07413618643557597,0.0037782002508810167,-0.019830445105567807,,0.053381079407054076,0.033674175816786105,,-0.043140484382384395,0.09266286045497862,-0.030804957565671746,0.05165168240506204,-0.020379182581577494,-0.0323685985339249,,,-0.014644088432091695,,,,
TNFSF13,,-0.01905253238329398,,,0.0367119058504809,,0.026160929050972333,,,,,,,,0.06295049195252013,0.0770265062170506,-0.003584765823214635,,0.055998713683627244,
