,MGH258,UKF243,UKF251,UKF255,UKF259,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,,,,-0.017830023477584903,,,0.0031325808543272017,,
BMP1,-0.16448576978554097,0.06999911444680725,-0.05281356938118554,-0.0013461745065150858,0.019391864579594627,-0.05566717635085319,-0.009717484842146578,0.07745924923011509,-0.0030336057223787636,-0.03545627697723064,-0.11860477217515786,-0.06816032906855835,-0.018466951955806884,-0.06499828442114745,-0.10013731823011449,0.004790282042748915,0.046473253645069455,-0.020017478849031278,-0.0036408575980017743,-0.07022257607586886,-0.03681176566447583
NDP,6.947373296086024e-05,-0.02775796606218187,-0.031239415325573918,0.09657761083265415,-0.010490742547341479,-0.004300138582816089,-0.021387854797065516,0.059920337633382025,-0.07378972863605708,-0.0919684696819963,-0.010538959759361853,0.02088084487041557,0.10919826271035332,0.01786510036137436,-0.03342349866070795,-0.034388933580658136,-0.05300150494568337,-0.03244586961161024,0.002695924581488634,0.016678153212927375,0.01321286522209083
TNFSF18,0.002583787707287116,-0.015644361133743376,-0.025314429829556916,,,-0.015129092463429878,,,,-0.0674174063556214,,-0.001160856474858465,,,,-0.055410761146982276,,0.003976828436077359,-0.04261198378789748,-0.0025744915211265104,
RTN4,0.22109800635907037,-0.015541331058665377,-0.04809527652745582,-0.003479193959587833,0.018999406091105595,0.015393665884634528,-0.011884422771224633,-0.12662737709906077,0.01269273957442665,-0.025682254821626806,0.012373008554753855,-0.026267941902740604,0.02684537074506409,0.03908946887213085,0.10950381081761715,0.060305159341476254,-0.07105775212883506,-0.039250105141584675,-0.03555167273997099,0.0780590321531301,-0.03330152962100139
HEBP1,-0.02265227471484843,-0.03154467833181312,0.008684610958064607,-0.00955907430693898,-0.04090719297237862,-0.03164434886076549,-0.012460955559476891,0.04238890012243913,-0.029058492967132272,-0.08362327732958096,-0.12211434936200394,-0.061420623687537555,-0.0033212435275170146,0.047046373809708435,-0.03904825955391095,-0.017778403934533706,-0.053410537555553805,-0.07682001363833246,0.000762032519186422,0.016720088495558234,0.024545463662921922
WNT7B,0.043965165295045176,-0.05166584346146843,0.04166227201951959,-0.05230027551725327,0.061967652945941434,0.004520275942095409,-0.028090371584072057,,0.06511316341207636,-0.0025945493333041562,0.04113900777383629,,0.06982876495306534,-0.019877965028481742,-0.04598036927549959,-0.01709443118697738,-0.014441945232722797,-0.03294194739880742,-0.0026382867041086595,-0.00434923273344799,-0.06838135521091492
PTMA,0.0688215584556894,0.030070490988935373,-0.07252462495137679,0.14771156907314814,-0.01629201415532154,0.12353274247692482,0.05269279020438972,0.08319917677577357,-0.08299864219492306,0.10307134864805784,0.11296608494837222,0.07198758071986656,0.0653738191291945,0.21746400759992124,0.08351683530187334,-0.023993576045852172,0.11612579513821272,-0.10168567896024013,0.08697036055850242,0.06333518909905966,0.009960003132318034
FASLG,0.044566868108669826,,,,,,,,,,,,,,,,,,0.03206205807007718,,
CEACAM1,0.06397980845853657,,-0.0165075012875906,,-0.03271041539017017,-0.011541003657685308,,,,,-0.08850238600617033,0.055503135220515656,-0.04119804769477384,-0.04690748512394584,0.022895685781968284,0.05799878340112597,-0.03501206984205734,,0.011105653518444485,,
PDAP1,-0.11129010502396611,0.05977823756999817,-0.00901158565283504,-0.020754341287212895,0.03867864363513171,0.028041906508520575,-0.035490918595650726,-0.015543235355602505,-0.07918590736642701,-0.07083335855647202,0.1891225299748649,0.01936267121306128,-0.052084364107957096,0.12182276364177928,0.06286288237042197,-0.00893838496515782,-0.018676946238430744,-0.10071335390802953,0.014086321757476823,0.061252766880741764,0.06465862961420678
QDPR,0.13395773582019352,-0.017118613974750466,-0.021953523341008065,0.06169400660929264,-0.042072051586031105,0.07757257664074042,0.08277394529082667,0.008685955101959693,-0.07800119197966268,0.0703097071303486,0.06436046874176378,-0.12341324165795597,0.028924326483110958,0.012790543570204123,-0.01589065801433138,0.00855913991026742,-0.006714514125518459,-0.1378557628190959,-0.0006477201457231511,0.07821351564340712,-0.026358806757304523
POMC,-0.02010901724460813,0.02174141992875381,0.01410508416138516,,0.06566866746292334,-0.01755460251411359,-0.007523713985236766,0.1124512259545078,-0.03757506505540779,0.020276392427429058,-0.08443247294629762,-0.020236859477649492,-0.022696950745593865,-0.010788143300168137,-0.03674363589434242,-0.0076104310644538025,-0.011000468685836956,,-0.01553920413040956,-0.028260738598576668,-0.04903354654678277
CCL18,,0.007117441975821708,,,,,,0.033243651037884146,-0.09432660099628273,,-0.06429372511701811,,0.02024503277593077,-0.07781637910166625,0.01799171122256099,,0.0040677719208586675,,,,
CCL17,,,,,-0.010494869404138383,-0.01886892384572425,-0.00022135577930145798,,,,,,,-0.04884059373374046,0.018425025568269148,-0.01837016356463278,,,-0.0208409280664075,,
VEGFD,,0.07404292743646355,0.003522838724189832,,0.0075319822799682955,-0.0060792629562244,-0.01425926137670077,-0.02012694622658371,-0.025387232865309826,,0.16017848106108343,-0.0045730393936465824,,,-0.011691469914333006,0.02722808087342044,,,,,
TNFSF13,,,,,0.0024117640488864156,,,,,,,,,0.04483574665052558,-0.00012374331520267461,-0.041739094655045834,0.00026629127492266183,,-0.06934219455877429,-0.05955661500533301,
WNT5A,-0.05822452394957341,0.019882831129840055,-0.03582799922345872,0.09699020029356306,0.012014991456265393,-0.021542663041441357,0.011292458939289953,-0.037356291042010895,-0.053399322845087076,0.005822450237721117,-0.07337903723564031,-0.00029616866623886483,-0.03148664987148993,-0.020363048684762568,-0.0582948538508199,0.07680249689518034,0.0077239373872216065,-0.009472174242244408,0.03485537885090998,-0.007838882308764929,0.03501736455058087
CXCL8,,0.009224859056334347,-0.022138544015492402,-0.08259734249872704,0.05381043027917023,0.02357947672562623,-0.023749272026306067,0.04873796468596956,-0.07352201863062283,,0.0027111024036469765,-0.09669959958517707,0.0969541005984125,-0.06079516266129106,0.0395829957164841,0.050332253658351984,0.05471343761038703,0.07717722823974017,-0.010276927462016723,-0.02302783316543219,-0.07622311725901638
GRN,0.1614758950648938,-0.003374274226058873,0.033313418014732796,0.08405867277956133,0.013995418065346363,0.023257385537144234,0.0016276704892043592,-0.024793696116305112,0.06333002073539465,0.03607102637636804,-0.2517755439383253,-0.006666456888459851,-0.036343330479220184,-0.029940537821858966,0.04829646763958769,0.01647620895248152,0.06680897077153455,-0.04162386920800403,0.01794387125122486,0.0020839411077648363,0.02492319129498854
MIA,-0.06462232379789744,-0.04066600325380705,-0.021027038817627235,0.0011865851530397115,-0.04284301556683909,-0.03708711941517398,-0.029004010141234365,,0.03307690796655321,0.0199646411768414,-0.08247271404857563,-0.06537416812271549,-0.06807974536290419,-0.04266617125622279,-0.13130206389780935,-0.04044400261327375,0.12780141282270543,,-0.02494030643177323,-0.09897496188083774,
