,UKF248,UKF255,UKF259,UKF260,UKF275,UKF304,UKF313,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,0.06144674735524634,
BMP1,0.04537233258070602,0.08642862070411703,-0.06943558070227289,0.010128501768341576,-0.03765672210022033,0.11017191369754925,-0.03071875269480809,-0.015167514504866975,0.06847412234012909,0.06363017871223739,-0.02133373911303892
NDP,-0.058490027460868114,-0.013460719785364622,-0.011868450833637405,0.02390892912363098,-0.02796925883428699,0.013707285207102671,-0.020705892271812243,-0.05429397004764901,-0.0794513186711694,0.0513648944292997,0.10657554189705058
TNFSF18,-0.0358338766202591,,,,0.05175328315806607,,,,,0.015712525261817132,0.05801602994183415
RTN4,0.010208650208743154,-0.007787798355334775,-0.02118862432691694,0.029372644354881454,-0.0015131330963569327,-0.12068761624915482,0.001908547315246269,-0.0339625417999893,-0.03420580748570499,-0.03817980531975033,0.06593738028435778
HEBP1,0.05410564922937093,0.053107301081745446,0.004700932897110064,0.07284265058584781,-0.02551100467249635,0.10013706548072011,0.015934813687888644,0.1010677567283627,0.007243896838850427,0.06520117470008815,0.04288735172390385
WNT7B,0.0297665925452127,0.024661435691402105,-0.02991458679686664,0.05006629012947293,-0.020399353894086134,,-0.01701706008860664,0.051570074318159104,-0.024159454834219152,0.05723385853476276,0.02355486755954195
PTMA,-0.00893682230677642,0.0877062563821435,0.03019729381915503,0.036505964865557294,-0.012483382716369531,0.15507545636356165,0.10147460176044218,-0.011897046657017475,-0.0700021162498665,0.007649375604901956,-0.03054273176423848
FASLG,,,,,,,,,,0.026302513576177487,
CEACAM1,0.03635232811478477,,-0.02506258288053418,-0.0270496484292281,-0.0028411865923134052,,,-0.01848989044739288,-0.01603498154134533,-1.7250547764401375e-05,
PDAP1,-0.078857076878298,0.05289825537136284,0.005909365673662442,-0.01995780538942441,-0.02072667339864082,-0.017595178832572375,0.0989090615702308,-0.01041140387962689,-0.017578786369037706,-0.025617649205158046,-0.01051830094809628
QDPR,0.06506699706600874,0.07520904092447711,0.04295606727834056,0.009053176237358223,-0.0013412405640721705,0.11918606201767408,0.043630188988071784,-0.01139327110599989,-0.023327759920583637,0.036051659620662035,0.11202422401198926
POMC,0.013566594881749525,,0.04837144256672885,-0.018505437406303407,0.025165806498994917,0.011998608820934847,0.046429207552230796,0.07567785698618563,-0.02623112335616423,-0.009535488877423184,-0.006734092724591984
CCL18,-0.02846133103599977,,,,,0.16083447614072116,0.0940148754879141,0.0632637224122028,-0.0014658970365851074,,
CCL17,,,0.05179954456924754,,0.021356496685019977,,,-0.013117682336571583,,-0.004835517376272503,
VEGFD,0.022525120183048544,,-0.02387776001072944,0.14248462092933395,-0.021520331556896245,-0.015203132054352031,0.016820573056010035,,,,
TNFSF13,0.04467237164915766,,0.022549621544154696,,,,,-0.02517086209776566,0.06701839741618666,0.055464838900945314,-0.013821649484255155
WNT5A,-0.027020897170409012,0.09752143858491609,0.01907024213578648,-0.1344722432293382,0.012468041682793534,-0.018875554356595346,0.045532813846266555,0.009640966276884032,0.01445792396681344,0.0764951119176433,-0.039478370382362966
CXCL8,-0.05254442952265655,-0.10471158893369087,-0.046196162897961995,0.043406534573812786,-0.06375860734036141,0.11284956754267779,-0.0012978738766836896,-0.028728617955510852,-0.07329922689652461,-0.016941134630532425,-0.030012488306509648
GRN,0.10573848215464597,0.08181842033785913,-0.015308378635704202,0.04708643518648892,-0.004736185558678129,0.12721217781165842,0.029043502612305403,-0.061933409193153474,0.12040075898995299,0.07178841086689366,0.01290111176473394
MIA,0.03486653472766592,-0.020931538090941358,-0.018791671434383723,0.00032518692638957463,-0.03970141185891806,,0.04286118349468259,0.007263455552844671,0.02857251883276563,0.01888702721109871,-0.0038423592058828776
COL4A4,-0.014274380906359335,0.0037489432222077555,-0.03009764620861711,-0.06991476646741109,0.030404885788383053,,,0.06960620129066464,-0.032316030008392206,0.0631099990754879,0.07590056839074001
