,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1
IGFL3,,,,,,-0.0264812921223043,,,,,-0.021110096028220254,-0.022183904035665402
BMP1,-0.020048675673834414,0.04393769698170502,-0.011493176766123872,0.02792293998421905,0.05220422636577089,0.16855362972358892,0.03132517523192539,-0.04118731743123296,-0.0217672642890652,-0.007750183947093045,0.06784399749681286,0.13376261862018238
NDP,-0.002366701737244808,-0.000376698219846944,-0.030558522415164487,0.0034244713110084227,0.013655355987838255,0.09490958551844275,0.010605112124750474,0.04554031418095588,-0.04827386037746567,0.09303312116033248,0.04517760508877773,-0.03421667457866664
TNFSF18,0.047257716636402526,-0.012694868424908835,-0.0022228020449115687,,,0.01935134970137781,,-0.018928208989275466,,,-0.021770469418826814,0.09726592413166874
RTN4,0.016987255801846596,-0.06938075784421009,-0.03569549419507517,-0.005460379651677098,0.019053549390023863,-0.1859139184613417,-0.02442368480463002,-0.07266330286938284,-0.007131588753082436,-0.07419442949485218,0.009573160975757798,-0.07111507323004418
HEBP1,-0.056624360657574875,0.025804643959773662,0.04536148378936005,0.0248423150045567,0.042392779735896134,0.0654636840675955,-0.011215962490979961,-0.05505581558550795,0.0387986351146174,0.009505378222497028,0.04279614790852142,0.040373777205282985
WNT7B,0.06103580313752736,-0.03344930073335692,0.0037106285481933892,-0.03592581131959108,-0.034152642742942774,-0.025826586885572628,-0.03273301983816655,,-0.0045952801639836515,0.011810655572475832,0.033579122335244814,-0.0431377812340663
PTMA,-0.020491010858941967,0.02991450247055872,0.03294333811788488,-0.012196796119001065,-0.07390749934473093,-0.13067743176182584,0.10066223304879147,0.14205488192193177,0.013136142380221916,0.006261756796565345,-0.0670692926195077,0.2549637441875556
FASLG,0.08286798367543942,,,,,,,,,,,-0.02975705518979313
CEACAM1,-0.03625596650835348,-0.021302254084688315,0.053992537893458016,-0.04148401230222909,-0.01498960619583343,0.08044676622301306,,-0.03014970617067895,0.008033228291511275,-0.02160666994343279,0.11425788877371953,-0.019562613523415383
PDAP1,-0.026295735021682344,0.028901806879297418,-0.057433901159689334,-0.034575672460771985,-0.027929915575841614,0.14371486743080372,0.010775481867966733,0.040255846742943274,-0.04536606289540309,-0.0034622041504763544,0.004244151837455905,-0.047235034115671364
QDPR,0.03570719431129866,-0.07638292383817459,-0.022907110150807708,0.03519875267857322,0.011090300678102098,-0.14266247204438792,0.03885121144205937,0.0470911663995158,0.06542852638651195,0.07193747137738493,-0.07027897044407425,-0.016688512691946798
POMC,0.013775808757707085,0.03453728971446512,0.010700815731739605,0.015299335772082348,0.01002864768356133,0.11414660267831736,-0.02803795149790336,0.07538843795154883,0.03384769563467396,0.06271259449800037,0.07188632692876486,0.06282060169533614
CCL18,,-0.026583200374937336,,,,,0.04786451949098355,,-0.027470785816857416,-0.05276205721623185,,
CCL17,,,,0.024254480591470336,,,,,-0.017965878270016913,-0.031190584517852588,0.043473564478635006,0.08309307657520842
VEGFD,,-0.013954740610747463,-0.02578275694507566,-0.026788391580645887,0.16615503636000117,0.0305716749274878,0.0014192585658304115,-0.04098786484356836,,-0.00266415910113612,0.03818569866462226,
TNFSF13,,-0.02006054242298368,,-0.016585459104856003,,,,,0.07875034134841097,0.015634096812376437,0.10604682951059834,0.02510514743290327
WNT5A,0.04136370692699573,-0.04400355871874147,0.010363070686954395,0.014929213331169405,-0.030013039214867043,0.07988318696859209,-0.018341019000971206,-0.012360165354546716,0.020993426183400082,0.0069752174593321545,0.07016719390254772,0.17246284520181843
CXCL8,,-0.08167159166680986,-0.024141445410627873,-0.017874037004376883,-0.028861158411597098,0.05561168466107241,0.008700759621835892,-0.04936149788332665,-0.1035955573279041,-0.10542435594666681,-0.039516000862850766,0.008336954458767743
GRN,-0.0028272225316991126,0.10404431052255919,-0.0053933478150240055,0.03485411387055186,0.02586077385006872,0.11856584714827774,0.03364120931029251,0.08099173984771525,-0.0029636902173971543,-0.028785342176402866,0.09992094394500114,0.14652870230606974
MIA,0.019087686586365817,-0.039290934014017266,0.005409639313439436,-0.014348902787766318,0.027424592350317363,0.11743365018272169,-0.010037792695280528,0.061699026992301835,0.13017192365551203,0.09554687598774901,0.05719154814255274,-0.07131323252724255
COL4A4,-0.030240232142317466,0.01457830797502795,0.0233866266223605,-0.04628678969510793,-0.02385697108926486,0.03681278810435158,,-0.032094305397009845,0.03536906462879799,0.02880812866007852,0.039253010259161204,0.17477758069572594
TAC1,-0.0261114283499607,-0.0709122908332701,-0.04169308911356578,-0.009257452676601115,0.08981273508732406,-0.11339529912150995,,,,,,-0.035456684976552605
RARRES2,0.025211987150947347,0.008723060937311549,0.07624564263918372,0.016262713190034493,-0.0055551442999947805,0.13599867799532617,0.018642789975132128,-0.0523068797573279,-0.02376030198627824,-0.07584103961979746,-0.052699161145403586,-0.015759610600296754
FGF7,0.00858068449882384,,-0.02910060864878928,-0.01996932934711864,-0.02745923966995809,0.1025936212127484,0.048413974810740286,-0.022238974820970064,-0.010470479617282664,-0.05742192218556677,-0.016302047488198867,-0.014467898164951419
EFNA2,,,,,,,,,,-0.020535693796392696,,
HBEGF,-0.03634653749956567,0.10384484741832928,0.018451025482071025,0.002812007914952829,-0.029447415163385462,0.08850888717940959,0.03350800313029753,0.05325511277341994,0.02419781025413239,-0.016585316902707606,-0.01928944000254352,-0.02209624960321723
CSF3,,,,-0.028659122247794773,-0.007601511022131323,-0.013830875709542998,-0.02845942741815999,,-0.08172733789222233,-0.08827552448811372,,0.03129371883651517
PI3,,-0.027966647588794195,,-0.04320940473457162,0.012116904688641588,0.0339121911213426,,,-0.12616820902466183,-0.13200531591392275,0.019723114034938743,-0.06169671056962012
PCSK1N,-0.04929822312860338,-0.09210626060442112,-0.023135528309950526,0.05864406692709264,0.01881510828751541,-0.04948791873412725,0.01587912982445399,-0.023456224977273593,-0.022660933771913902,0.0070252643140493376,-0.0007298073746128695,-0.14296032872649408
NTS,,,,,0.03291942657947971,0.07181980724665572,,,-0.0017139622348497792,-0.007987301109549991,,-0.042051719111433954
SFRP1,0.009827803538267075,-0.033171654801462905,-0.02101548652963122,-0.020979883589722807,-0.01636083307954143,0.004603251793506428,0.010765591047522482,0.00362054733227549,0.0591009186836552,0.008668270794930663,0.02540774801994971,0.27084347585436613
CXCL13,,,0.05810862388943709,,-0.016213794519208385,,0.033092847683386106,,-0.04035504611561209,-0.013769170280410421,,
MICA,0.017090115090169753,0.0513434421168975,-0.0008042287722367402,0.014774926356695924,0.04872558916903809,0.07292906481794952,0.001850983379694445,-0.022487221729384603,0.013027804729155072,-0.030115686783271294,0.09144168368456634,0.07187545389332853
TG,0.030173811330587535,-0.04186209150384247,-0.024477672296202957,0.02782625175397435,0.006817656695700435,-0.02168133219047195,0.012031564886308042,0.05648879274129189,0.011847885938683148,0.023809141398980774,,0.05242300380168705
ADA,0.0013303250161599456,0.08827940683033349,0.08840499285095554,-0.01831366698153166,0.0868918983365549,0.10064308163332795,0.03742464328016988,-0.0070104572055121215,0.025712963350974092,-0.05406277929449495,0.052742430429248734,0.12246720184979994
LAMC3,0.01130641276122132,0.12366950424333595,-0.028235623944543636,-0.01829394265207284,0.056401219740985206,0.14661350003975807,0.04442280441258271,-0.002461957667544662,0.021927517764839522,0.0742206591841969,0.06597447523154103,0.2327391316687279
CCL7,,-0.016909161127820326,,-0.016369130875610552,0.03067276376633832,,,,-0.02692671038064183,,,-0.029757044608539493
NGF,,-0.017029474105980394,,-0.029347907256167826,0.02383766046441392,,0.02443555033686235,0.010000392348757561,-0.031098194843488233,0.02014482464874484,,0.2086151937152738
TNFSF15,,,,-0.01822782783392787,-0.01591593419211311,,0.023404560359267832,0.033707971252646976,-0.02625051901232779,,,0.08106949431906775
