,UKF248,UKF260,UKF275,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,-0.015610211376801027,,-0.026403999526985203
BMP1,0.04915955697432779,0.04691023947749515,-0.028544262582929893,-0.026275364625740417,0.02196739267883396,-0.03765793541161926,0.07223575535363887,0.03526928208521329,0.05631509697536502,0.05981126341844526,0.052952497522300516
NDP,-0.013185453760163576,0.030140674451168446,-0.045102644779175624,0.0512749437583158,0.03134009340091313,0.10863559652900319,-0.04733361170620393,0.02948051377321081,-0.08519662147150527,-0.03194615882478617,0.06563152466109949
TNFSF18,-0.024830504610871256,,-0.015987501685959672,,,0.07268244129845676,,,-0.01609853545648321,,0.003937390017129563
IL36G,,,,,0.0656296130997845,,,,,,
RTN4,-0.006194215021097237,-0.029967134123090843,0.01682548795213472,0.010423184936377809,0.04374870162507107,0.04356518448394158,0.01617141759032003,0.04430769955436435,-0.026493394534836623,0.030530398480740108,-0.0363028351426012
HEBP1,0.031016089306126038,0.044250272393246685,0.05319180083872349,-0.014052957251810556,-0.04514386602990753,-0.03377288398124772,-0.0010862121644008055,0.06627534750770972,0.030520853133947798,0.0016783269737413637,0.018832812477741146
WNT7B,-0.03674642317934705,0.03155496436623214,-0.03153182823835792,0.009374626956201186,0.019473307954084806,,0.1590401867468621,-0.008542909175695812,-0.03366333997713755,-0.021792633468762854,-0.003596228014643918
PTMA,-0.026772210958261836,0.009894837873592266,0.01998444667313574,0.04271453624928293,-0.02504599612663219,-0.10363806714357462,-0.027247984230249347,-0.03153524942634298,0.003935111999467708,0.003430052036761319,-0.07956140255584886
FASLG,,,,,,,,,,,0.032205043782743394
CEACAM1,0.027482942346734214,-0.015811716104679224,0.0076694207556489,,,-0.004285018066230408,0.024477114147420573,-0.016479390596500842,0.022098127428779184,-0.014464087778751026,-0.03186223674232092
PDAP1,0.022683708821007495,-0.03903159346352167,0.0022183102396650936,-0.004394641942364535,0.01611641921303522,0.050664922424463306,0.03209471562630891,-0.048300194079586814,-0.003401407648468435,-0.002109245841540599,0.038995700223631864
QDPR,0.03165165669217293,-0.027944307893708536,0.029659057686013353,-0.015378122497518246,-0.011824585017956923,-0.06944822327093048,-0.0014205275343682983,-0.035894437814528966,0.08407629983093245,-0.01741576797656602,0.032236428837287286
