,UKF296,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916inf
DCN,-0.02534287682708051,-0.061745178621816985,0.08353491462720318,-0.005681379763197654,0.008918551330979784,0.09970820818695231,0.03583953015423148,0.0031284692132176615
RARRES2,0.04909546800554706,0.021630033883618626,0.0037927714783917953,0.03927085061486585,-0.038185666230650325,-0.07182493675382672,-0.039195092780255784,0.024279820694620178
SEMA4A,0.0208319678509273,-0.03852567323239173,0.0029322675027474896,0.09071325581697924,0.05139081736852464,0.0591659793278467,-0.021471116122710777,-0.05409895317798393
GDF11,0.05286812523866972,0.056170433879337074,-0.16766296307016162,0.004904595333199045,0.04777868019593926,0.0015550856963513866,0.02390408985609957,-0.09200278706294626
GPC3,0.059351626627772824,0.14155170536200726,,0.035860399927835,0.029361190934973552,-0.019121061394438324,0.02329838084965451,
OSTN,-0.02090084722217351,,,,,0.03854563697725307,,
GRN,0.02163104691237845,-0.08799220067106461,-0.05663934007632668,0.02091469475827857,-0.0019705705776353524,0.060328618754744885,-0.012940531885677767,-0.04998791505386985
CALM1,-0.023216729890003528,-0.01911526848769586,-0.03460012043836997,0.013469214010810228,0.023304553506804927,0.005397658476170085,0.03209798218042997,0.06673653591329037
ANGPTL4,0.008287542972680232,-0.08405784758997853,-0.026354390503043924,-0.09564400018825849,-0.07324777361702695,0.04148790071207329,-0.03919977493987155,-0.03810750691413121
BMP8B,-0.011272850326264985,-0.08145532852140143,0.030651370199033683,0.06376560304675774,-0.007756444345136708,0.06380257500361629,-0.05400678681897784,-0.012394633912516198
TNFSF4,0.13149097685327452,-0.032637833051008376,0.05541574609295419,-0.02382585379692226,0.058110553374222995,0.04060345455127662,-0.013539496691671916,-0.039685383281094416
RBP4,0.01383187271894607,0.027488943195408608,-0.08815785254980345,0.10078526810085518,0.04061968781779549,-0.01851231554862249,-0.02393505060252537,-0.03988441259907466
DKK3,-0.1056582086595836,-0.04357582908650413,0.07699229690215986,0.07986241561158527,0.032398558678831756,-0.021718030034508458,0.03072515037185579,-0.059795472152266264
COL11A1,0.0432856004433949,0.004613153668424293,-0.003911058715083517,0.020415338475217405,0.05806394641557554,0.004671534673071992,0.0006552053367719374,-0.050707392034226945
COL5A1,-0.02434501393258335,-0.028122220258350202,-0.037138586878517364,-0.005322132610920129,-0.038256925856808566,0.00919034323011154,0.005141087866099667,-0.0308646816592451
KISS1,,,0.007541610242467997,0.07147073096974066,-0.016174420661699072,,-0.027571670167493623,
MEGF10,-0.031110504627234994,0.006646383396156297,-0.016852268461025492,0.0952277205386579,0.02868103844071759,0.023198255840170903,0.03722691187680075,-0.015499815970718983
CEACAM1,,,-0.06007837534744507,-0.027289488956534637,0.027976491609372312,0.04414718611177478,-0.02214439233448811,
EFEMP2,0.05218910160071888,-0.005312087541337862,0.006398988999068703,-0.006678854382914921,-0.016748737259038714,0.050042707850303715,0.01543947407159788,-0.047029919761152734
IGF1,-0.024347036330509657,-0.03371675835832176,-0.025409755930001453,-0.002284776602228955,0.052280790456395276,-0.022075645574974528,0.020859918237631152,0.0391570272542296
COL6A3,0.014364063596684296,-0.026668205873084536,-0.1087495127806371,-0.020001452467622794,-6.868504425022165e-05,-0.04387268151242073,0.008728186381052237,-0.0178672732050628
RLN2,-0.039110427710032585,,-0.0017402504432246673,-0.014062371758939105,,0.02849998834616715,0.009286278258775392,
WIF1,-0.008281199734088392,,,,,,-0.025630540113500615,0.0004908518084151214
IL13,,,0.05652017247963385,,,,,
PLAU,0.007605222161786254,-0.03280014155718625,-0.09365686008974504,0.051844322861176635,0.02558872695409569,0.043933785733299556,-0.014107302227314085,0.15248126178987567
CXCL12,-0.025605637198787418,-0.000991796589225574,-0.06418727414468671,0.047707729740023845,0.02324995299442249,0.05415181771088252,-0.009342651509724261,0.05184330634715146
MMP9,,-0.06585676560894889,0.07831372854890299,-0.0664026275185819,-0.04393113602044218,0.005642689348929208,0.0064012934875740625,
TNFSF14,-0.012733417925418017,0.07591272239379304,-0.06140884710466757,0.051263141162780426,-0.00697357722357926,0.015388308579287963,-0.0302692695429964,-0.03694780678756611
HBEGF,-0.031087204663808286,0.0036422080510870587,0.02063610702009454,0.006919270626297818,-0.022731885259292713,-0.042706250524877636,0.04593275665878081,-0.012810436962438276
NUCB2,0.02262045629305229,-0.09081703989740919,-0.00468458068788525,0.008895419372183092,-0.015009141196493584,0.027313972992200033,-0.011135175350800709,-0.0838856411052754
VCAN,0.005374267686804077,-0.07304584461766278,-0.10367771999960461,0.07327974497552744,0.054869119727396824,0.029848489243739975,-0.025069291489718926,0.028744363595579168
VEGFC,0.030813279995989786,-0.019055930705591587,0.040008939965835204,-0.026343632784387675,0.08898549909226394,-0.04671311302866223,0.039169348567447894,
LMAN1,-0.034377580117965406,0.007839851738587474,-0.1410560068314595,-0.057840746957760626,-0.01904913448643944,0.043008650840906264,0.010493939447204116,-0.08103432086409663
