,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.0162410059720902,,,,,,,,
BMP1,-0.0342209918304518,-0.0656132248562439,0.04834333903602737,-0.0044754398637557565,0.03391831912709744,0.03988696682399727,-0.0065533182537421235,-0.15763802758833853,-0.022255575522887885,0.004956049060658353,-0.08769296384533075,-0.04164294142828111,-0.09286015948681285,-0.03764056044517915,-0.008256265495245933,0.027742111522446718
NDP,-0.08568520407440403,0.023457553336588253,0.0182060482719095,-0.04556905451061456,0.030048582297116436,0.08592659918063922,-0.01761878795352058,-0.026119654299034324,0.014732987953687876,-0.00867419472976355,-0.03280414225464997,-0.004802750614465434,0.10255028949909985,-0.059339322052105396,0.14840205345993077,-0.10219380372024782
TNFSF18,-0.01805881139468386,0.005308531592701246,0.0426467202711611,,,,-0.006206678250042558,-0.04329875048591084,-0.005456408204689823,,,,,0.07496234292893424,-0.031217099765872797,
IL36G,,,,,,,,,,,,-0.02300730799288455,,,,
RTN4,0.1373453453806636,0.01926367786295679,-0.08359109224968916,-0.02509796487026711,0.024976097346651408,0.05199610511697946,0.15763723496643478,0.20287608598295034,0.1223347494558225,0.06283983821643949,0.1946844825803128,0.15707070994688355,-0.01817337965771282,-0.07298650330096822,0.15902387616323452,0.004614944636429401
HEBP1,-0.10103632819846371,-0.004345613129686495,0.011431136556573636,0.08207195862855388,-0.05543657975884877,-0.0514761804625348,-0.05558195504004449,-0.05744683214015459,-0.02683130250530376,-0.0434782401339462,-0.09577954187785921,0.013488467419649626,-0.04530904011887248,0.07415847885906987,0.022738871521408653,-0.09622517301007105
WNT7B,0.18110186188037422,0.05498101312526668,-0.03908089954732275,0.012279822331214585,-0.002140039310237541,-0.019613807815455298,0.06695428450558163,0.14414034429205888,0.07455978169555945,0.07350811965093121,,0.0431197542950143,0.011229203034317004,0.0037272737656192166,0.07291555641865015,0.08430634950450074
PTMA,-0.010848762177090777,-0.025527112825016175,0.03070910490808274,0.09051275735574792,-0.020190941150395488,-0.026930635457822833,-0.1234092849866134,0.07678834362739304,0.03341000329884482,-0.046752991164738175,-0.2810232262875912,-0.14142584483157244,-0.06730516718300263,0.028302470504121637,-0.15724165300839077,-0.19752351443729238
CEACAM1,,0.013180706141189248,-0.025477658336312166,,-0.029834396888334603,-0.02118288540139285,,-0.05697868952702889,0.0006557031959968275,,,,0.03542537438102647,,,
PDAP1,0.030178893974419915,-0.0017183597130770662,0.06838384189683777,0.03390813159940205,0.0035896124546397146,-0.07153314155190216,-0.007891456586622464,-0.10228851231383441,-0.004692932089121139,-0.013489069367837135,-0.003740210252293477,-0.030726329472681887,-0.0368520706133285,-0.04596779436469775,-0.007833820272818258,-0.00925792939804099
QDPR,0.06570298190518017,0.04888896355255282,-0.09646078246705468,0.10130991002188158,0.011763637694227754,0.09641908709628479,0.0923305622130523,0.001973081179615452,0.01729498273114942,-0.00881115986832425,-0.21316698398930956,0.0446833165351027,0.014709187466063613,-0.023094745600771505,0.17125838100751245,-0.017964812766982714
POMC,0.10460912645817212,0.06597508116020155,-0.009180207987258035,,0.03743883778827319,0.10477597167991859,0.0056936065956308115,0.012192004667959647,0.032550510066158674,-0.02373207869277011,-0.05135010314480947,0.012073910090409723,-0.024545959965405123,,0.11231236472999126,-0.05780804606369077
CCL18,-0.024218350952070707,-0.04418122089807687,,,,,,,,,-0.08166815691060952,,-0.0443281695086524,,,
CCL17,,,,,-0.01729238544087274,,,,-0.033892785339656104,0.026242859210417187,,0.04582623182600208,,,,
VEGFD,-0.02728700286823624,0.020422611990075223,0.10401296056354419,,0.04028494278923499,0.08848072248472987,,-0.048847466750756054,0.022339920896821942,-0.01954061659271355,0.018981658477911913,-0.022525458362410527,,,,
TNFSF13,,0.011215368263328212,,,0.15745757251583417,,0.0236152080679845,,,,,,-0.016849438475433447,,0.04046374377043147,
WNT5A,-0.08124280371492937,0.007419250731850568,0.08511905024869945,0.04176381482358271,0.0073741987015392895,-0.05636592372821768,-0.11590096491341376,-0.14520286569225435,0.023702558222760173,-0.06591765358133256,-0.016819801700163322,-0.027626176378042273,-0.08171369733101816,-0.05112853448671441,-0.07599838112323644,-0.019813976390186897
CXCL8,-0.057469779145927116,0.001999654488918692,0.10044456864118546,-0.06308131873753918,0.006063126025570608,-0.07269848428339681,-0.03253464608201336,-0.04028697437929433,-0.10506563491522858,-0.0024313625713297126,-0.11131197058954417,-0.057459259640259185,-0.01848056181551678,-0.004927059912370692,-0.15909191006413476,0.044288585058147714
GRN,-0.04836762360950819,-0.0684187605353771,-0.025376641881326437,0.03774145771602854,0.02173284537528555,-0.003490278307835484,0.011418914516573828,-0.18510417015724684,0.04108053553331959,0.015058876538305612,-0.17828933591561208,0.04201660731974706,-0.03251384602778325,0.014024232989429392,0.0894139818085105,-0.1331504279443511
MIA,-0.0515570517583082,-0.02248354576680235,0.006964935225309726,0.027770076368565322,-0.02708064507564699,-0.008669949296765123,-0.009518891146337442,-0.06355907268709678,-0.031401262818000805,0.0035243743340656925,,-0.03084964751412151,-0.08141338009466176,,0.0033887867287413992,
COL4A4,-0.027469130540918405,0.039751041751148464,0.012896379358844409,0.036630872551087344,0.003917483021508954,-0.03739693038698067,-0.03940923983129772,-0.028733041977394933,0.07252797073163886,0.025677394341950804,,0.015301963543872046,-0.030239954578247966,,-0.04837409866438861,
