,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.0039982537769825246,,,,,,,,,,,,-0.029142306246802238,,
BMP1,-0.06548642892095026,0.025403944531063948,0.007304842261172234,-0.037593414467349685,-0.03657736250082151,-0.02246663440326771,0.21213857414827475,-0.04231515807702511,0.011250432464020594,-0.07336908582743436,0.07813811590977751,-0.1337452205845575,0.06467690570724109,0.1294032348557715,0.011640741609136073,-0.006164858677080477,0.03054044780401947,-0.0115515699514779,0.18079514460803106,0.0813325955317535,0.03512359956583978
NDP,0.0011386528001720777,0.010945788984739227,-0.01471596417479545,-0.057519235802588164,0.021298376667842796,0.031341068384785876,0.04833498726753628,0.022644162544104233,0.00018351407224445428,-0.05277210746507306,0.015572160375942515,-0.05000351976236329,0.0259059118785875,0.041672537084578624,0.07659685681194789,0.08902973294074253,0.07002105859918031,0.09893398322102541,-0.001928328323525975,-0.0210863671025397,0.04821194499964098
TNFSF18,-0.018372687560412326,-0.011326470505760185,0.039739219613267096,,,-0.020719209735427676,0.07588733790322508,-0.026369829154166552,,,,,0.06492164300322326,,,,,-0.03862781482654615,0.11279689338680811,-0.06332865450096091,
IL36G,,,,,,,,,,,,0.02782882274980764,,,,,,,,,
RTN4,0.1467386971617895,0.05675198054256951,0.07942921227725133,-0.04551951003795519,0.04955893591841367,0.1841643363248563,-0.2262754583977381,0.05741430641680707,0.04698147890409996,0.21099535897698724,-0.03140838786938978,0.21907098639465755,-0.016014698603154316,-0.012764219935313256,-0.09182346679908028,-0.030164600218665964,-0.05446776762260171,0.08522054524777573,-0.07792621362075089,0.2038461300600622,0.09685183401847777
HEBP1,-0.00548895005889814,0.0049632896992569285,0.0029447006019082227,-0.00525116397727618,0.07217209298438473,-0.0477340321267552,0.09496093822626865,0.03399520276785983,-0.037993900721397834,-0.06239138260612841,0.034444935168917445,-0.030879482264461165,0.04390461071676276,-0.041738093606180554,0.007661319170849318,0.029218656670407676,-0.007495572797301601,-0.025681090550328165,0.07058401535720805,0.011241570488587326,-0.07198873293651581
WNT7B,0.2799795525015281,-0.011610325371540976,0.07241765884054466,0.021595144485481124,0.03712444249008714,0.0552790843879893,-0.04478665578043142,0.0013099744702088146,-0.0225706942749578,,0.013167711957825939,0.03424940977919223,,0.007968674963988703,-0.01582917796907374,0.044412999244577825,0.0010368138975041525,-0.010172285377300645,0.016262310865323298,-0.03019150655937403,0.06680492196085049
PTMA,-0.05286090716426742,0.043165702203709744,-0.020760926689463152,0.042430217427873174,-0.002572858522667058,-0.17484225023981037,-0.23588483573711508,0.11380147891074292,-0.03984500246107919,-0.2538780247499411,0.1288788075885708,-0.23118051143222643,-0.06513706297225823,-0.10049679840578421,-0.006401201254317196,-0.06330769683141636,-0.02328189010598424,0.0033926605204890677,0.11885982605662677,0.002389540785179734,-0.19795002321575686
FASLG,,,,,,,,,,,,,,,,,,,-0.025275112265810144,,
CEACAM1,,-0.035847470713701,-0.014147429187265002,0.05808210863267847,0.023203466597813176,,0.06711295636296073,-0.008415823248928735,,,,,0.09525247069349732,0.21295693306859723,0.008234632460234585,-0.018272032762825328,-0.01762728482201895,,-0.01122448285238469,,
