,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.02068822833366184,,,,,,,,-0.029695611312561848,,,-0.0038086926651646844,,
BMP1,-0.03857237036151627,0.047351892233483475,0.04109226843672307,0.1195024647733903,0.023122876959082148,0.04928120893564552,-0.0716018822320879,-0.011796061564130232,-0.043675466635454005,0.07390250548478439,0.17110463982053217,0.032277646044428454,0.1762554205917962,0.06740271555499515,0.013600412871131166,0.09861940526476992,-0.028646833349486426,0.21295546351867736,0.007869548452904539,-0.024023572340787676
NDP,-0.01332939970726622,-0.023918041462007843,0.030673458902445046,0.09421461528065272,-0.03033458117701868,-0.01274396149109059,-0.050643821353019966,-0.045395294403171325,0.05053428723232625,-0.017645170156719455,0.0959480468840284,0.06163826476688541,0.057322294047517854,0.01804556798857576,-0.04989360144508284,-0.016712218730341108,0.12129852346163271,-0.09989104880936987,-0.024983111364059642,-0.05793682639448975
TNFSF18,0.09593158645353866,-0.0358643446573662,0.014203194088260063,,,,-0.03072139799785385,0.030843798421312643,,,,-0.024573132298782416,,,-0.030624559788324148,,-0.03214815060439959,0.07681747012252517,-0.008698697376550862,
RTN4,0.09333385629261222,-0.00787751780653754,-0.006595420012917587,0.06124864989860296,-0.0035771020623213377,0.00237106786788968,0.07386193703193375,8.800475320762391e-05,-0.003577491190925973,0.010921326360796764,-0.05052675805267722,0.016097288808592743,-0.06399509498720406,-0.064730204471235,-0.05031830946696417,-0.1399335383358641,-0.06183330165367839,-0.009037667388992188,-0.046986503560685296,-0.03199741614411071
HEBP1,0.03825198824379806,0.043565285094921004,0.01880478807612884,0.010208415531824843,0.00490626711733272,0.05451027510730868,0.05283981197649453,0.007807216088853331,-0.01661487636177704,0.054538439324266136,0.018663765193357128,0.08713569727238937,-0.006514739389834864,0.028491350058883612,0.011811081041137676,-0.019841037884773625,-0.06174095067311259,-0.007372634335898293,0.05583477969919855,0.021931445176573458
WNT7B,0.019853910337196926,-0.0012113717642086982,0.07487236515033828,0.11091684041259733,0.07231275595953114,-0.05688276630581363,0.108701119005479,0.005405766281677654,0.04190357083554801,,0.07797133385227156,,0.05332581578829499,0.03189465167083084,-0.04824691508112571,-0.003788645755360421,0.029121300902482466,0.050074799983983585,0.03264224790519032,0.08191004727734719
PTMA,0.0042026329619473946,-0.034954157804028295,0.002915389696610165,-0.017430832589535396,-0.0017063364613362979,-0.0013625529702401683,0.053863192192104184,-0.01901347270418432,-0.014239747127560518,0.0816432437951975,0.21907196951583005,0.008838324872881791,0.0010520311977115964,-0.05908284968123989,-0.053352647224566924,0.0024335579447299924,-0.026103837805766365,0.252811740747928,0.11715120462814677,0.02894006654426621
FASLG,0.10173055532639354,,,,,,,,,,,,,,,,,0.05937427063573266,,
CEACAM1,0.005583016996129118,0.04145023232179716,0.005632110885821608,,-0.019890950530908075,-0.03347175003711182,0.01865101692721951,0.06366769674244933,,,,-0.03026923572117985,-0.04371448872270641,-0.004543548742772315,-0.021717925072138454,-0.0409355993571508,,-0.003668329655119301,,
PDAP1,-0.06084157003257968,-0.006615050333028199,0.03767302653757104,-0.04723221498795162,-0.034840130610351044,0.09221255722329252,-0.04166829362023099,0.030148259218237987,-0.00642861593798954,-0.040225818409792106,0.14173954393018917,0.01486481725681056,0.02483791873199727,-0.028505171627973832,-0.02363222985149223,0.04806260242819982,0.07006033562536435,-0.04963353190157163,-0.0066369934663046545,-0.09269803934539925
QDPR,0.14344286351293958,-0.01639256128243035,0.028780124041673752,0.0672435944200759,0.01944826977340154,-0.0663764578500077,-0.04981775763158823,0.04601056229672552,-0.022455877370219056,0.06812893401950054,0.12301635259162519,-0.052894413298787316,-0.07892893827148335,0.018832531315905943,0.015341967095159247,-0.09329789947659532,-0.09457197461733875,-0.02379880446315634,-0.019768333679985532,0.05246622238466239
POMC,-0.009690232903928786,0.10608651807907421,0.09149548935484297,,-0.0327498589827381,-0.03315963473104367,0.001552415071190686,-0.02202069444042947,0.054264368832605415,-0.06498880040006588,-0.023246292117366958,0.030559099139758076,0.007933549080401925,0.011533899408738885,0.04569295162796758,8.6462975207371e-05,,0.08491961392725868,0.0764402378803299,-0.05983712757830168
CCL18,,-0.005262032300594051,,,,,,,,0.08021370693798711,0.1556493330714482,,0.10807855068631124,0.08903240241412999,,0.17345621845701228,,,,
CCL17,,,,,0.021353874545198683,,,0.1172741054555116,0.09318010335268956,,,,0.12165269081696115,0.06871653598397771,0.01741648022361984,,,0.03259129265416598,,
VEGFD,,0.051738431550137326,-0.02408568521299337,,0.03982874953180589,-0.020148923776353942,-0.012691899402699372,0.01388547807980128,-0.016779515708371304,-0.033803583024134505,-0.0012842615668159669,-0.047315405361492466,,0.06793336588332882,-0.003224250440018618,,,,,
TNFSF13,,0.011495844325121773,,,-0.006492877888110983,,,,,,,,-0.005408006921171509,0.017438614511721396,0.06592245626953432,0.000573682331146486,,-0.005790170864015573,-0.0021134535682078653,
WNT5A,-0.0784247405350977,0.0023557614178840286,0.010899270159401219,0.045174405829233356,-0.0003296357671709543,-0.05700152940450017,-0.011826706653200847,0.011833429083497266,0.006294827763323807,0.03237162583036278,0.09709049280278728,0.07255317194336228,-0.003652068818187069,0.037676414837826175,-0.010714353685603254,-0.04751470789542263,-0.07033739168509903,0.1599963901769561,0.12651103423485294,-0.05617840240646273
CXCL8,,-0.0384467897192004,0.06201364448793097,-0.05604410899983258,0.027948616709452652,0.17310742563966874,0.0014912439738736707,-0.03521539684946209,-0.015625814625234033,-0.011863248861012084,-0.0301466334703603,-0.028244896213192105,-0.009729417345140459,0.030755141443076076,0.0459162333367885,0.15837139113723847,0.09106534457596471,0.012512395067781972,0.11242451917056329,-0.09461587095836317
GRN,0.12959047681619673,0.12515705242238861,-0.030039057845172645,0.16786420630332488,0.04803679032081598,0.03919227972365593,-0.04936258085940031,0.024372046231495168,0.030769239126577475,0.2107137226605547,0.04620855697064084,-0.01846909660679051,0.1502798997749362,0.051905378836292836,0.07502323934879117,0.023401387461418743,0.08738436441755613,0.1772357487249702,0.09478456519882719,0.05647565790745775
MIA,0.010639283043122413,-0.03325688088200402,-0.0195587774272413,0.04418170867994294,0.035924563102367316,0.07323404839145134,-0.004244773112077365,-0.06853793775227773,-0.019083165385167727,,-0.0010150580403208455,0.09534807738521157,0.15092600457405783,0.1444814146741397,-0.010132482665835598,0.19914546829310797,,-0.03439204115971447,-0.07756149951058527,
COL4A4,0.007390561782979388,0.028055825400358645,0.002309257684044239,0.06934830710789604,-0.06761343739576418,-0.04297713272260642,-0.020386713435618032,0.014380862903040643,0.0877113915931764,,,0.04737804329719192,0.05777888992237898,-0.02238089406841053,-0.06031041127334082,-0.03798906700162124,,0.09072474556316787,0.1098462816393514,
TAC1,-0.02883316829130874,0.05783570856726845,-0.03840127613257704,0.024690425322133242,-0.06805781226383754,-0.08185756885607735,0.10971020167191636,-0.008975309337381459,-0.04590178152598975,-0.10296502067738542,,,,,,-0.07062557072665682,0.022553712668492324,0.03977565481614066,-0.09214521839307742,-0.041319240752630944
RARRES2,-0.09645170683126222,0.012767268704574944,0.018077258597480453,0.05330145424075857,-0.04344814146605069,0.15673512863398767,-0.07842919036559731,0.09299189450016368,-0.018416156968941732,0.0074718962575709875,-0.14273483377896168,0.0840679580759294,0.04598670905134365,0.04482858546635469,0.006994846565518692,0.04213822495811114,0.08464508805560962,-0.008334243130691235,0.05889785386098671,0.02758246007590734
FGF7,0.09960327313091401,,0.037698206705809166,-0.033837355552053014,0.03389013384498519,-0.023797629891293248,-0.050403075744214154,-0.03228953184753213,-0.04686391851571789,-0.00591800586996218,0.015675328958818777,-0.12250872416084634,0.014736592461365142,0.054155906918953306,-0.018260847046812412,-0.020983682444479977,-0.003372705474232798,-0.058713147747824455,-0.02161410342942306,-0.060679027999065084
EFNA2,,,,,,,,,,,,,,-0.032934008645517925,,,,,,
HBEGF,0.007526781551554545,0.07078473205837245,0.042398659605871476,0.039146138016134466,0.025020646578118644,0.11454776514517172,-0.03917561504293864,0.028549780823785592,0.06756426825459423,0.08106659117839367,0.12715896285558126,-0.011323541229186461,0.06614238133102641,0.02837726633480489,-0.035938483863505274,0.06151348185326593,-0.036802041982768895,0.1862895974834286,0.15857437773293967,-0.06279173906372429
CSF3,,,,-0.005075851851957116,0.02089419235668319,0.21177344000330042,-0.021568750419376816,,,,0.05249356637518968,,0.019849946643146016,0.04398583814047042,,0.14098775890784135,-0.028893849733382052,-0.04761525322600155,0.05752805210612696,
PI3,,-0.05030529305878073,,-0.002887586822587995,0.05743389267791256,0.10103892984768188,-0.02428669764891026,,,,,,-0.06871831875515343,0.028451198591364704,-0.01789782663300047,0.29753729673202856,,-0.014943137091260703,0.11036630008118471,
PCSK1N,-0.03964144671473372,0.06449395345987723,-0.022456578029955213,0.07986801688876276,-0.011495500770763696,-0.05169993819411033,0.04429966805735243,0.017982885227860047,-0.014780018596115788,-0.085322875161148,0.04381839022150503,-0.03763109945432441,0.0312021651495296,-0.08015762383688965,0.006874582654342633,-0.07515622050679946,-0.0012745516235191773,-0.1768281612567552,-0.10720420679398014,-0.01787681800326093
NTS,,,,,,0.0014057320651717818,-0.026510588799839,0.03694793579201709,-0.024302675308842524,-0.030434083348565767,,,-0.052920847221519754,-0.013344161047409986,,-0.06626657792530058,,-0.06445990487300231,,
SFRP1,0.10598869183290466,0.03934410259256813,-0.040024884458057415,,0.0624021549982871,-0.036533695954570275,-0.03974790962004419,0.020087153369360504,-0.010561526052518411,-0.002507099373386353,0.06144855534336695,0.0953339232936649,0.01838545162188062,0.00578548074859191,-0.0068791723723943335,-0.11024617362907696,-0.024062614022925734,0.13628019064291866,-0.03048396414920738,-0.11602085497099436
CXCL13,,,-0.05178905330816244,-0.015289227362721949,,-0.014168872257690094,,,,,0.1271918632811828,,0.058342987701842,0.11598703153329741,,0.010083960599193406,,,0.06690760393860862,
MICA,0.043856327813031684,0.06525102476465476,-0.008818412838226555,0.05015613504112246,0.02255114436543748,0.03403503729408177,0.009798943662946218,0.041853151000562194,0.02034751968261474,0.07295655164007787,0.010277427668049824,-0.09507369218881193,0.06065843875278963,0.06817687544550408,0.014584069522220843,0.016173596862660285,0.061329891350175886,0.06525800578776343,0.06794897385277751,-0.05942236882715308
TG,0.03473374318341897,-0.006755274079484977,-0.022176278745974453,,0.011409089272906889,0.04976197890438742,0.0033343328424490426,-0.026521400452448017,-0.016554959025091385,,0.035771400402943104,-0.016854848396456297,-0.031411005541281546,0.011504678072225442,,-0.0034559141211050843,,0.02293888367110057,-0.028210923025870898,
ADA,-0.007674847781814449,-0.014567691217131883,-0.0227051945967131,0.04073122085838256,0.007175723053191071,0.04245094694272443,-0.033768760151031266,-0.005579432915828043,-0.016175473595704065,0.012412141229694779,0.0900202380996529,-0.014400846326435013,-0.02321909669263699,0.03935415736170747,0.021909567326076403,0.005878003532553778,-0.04633933689077761,0.23447082689177795,-0.003490239227507101,-0.05603058505509238
LAMC3,-0.060139104390967424,0.054329155055809014,0.02936100231202875,0.09063694741668427,0.08368842533493305,0.018977994778796338,-0.036266028679374715,0.09364073014937854,-0.004140391384511572,0.06429459892071121,0.014034899414593098,-0.038554837994195214,0.10287310766558677,0.07199718795952463,0.01690778343921881,-0.029400605867976545,-0.020161251904528804,0.1943881706982231,0.016651974691834995,0.03955937567030271
CCL7,,-0.030415526323361513,,,0.025575629383688535,0.02299880221926809,,,,,,,0.04546483662822898,,,,,0.01331676060759788,0.12069596824367466,
NGF,,0.0023234080596708766,,,-0.03852980800300416,0.0171009633288659,,,,-0.030434103387390384,0.040955667210816504,-0.024267006044375986,0.01725356661425598,8.264539463229584e-05,,-0.03146471296762206,,0.1865458412137154,0.04484308983898775,
TNFSF15,,,,,-0.03035774802997468,0.13189358324290865,,,,,0.03233094981156844,-0.05281553917192234,0.00147142097221886,,,-0.0030443060987924092,,0.08179763503497313,0.08571858439711916,
HMGB1,0.033240635329777175,-0.03340400591623054,0.025020983241229665,0.03841356231343374,-0.05396912748418066,-0.015710502193587,-0.050139375652323,-0.060064092519185736,0.03480010391268942,-0.01283351712926837,0.1528779923684691,0.07231540679582442,0.00422004126808971,0.020167885776849415,0.005409697211514079,-0.010317894380340129,-0.01028635455258285,-0.060225147644741676,-0.02114397536887714,-0.02244546056691397
