,UKF251,UKF266,UKF269,UKF296,UKF304,ZH916inf
IGFL3,,,-0.015859545592790507,,,
BMP1,-0.007521931868601975,-0.0023252513599844944,-0.07927639710255865,0.045293817582711796,-0.04996678245033792,0.017782138871089682
NDP,0.03745680761073395,0.027000799143811628,-0.038704686256698484,0.030571091666125035,0.019234059755286897,0.005820590049324312
TNFSF18,-0.035167819429769015,-0.015830092809555895,-0.02355094908868817,,,
RTN4,0.018902311758372252,0.05627207626703238,0.16351479212389583,-0.012140238544893918,0.14963620784946824,-0.016259172581528352
HEBP1,0.0048467404712118365,0.014812246107622239,-0.05278084066923676,-0.005211130490667858,-0.04647984428866336,-0.007364460926466621
WNT7B,-0.02184515927110157,-0.045022371812112875,0.15662941359140062,0.047119931789372745,,-0.0019693627723307195
PTMA,0.01538626265929275,-0.09481882428478994,-0.0023016490879043255,0.0035622430316849174,-0.09552480916074704,0.03068127433698548
CEACAM1,0.0029107459955831946,,-0.03099170763895078,,,
PDAP1,-0.042854117179948074,-0.07148733184698225,-0.07241292877633407,-0.01990462927553696,-0.08205444227240097,-0.035617169080975696
QDPR,-0.035531063450156906,0.07726108572014698,0.009967685159720347,0.03965778401110307,-0.07725134422458224,-0.04401024752826117
POMC,-0.008067559904525935,-0.003046353845962535,-0.007923243791976894,0.0055360510848394585,-0.06207078648651874,0.10599031513861294
CCL18,,,,,-0.010299832546698173,
CCL17,,,,-0.00954269823397099,,
VEGFD,-0.024012278149293177,,-0.026568993092139663,0.019306860358386944,-0.019203541864151658,
TNFSF13,,-0.015351887681623905,,,,
WNT5A,0.03444644078316731,-0.07897036376795709,-0.08212325057785559,-0.02469032210657603,0.033287502793117305,0.02299063772052452
CXCL8,-0.022483674005882092,-0.021837064516638204,-0.052829397009049275,0.07628268415402017,-0.014239180578362523,-0.0052032028020997725
GRN,-0.04023972684966878,-0.07802286798023889,-0.1579537877369945,-0.020376677111458068,-0.06869936064079898,-0.1517904911905521
MIA,-0.02135484093957224,0.02520379879571971,-0.045304255716352715,-0.018550125470510992,,
COL4A4,-0.0359124819949916,0.011571251242818185,-0.015628405004272795,0.004776642446890839,,
TAC1,0.0517105260773062,0.04895749010277454,0.21973309521305268,0.05242818800078973,0.010264988000289818,-0.015535064650369733
RARRES2,0.033094989416189206,-0.0016224540449818903,-0.1580725172864536,0.01714651199014451,-0.054127164640202445,0.06924640275371972
FGF7,-0.027102295952175733,-0.03307170267707717,-0.0038622609889398516,0.07481378153595573,0.007983352688402433,-0.06981268333084184
HBEGF,-0.03951990658368588,-0.013351049723950644,-0.05443997747506022,0.04949766562555208,-0.06331340454426924,0.07490005596764138
CSF3,,,-0.016534551685077958,,,
PI3,,,-0.018618123429858417,,,
PCSK1N,0.0439958871359631,0.023284152180521295,0.11492066346520739,0.03291724865326895,0.09529178923606012,-0.0936853718495932
NTS,,-0.017831392203230684,-0.0203229529847493,-0.004126284316503332,-0.017289356375742578,
SFRP1,-0.049181140448761186,0.014558813011478124,0.05479870298678632,-0.02223661031091567,-0.0606870690140166,-0.04379342020652464
CXCL13,0.02823301864402607,,,,,
MICA,-0.01814606206268334,0.012232341846663016,-0.06941746843960729,0.03089014354816351,0.03131919931824004,-0.0542636892998809
TG,0.02076112754129369,0.052056224829105005,-0.019955724571026182,-0.016092538154770825,,
ADA,-0.017465335024127247,0.0067162066251031365,-0.08498920036464441,0.05199097777562169,-0.06693939525933579,-0.05116635904509346
LAMC3,-0.02237029705052151,-0.02683921541485788,-0.08348662888301474,0.10894582787925522,0.03838692502452873,-0.049970671470258056
NGF,,-0.019640869820186764,,,0.10382509008803126,
TNFSF15,,-0.023848321889651112,,,,
HMGB1,-0.044646861023316164,-0.012077992756881753,-0.1362962343168929,-0.03624870225406595,-0.04416448993578746,0.029917843140258884
ITGB3BP,0.045565029526879505,-0.04398165614496991,-0.10746029336168919,0.0024575396291666063,-0.02234859229568716,0.018802794868236192
AANAT,,,-0.0149146130766646,-0.00351115995698862,-0.016254548375615508,
RELN,0.049364727647159476,0.0961735918712045,0.03585410077777069,0.05286548494539394,0.016802657766826202,-0.03716668998035477
IL15,0.015766012188889362,0.04768787899554984,-0.03890338854623802,0.08514784452643025,-0.03330920033070028,
UTS2,,,-0.04919800318765282,,,
BSG,-0.04552465881672614,-0.05150964608926309,0.031153258596426293,0.0009912162241499166,0.0768520229282977,-0.06720443164394493
ADAMTS3,-0.040055652355312894,-0.013806503855526267,-0.10896046857502678,-0.029929347420595123,0.07644555260086738,
CD34,-0.05038657117615708,0.03949297606361138,-0.04366407814677811,-0.0016987691125431173,0.042400702700053555,-0.02094488778906454
CCL23,,,-0.01697046214224779,,,
PLAT,0.060819943605512634,-0.0004564067239642244,-0.09351621926904183,0.040457712098533494,-0.0030330980393844737,0.040328677178858165
NTF3,,,,0.019626659407463255,,
LTA,-0.01676484756308735,,,,,
CKLF,-0.007469565007335944,0.03531336280758853,-0.10688947297382623,0.008908695190702219,-0.003079308141572589,-0.114436590031584
CD24,0.037987010445600974,0.035839900515798384,0.04653414943655979,-0.018524345324553076,0.0413712060861317,-0.051952689109120105
HSP90AA1,-0.07395161648129814,0.0769205261032115,0.13509637832843677,-0.021943485955610683,0.13001915510929857,-0.009322877815635545
BMP4,-0.017771721172332184,0.04428183768766551,0.0022020508526965467,-0.027477931473339826,0.11943900901017543,
SCGB3A1,,-0.02166186533438545,,-0.015647213137730705,0.044529341817544046,
IGFBP4,-0.01895717413650786,0.0024493608297248147,-0.08694115526874555,-0.006079118020839648,-0.09668229224269895,0.09589421068090935
RSPO4,0.009860541565220822,,,-0.015647210848971818,,
LEFTY2,-0.016970745398430877,0.02208524457282739,-0.09384930731663678,-0.01715735806549099,0.04326786116419731,
PF4,-0.015249907439730065,,,,,
ANGPTL2,0.0032428972671417707,-0.049313093456191504,-0.08873919960988319,-0.022931505053798654,-0.011622671562637478,0.02575090959425625
LRIG2,-0.003637950456155117,0.024672457746823282,-0.0796147340609535,0.012475996891152183,0.018204629031447796,0.05882475431714484
ICOSLG,-0.050728321234815216,0.0016173045604525016,-0.08072256696793792,-0.029695484201433253,-0.04706950673025928,0.012036329089592462
WIF1,,0.05166320545224053,0.20883568247078563,0.09796172951638245,0.059308198159285216,-0.06532593591741251
NPPC,,0.17375944290125253,0.012262331216757603,-0.008524875549033126,0.07502676712926314,0.03940313913713648
LYZ,0.010350311388346856,-0.031210164628277734,-0.06576261595430243,-0.0021525296649709262,-0.100107429986228,-0.07094686603358163
EREG,,,,,-0.01778570680814089,
SPTAN1,0.0037910680254090237,0.045063177642747726,0.023070881608237746,0.0036285819896671673,0.06877781317087589,-0.042413878919725596
LIPC,-0.022951925721591694,-0.026315341418084174,-0.02793706378506366,,-0.0318538767281684,
COL8A1,-0.041378577816397075,-0.05348630721052024,-0.052306933499010416,0.024848899483626986,0.012417882195351575,
GSTM2,0.09004428109510354,-0.014349996214980665,-0.020185456192811934,0.01086477104023918,-0.028288385799809284,
SPX,0.04960823619802213,0.01068523870996231,0.11295303113099399,-0.06332390815908884,0.05697407842966087,0.013417296725275035
MFGE8,-0.04145740221072862,0.0315441544284476,-0.007806481349640865,0.005814381952166588,0.09549525075769096,-0.07298156240116294
