,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.01160419606926309,,,,,,,,,,,-0.04129483605197854,
BMP1,-0.19657520934328113,-0.15840258209380959,-0.11083334444774406,-0.034812852214473014,-0.0639063583422448,-0.07874014882572912,-0.07503468862819772,-0.009562343306343804,-0.09049543220453643,-0.01940364711134758,0.06031594774728375,0.05222288511188212,-0.07241716030261915,-0.009180129590932541,0.006749288571649501,0.06739649245435586,-0.045218153106753395,-0.14070065851033287,0.07336856386266723
NDP,-0.09169314321573044,-0.08850941771099906,-0.013920583749273458,-0.07048275340380382,0.04828064775612698,-0.005865432454253996,-0.053016374444185346,-0.05364356013215313,-0.09688549554413822,-0.04694556464646324,0.03698030800859855,0.12206150091410208,0.05178642495699531,0.010089650668281273,0.00955941436536197,-0.06279077414843925,-0.017561359417385326,-0.11466825722503192,-0.07906777465836905
TNFSF18,-0.08615701594398367,-0.04473105722656899,,,,0.023386672121906076,0.07391711782542312,-0.022154134098638114,,,,0.0436406527058202,,,,,-0.040729504264607086,-0.048197637855630866,-0.006123266783035807
IL36G,,,,,,,,,,,0.008124093089273535,,,,,,,,
RTN4,-0.17797392409287535,0.03887276332881064,-0.05938103880352769,-0.033114493083396514,-0.00873356517048678,0.06855104496828256,0.09561127621803041,-0.029359072692039745,0.14372562155293742,-0.0020812826718848484,-0.06254375741758253,-0.0030651851700073734,-0.003191005056262199,0.022999953296988132,-0.0030729337251252206,0.06303143533715894,-0.014049421905899853,0.11814545137002516,-0.07260098204424605
HEBP1,0.03953646487507333,-0.059649284562186905,0.13699199072344997,0.03848916280004062,-0.028026849264134977,-0.04797214748590429,-0.0565110958773615,-0.02755789336664016,-0.10237093610306013,0.0001859744440376931,0.02636457951212591,-0.054862399753525824,-0.016552290580958556,0.03296952119578476,0.010081671895624122,-0.005019531276056497,-0.009585543871631007,0.029842823494979537,-0.013717572410196305
WNT7B,-0.11172393259647292,-0.006645786997990769,-0.028701557948570027,0.05320512651304069,-0.035601556985086526,0.02984425860113202,0.10091055389248546,0.07965222003541902,,0.013169244937522903,-0.04540054621162932,,-0.0414622235942703,0.05043918320168127,0.03943923393108375,-0.02671815490335856,0.008967300429865955,0.13333406992357474,0.1974833332852722
PTMA,0.29671835385461354,-0.11454319239244871,-0.20753410415286472,0.04199375639738277,-0.020749478129036523,-0.06790276543759652,-0.04918354961934434,0.02307849936953312,-0.1807442991954921,-0.0811964036825511,0.14045143229804383,-0.05464048361740844,0.0179571094999758,-0.1651779680797956,-0.004299160095202297,0.010907387336692451,-0.1168403506375759,-0.007698295409364669,0.09410727201947129
FASLG,,,,,,,,,,,,,,,,,,-0.017251931310243024,
CEACAM1,,-0.0399667561058974,,0.02847929406852017,0.09555275440219417,,0.012089592809988201,0.013557103410248541,,,,-0.03149467035707227,-0.037183986234215316,0.00938210797943891,0.002399707788913183,-0.05977394023076139,,0.007536211257118421,
PDAP1,0.02157530325689668,-0.0984587706452865,-0.01081583653567804,0.08697493693970179,-0.015400171648453427,-0.029656464984083343,-0.01788249457314795,-0.04715229098653835,-0.05045502660107958,-0.07518380944790487,0.06399157657517249,0.022127236515588105,0.01712311901892676,-0.03126241985313758,0.01960992750076135,0.051409327414303804,0.04619201812197292,0.0964429547746419,0.049084264884809416
QDPR,-0.1756182863918187,-0.04371867022263713,-0.036147105098096786,-0.04108877181975682,0.0012621135017856703,0.06401699007575617,0.008911198929588148,-0.08902384500498524,-0.10593495543277183,0.00974765640282436,-0.019610119569867836,-0.03125061051813408,-0.11633551372656935,0.02470340168196579,-0.04516870011620452,-0.06941692451776482,-0.026726438230803576,-0.06650810627229949,-0.1970683619634716
POMC,-0.12125432796424923,-0.030318928087902867,,-0.027468687173477238,-0.01931996206317072,0.03308029431925722,0.0582790856016677,0.018131199965201298,-0.08916055225428259,-0.02390553100356225,0.0016904129587155619,-0.028911551910770567,-0.0793740934175608,-0.08490011457161399,-0.0800219689757725,0.04599577735203539,,0.025027619414652813,0.12444337216311492
CCL18,0.01622112579736283,0.09258092438217445,,,,,,,-0.08999890452257323,-0.040482483687313366,,,-0.026364057603438105,0.03796539419784569,0.04848158629550575,-0.05032299029866366,,,
