,UKF251,ZH8811Abulk,ZH881T1
BMP1,0.04094411824102394,-0.023333814024168852,-0.011190544020667235
NDP,0.07107388190014934,-0.0024336905938521507,0.02660349278977347
TNFSF18,-0.010975662071196546,,
RTN4,0.023894477937843318,0.02279407287921528,0.046394505289063276
HEBP1,0.0010173066596993307,0.03973688439695574,-0.0026197829732266063
WNT7B,0.0734698969941052,-0.03537741858314247,-0.005887523891971355
PTMA,0.07198508484511106,-0.03325321181663814,-0.0737123298133999
CEACAM1,-0.020051749269730693,0.06802895022848308,-0.014826657254877855
PDAP1,0.032211490633869765,-0.05722406455571259,-0.027522876650619848
QDPR,-0.05253491019110514,0.0190343123972234,0.05084616858281273
POMC,-0.016117210479626796,0.01175151053577933,0.022782427069996364
CCL18,,-0.008962236576642826,-0.0343226817771848
CCL17,,-0.014063964532937002,
VEGFD,0.18109524184181788,,
TNFSF13,,-0.026986635498824404,-0.016649342377069304
WNT5A,-0.046438340602413586,-0.0013102246061246167,0.034851247139357514
CXCL8,-0.003075684315526505,0.014562200147066313,-0.0326023710085555
GRN,0.01616487464205249,-0.03545864882659637,0.020032479346133374
MIA,0.02660883358809048,0.04381210723106062,-0.0012421685061677675
COL4A4,0.0029383646473180617,-0.012063425873645242,-0.01761091147323915
TAC1,0.005378157432911993,,-0.010924127559058213
RARRES2,-0.0053526627038536214,0.025737937995817212,-0.05713410393079276
FGF7,0.031218657515832124,0.049624582023360155,-0.03059908195168516
HBEGF,0.10744380035565586,0.04345356820811496,-0.007963614773363685
CSF3,,0.06896182617779112,-0.021256038476467985
PI3,,0.016337031602188242,0.003950308490844763
PCSK1N,-0.01690233422134337,0.06765764797699568,0.04219118086606922
NTS,,-0.03280976525058883,0.025652910810564075
SFRP1,0.02381005202969049,0.021204167960226485,0.03774117586551524
CXCL13,0.023778698475498513,-0.03159054785772358,-0.02417788337037999
MICA,0.030969151947495433,0.04527395680007038,0.0044545916588802905
TG,0.020042748931178366,0.14567168981471845,0.13045373948209613
ADA,0.016574112722993386,-0.005920217910381442,0.03570930303290946
LAMC3,0.07749865529008279,-0.055764818755601964,-0.056939811131781086
CCL7,,-0.021078641082301893,
NGF,,-0.024344142977251244,0.01724603865094752
TNFSF15,,-0.020549308127991616,-0.013199634972731963
HMGB1,0.015768716123294623,-0.012129056768296745,-0.08381108400516524
ITGB3BP,0.008989487407112676,0.007193368728826657,-0.043063334197543796
AANAT,,-0.018491915882405927,
RELN,0.058444057720428204,,0.030465077871452494
IL15,0.012379352177539694,-0.033877947541501086,-0.03219797216209332
UTS2,,-0.015747219752595135,
BSG,-0.017605791933917727,-0.010849108367959782,0.011099810165398615
ADAMTS3,-0.02718347597098183,0.047157969347147236,0.004571870479367929
CD34,0.0014494578938345393,-0.044473291735282944,-0.030154592625667442
PLAT,0.032561856266259535,-0.02868472617853864,-0.02312308894778777
NTF3,,0.038351807171439406,0.0076130966016582854
LTA,-0.020051751327399333,,
CKLF,0.04143958286407098,-0.04954007760638651,-0.03959430698609178
CD24,0.11524246726843441,0.025293076912865534,0.012623722608726426
HSP90AA1,0.022956107963436865,0.00029027900239447064,0.01859620072066291
BMP4,-0.021256031840820262,0.02289821165076018,-0.010608126332424524
SCGB3A1,,-0.0021856401000515872,0.01402300434958831
IGFBP4,0.08006957473191445,-0.07962585259352721,-0.02966691766582122
RSPO4,-0.03241594614063206,,0.06014798835872027
LEFTY2,0.06092542003095167,0.030820104190428195,-0.025105010125368532
PF4,-0.018239793150317894,,
ANGPTL2,0.039895868153711746,0.010241114554134484,-0.06683656197028345
LRIG2,0.0516321085928913,0.0035974589310548096,0.013042364512235761
ICOSLG,0.04348122572692831,0.027846935536625095,-0.020050163708514517
WIF1,,,-0.01716078850935226
NPPC,,0.1437061596261019,0.055772260532292256
LYZ,0.0427116128008492,0.0282901250660697,0.017709842730950512
EREG,,-0.01120408947015239,-0.02299281795839535
SPTAN1,0.014946413791163323,0.020925335127677795,0.009019607057881397
PTH2,,,-0.02935828618473829
LIPC,0.020643539270353884,,
COL8A1,0.03298080431746463,-0.04041163156786275,0.022590485744404545
