,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1019T1,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.051561208908894096,,,,,0.007447839597256619,
BMP1,0.044475541007082384,0.10561582041424226,-0.0804878993171478,0.06400433625956621,0.025754977594753887,0.04497039912165086,0.039318629283231536,0.12820575494550965,0.0503679109189527,0.036238600036386306,0.11073439462418717,0.031663568524882287,0.10185613601921431,0.010538398157607171
NDP,0.07386280348967242,0.01585350732177558,-0.035229827378394016,0.06742654647001071,-0.020848187916547276,0.053157952751439176,0.002961538706386084,0.022529408038873832,-0.0010986553855289651,-0.020003874641501034,-0.12414491655023296,-0.0566653561184425,0.04311271303432925,0.010777233891581575
TNFSF18,-0.025206947443640118,-0.046792318044263474,0.03910483706002525,,,,-0.013291557768787834,-0.020816785347322734,0.0540105076213462,,-0.00576158524252428,,0.03596876775790944,-0.007471744701932305
IL36G,,,,,,,,,,-0.014714572217612309,,,,
RTN4,0.07247828359678066,0.05091303547519079,0.004270395456396998,0.06519260736544344,0.028837354968660876,0.002304932863937397,-0.04098545264203218,-0.10530700249203284,0.017191215648434673,0.021951703810198644,0.12683872509679311,0.04162770325592551,0.0007639800278483829,0.028131683576110417
HEBP1,-0.02472134540744702,-0.06963072359188752,0.02993640087143076,-0.0102428555278146,0.04152339869796834,0.018577475356141192,0.0467863395098896,0.02524557964913706,-0.013749386710759696,-0.021257587673706613,0.10461711650866437,0.016716934950579437,0.041584409131746165,0.07157598313566922
WNT7B,0.011137043734756042,-0.05416432185057336,-0.025986106166643614,0.05573521092659676,0.013057762308187419,0.018337906017949334,-0.020977084832187975,-0.06429955661594557,-0.026149570780964228,-0.01617301059505111,,0.12304059981598509,0.04652592208867102,-0.0005123616918594635
PTMA,-0.045717078511742185,0.01971427065040163,-0.030234239085713693,0.0031432129655848805,0.021924060109136893,0.03979105731019895,0.09895786034188682,-0.10019124598594929,-0.035885313200088795,0.018432340484691744,-0.02757232501002536,0.03331438814137893,0.0030514891029262167,0.0012029493944194247
FASLG,,,,,,,,,,,,,-0.022505817157477136,
