,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.016179708613417002,,,,,,,,-0.03168144788756077,
BMP1,0.012750444475490131,0.004459108536689607,0.030085086969502885,0.008461321734356998,0.024340101446797012,0.042760990375427764,-0.014149829855498057,0.05342006749901529,0.07535487072119032,-0.05355342579094467,0.049565921011157435,-0.035247973410164,0.06425261057761929,-0.02889141538708893,0.031615667621112654,0.07337042332999112
NDP,0.007941919256661096,0.017509688128247353,-0.009585868918836732,0.03646635958936102,0.0004491331968975678,0.004050713469543173,-0.0008613441016212491,-0.01822309263134583,0.06610374664806333,0.002145283167365379,-0.013958452600090066,0.005122269652498291,0.04720209229268716,0.05104782655511624,0.044185028760841225,0.11889609445279135
TNFSF18,-0.02115380433574415,-0.03346923523647542,-0.03408030325919523,,,,0.040441620235080286,-0.0184340656641991,,,0.15531537412520116,,,,-0.0060846717170409655,0.01708844611086752
RTN4,0.027120986325957202,0.06608941057806784,-0.03355716837701779,0.028195945372151775,0.04650705452843837,-0.024576417562498894,0.040109642894140464,-0.027947746523567473,-0.007832020510729815,0.002364697788883744,0.02167083477145932,-0.11990132593944093,-0.006063862305523114,0.03266669242328277,-0.021226321974851955,-0.028512029302811038
HEBP1,0.023385289995722345,0.02378924609749516,0.00017513960078187107,0.004200975734187546,0.006807047381090748,0.009820402656380725,-0.015592190195314569,-0.019713400059756882,0.05788354497048892,0.018332750702095477,0.07816521961440487,-0.11138680950917867,-0.01792982923490873,0.07453630046031008,-0.026287008469320316,0.002067530525559473
WNT7B,-0.0186358390642145,-0.01852758371576093,-0.021169627937590092,-0.0022544978865946834,-0.022088080827883057,-0.050163790868836405,0.14677459114923105,-0.024805100608103602,,-0.06571682484577208,0.16125271078458184,0.0332095195987435,-0.05886581745550429,-0.02667420259550495,0.010016176485724834,0.0004989855510812818
PTMA,0.030092798801820808,-0.0938769268180099,0.025645709959245245,-0.0032520180262263325,-0.02089215338944991,-0.008599741283695561,0.050266702046101015,0.02025936305223193,0.03097871390573247,-0.016006374694821503,0.02047125563613114,-0.026352870031008523,0.003577608060598735,0.06512963065151867,-0.055729873442205584,0.06584807724063502
FASLG,-0.018635844332518463,,,,,,,,,,,,,,-0.027477308944599328,
CEACAM1,-0.025876032950782335,-0.021302250980295187,0.02456511671537857,,-0.0015488264567673855,-0.018762223881771782,-0.019762971615809196,2.9957630354062226e-05,,,,-0.0004960613766637679,0.06236357337025645,0.04914485153953855,0.006081643173117983,
