,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,0.06280447141543831,,,,,,,,-0.021302992486663994,
BMP1,0.019433428490615846,0.005787331793101815,0.034490404535224777,0.02736030859672985,0.05436497572306033,0.025840045823928428,-0.038731200304758774,0.007730732228136098,0.018808495556573844,0.10687605359443095,-0.03733120195751941,-0.0482060660797452,0.08539408272515295,-0.024344328523690638
NDP,0.05119313372358733,-0.050461475210010334,-0.010040505361758885,0.08033164541453748,0.015404106010482609,-0.028158553196348822,-0.001309744868353513,0.0008300331986054645,-0.03697895644965105,-0.010094102845513262,0.042443031239368115,0.039347362751640365,0.04939413923775219,-0.03624647588255625
TNFSF18,,,,-0.014453487489528453,0.047226355366857826,-0.012622089446573373,,,-0.04541153864271651,,,,0.0010434098808346046,
IL36G,,,,,,,,-0.01956199831817534,,,,,,
RTN4,0.009422394651684414,0.07461297942451035,0.03555217843564065,0.034797873445041885,-0.1194753586453496,-0.01315988889630248,0.090546873953983,-0.04632339742271256,0.004560537737908652,-0.04369859750694487,0.027455797469055746,-0.045446327338727444,-0.04047297126136555,0.07981483332971111
HEBP1,-0.015875996698746227,0.004073987269346502,-0.016957098438194387,-0.004016341360761548,0.039030164525352004,0.00368906011965563,-0.1346069300624574,-0.007738374886239514,0.010000936325409588,-0.020228136366262327,0.041782195140665536,0.05805901847679615,-0.02381526625196721,0.03204936571219057
WNT7B,0.01074229307930403,-0.021747767288306546,-0.006114606854085759,0.027343454612256343,-0.026582896944952594,-0.03618004443778265,,-0.021500890503737612,,0.035680559826638675,0.1251525356921405,0.039597069964446965,0.04945564975457964,0.025395862993509
PTMA,0.01007530958252686,0.031143548560744725,-0.001082095140430838,-0.0015641250139729205,-0.07248057711656382,-0.025214829275214297,-0.12811988365377822,0.017692202565270144,-0.07181158244660638,-0.09429023739715106,-0.003988649237366585,-0.030646627935219217,-0.030951560281839798,0.04130518988175819
CEACAM1,,0.021716206226845457,-0.007289439212451128,,0.06189152414902969,-0.01985153968813039,,,-0.03193201865659987,-0.028158549559180037,0.007872217423923293,0.008057627205765137,0.03158184416435332,0.015073539215181777
PDAP1,-0.0027224738041736413,-0.016182107350319105,-0.04005987954346021,0.035119589434033587,0.0404651357972103,-0.05639387880835379,-0.009524780225753105,0.01638059567604157,0.09456838887468878,-0.07076171069963473,-0.08834755374003819,-0.02454498425299288,0.003974434675414702,0.01273740864452126
QDPR,-0.0035359807568449792,0.009778699144932101,-0.023674482385292538,-0.055607074936212336,-0.07419384742558936,0.05333869713583269,-0.04680894210010597,0.030848346214247393,0.008218048244240482,-0.0666864289004398,0.049290650327691664,0.11444587199409702,-0.07536938777616471,0.03144189357751671
POMC,,-0.023385719516359163,0.004509810082343952,-0.0067389285527139535,0.06600640657253228,0.02305272183608258,0.0006847108214124393,0.001317546475522809,0.12347833345833348,-0.02467886643469614,0.002437156661269132,0.010577487172701502,0.05918727496056422,-0.01701593454637842
CCL18,,,,,,,-0.049854386493117506,,,-0.019964874608424433,-0.0017718179392249434,-0.017765323275412942,,-0.012934109819311587
CCL17,,-0.014555478639455317,,,,-0.01574220298520926,,-0.017870440828597126,,,-0.02386346164895754,-0.020592369064386332,-0.010597075494874502,
VEGFD,,0.16363528203110364,0.011297745927512716,,-0.00822934540820432,0.11669827163279992,-0.02268754475596838,0.03505400532899976,0.04472235631581256,,,-0.03669844141664939,0.0051321302124813116,
TNFSF13,,-0.010040043404265113,,-0.014016867697266646,,,,,,,0.012111792854771554,0.08151456743494764,0.037271098662654795,0.042893393490445866
WNT5A,0.023044726967897354,-0.017685947340641075,-0.08693740829581216,-0.01412577188313451,0.06150679899792068,0.029953436503263094,0.010924526359578983,-0.009304065799741098,0.022993732204080703,-0.005887353287489706,0.0029569323497325743,0.004384322225845824,0.058694432221651036,0.0031236863882719785
CXCL8,-0.03697253560945597,0.01953325894665496,-0.01882648378607709,-0.0016223134290995703,0.015421238126072746,0.07552311837433708,-0.039132572343921514,-0.03800282256053263,0.03327533214192216,-0.035151305082540475,-0.04786234507534841,-0.07519249005827608,0.06848705609107206,-0.06763809994437567
GRN,-0.0031536945346761717,-0.004582072280061727,-0.012014967085806657,-0.06994472656842539,0.08932230697870415,0.0033627366593445792,-0.05044532528557877,-0.030824161279036224,-0.04728609501511317,-0.0013276900861260298,-0.04264327288767927,0.003582749485904809,0.06236652751773034,-0.05306609524475117
MIA,0.07992427200648777,-0.01161102021976282,0.027869084021063462,0.02045641642681395,0.09543086940705667,-0.00233733059900105,,-0.026229959323106598,0.02662326459362188,0.05393771794165976,0.10429277579753755,0.12746034940174067,0.04444809998234151,-0.09252428421547719
COL4A4,-0.035335951374680215,0.0002581081222573876,0.014781161263126777,-0.013336430342905348,-0.02254151722185204,-0.016435346959405277,,-0.025444033651255554,-0.03399157367923542,-0.025241839595434593,0.07677447033846482,-0.0428085331547236,0.04305132679794864,0.024560260379646353
TAC1,-0.023857665606859743,0.048642029999639534,0.048781743678332684,0.08158792269660799,-0.0323890320463498,-0.0018078018903345402,0.05801272264255459,-0.013938703246657459,,,,,,0.06401258391644155
RARRES2,-0.007385003331433033,0.024411738875725706,0.0030041583044091392,-0.04245387219296334,0.10966164971714638,0.014232022390606284,-0.026702309784365934,0.03323006839606224,-0.10077311612504997,-0.005264167264634518,0.019628411796948988,-0.052463373004248574,-0.04550679746217837,-0.1087852436003958
FGF7,0.010597713301272016,0.019930847266937637,0.03667779736634986,0.05464476158030582,-0.014582049420166705,-0.006180246330385986,-0.0526710039861078,0.03368670468158573,0.12097521654664158,0.009814267219972384,0.08058797483481235,0.0491228241577377,0.004156099805667265,0.06399866226936483
EFNA2,,,,,,,,,,,,0.01683922946151715,,
HBEGF,-0.014547926111961637,-0.014831553993712953,0.04024007869891104,-0.021939705948158975,0.005770762110870305,-0.0015496756508954132,-0.06624178888532246,-0.026203163527692468,-0.047172747209417956,0.10363947746507154,0.019806158640176392,0.03988839357585459,0.03808391041364248,-0.05770450002283432
CSF3,-0.003582850232796707,-0.017348861401838035,0.0030025646669667168,,-0.007371713571703177,,,,,,-0.04582110642633732,-0.04085529695904273,,-0.046842578569321704
PI3,-0.039494542367356125,0.018927599122218003,-0.025950723684397554,,-0.026853716026554217,,,,,,-0.041486042847683334,-0.11824378545309001,0.058480285784197054,-0.09235211740442278
PCSK1N,-0.012604744330986824,-0.035808204532486676,0.024058444041303622,-0.005442043726005252,-0.03851200257172513,0.011812761403164273,0.10027892274598767,-0.0008525677498407042,-0.04513372317963839,-0.00933878974948026,-0.056644157289161896,-0.029765406099477604,0.013816992815072612,0.08241296478411382
NTS,,,0.039728589266101205,-0.01628075130265141,-0.003733181227464079,0.10095907352679906,0.08283080056806039,,,,-0.01951265067089288,-0.04249394540890983,,0.0766931950483217
SFRP1,,0.07781500086274516,-0.025052111545291477,-0.005635391844462775,0.002827131889651096,0.03319561842369019,0.03116962917034077,-0.01449575564950955,0.0646058574950721,0.016974434084602225,0.04729905030136737,0.016054038988648545,-0.03650930883969095,0.04491160903465494
CXCL13,-0.017959681892949945,,-0.024826962471462904,,,,,,,,0.015439576463794222,-0.02031425908238667,,-0.002589823008924619
MICA,0.02296244986430264,0.08545252945372722,0.028330537185182483,0.04043155852367594,0.07063947125554441,0.010544811838532621,0.05624954966113928,-0.011679387276136766,-0.0055677277011191946,0.09235400881674553,0.0067810878922319835,0.010485633588831962,0.09169571890326864,-0.03740018037576392
TG,,0.007322842560105385,-0.026286781362710437,0.0016158473512763662,0.026358797429972877,-0.01585967376764452,,-0.013481087852386539,0.05280747760791847,-0.03250748360739857,0.03727034653762114,0.04301295727568743,,0.02503363779912555
ADA,0.06595976054187572,0.05209659636738749,0.027435348910118985,0.02435345263317953,0.09695820642964764,0.002378010917797723,-0.00492053719082601,-0.031244653838908773,0.010895362962592175,0.11696373660623577,-0.02733962460055183,0.0845741029208779,0.0124041517583885,-0.04392062447187872
LAMC3,0.001609403120346883,-0.036919467019712424,0.061786969160327984,-0.019127136515802036,0.10336649795814029,0.019363419505610633,-0.036744795691802105,-0.029091498357946433,-0.06102596400090046,0.045313531368456186,0.021867176677233802,0.08192244813204244,0.08855202387483024,0.05481040204525451
CCL7,,0.018670440434047905,0.012174642653020614,,,,,,,,0.014018096944614563,,,
NGF,,0.043265833150325464,-0.013750791735245384,-0.017932874408554424,,,-0.020426091583729884,,-0.008543063068890031,-0.029669064153652305,0.0893326704143813,0.10647983752956398,,0.041398749967749754
TNFSF15,,0.0151722655688454,-0.02437087138471753,-0.021774441010873013,,,,,-0.048847998930670745,-0.029963246320639708,0.11433842458374265,,,-0.029088437103699873
HMGB1,0.03249462242291472,-0.059462927061457664,0.008468097914523019,-0.01956484600555257,0.051816518020515095,-0.002254125304105319,-0.027443784353450455,-0.0592792531448328,0.019809176715096244,-0.00417101770038841,-0.0758323133591356,-0.0742078313124514,-0.045785526571804167,-0.01505350785760867
ITGB3BP,-0.0011177961901741322,0.06013834481086998,-0.02712126526770844,0.027973840322302445,0.06066245145430483,-0.01719177763440463,-0.013893754384127769,0.021596360016535098,0.03742143942738087,0.035515098402244205,0.035113066792449354,-0.033660610415219415,0.01863740959080243,-0.00602606630928225
AANAT,,0.04719180049671689,-0.021959612636003812,,0.049552481902517015,-0.014262697303464704,-0.0192035300763056,0.005377818408955224,,-0.020794253795089583,0.03911046540088253,0.00565007334724051,0.0959678017890662,
RELN,0.029130415025830168,-0.017427268791845016,-0.009617195489080674,-0.03655625438059395,-0.06312291237082109,-0.013535669965966921,0.08656338402833712,-0.026538505223201662,-0.033717906352828,,,,0.0864611822972853,-0.03513567963962366
IL15,,-0.016087944281799854,-0.01779179492262591,-0.015493809254796483,0.07652521889759142,0.01898550026232667,-0.039352322536864666,-0.022232446290532722,-0.04958658811280349,0.06888355950461254,-0.05748344288046762,-0.0280847929640252,-0.043265385645151755,0.052329090732850865
UTS2,,,,,-0.0014533937889055144,,,,,,0.10415864521840874,,,
BSG,-0.02970411720673641,0.07565441646631461,-0.05929535069366179,0.04634584960037285,-0.006101609950007743,0.01888633333310495,0.03418424717352654,0.04164872473155231,-0.03080464154699494,0.07358100490847469,0.023821826049120552,0.019430390991769637,0.07874637938351663,-0.09735072795553798
ADAMTS3,,0.05901766925398058,0.002035752637229637,-0.010195192119283759,0.07964103171262232,-0.026178814588281477,-0.030836356968580475,-0.008197975410463238,,0.05899517062360579,0.006323975192624511,0.10682420765583067,0.09084211690202997,0.09638908885425958
CD34,-0.04101139986323998,-0.016870142209944903,-0.01226717554786888,0.01589890291173561,0.10965092156704219,-0.02293807648341733,-0.04617136528905472,-0.002313353099117038,-0.029969678520461358,0.07224712495337576,0.015207775798425936,0.041469545193002263,0.030486682797942616,0.019508473717474644
CCL23,,,,,0.08613951687864399,,,,,,,,,
PLAT,0.05629119541886172,-0.07970176470108123,0.02588772002472317,-0.0247344091874896,0.041131432946574405,-0.029227296343897338,-0.022538226488523463,0.04688659917572627,0.008278536237560145,0.08423613409573356,0.09263670689308742,0.06122790383919744,0.038639195021306035,0.058330702472796835
NTF3,,,,,,,,,,,0.04121610955813354,0.11626751624710106,,0.026395267573742356
LTA,,0.1020342890610718,,,,0.06562294347192535,,-0.02223244903491627,,,,,,
CKLF,0.023919424098346333,-0.033919884573610094,0.03215720897970171,0.009631805031241256,0.10125603258318451,-0.0021200626498923095,-0.005758285057795585,0.0021664674559819597,-0.005076574842460638,0.02328314193491371,0.023388052787556186,0.0678189774928577,0.011446597772279823,-0.03086212844119054
