,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.14864356639620555,,,,,,,,,-0.011539078713575132,0.03206294460308711,
BMP1,0.017984912715204863,0.012288873840284532,0.05481187974073818,0.022206501865332844,0.022866102319256933,-0.04382722312321422,-0.0015069253348296602,0.045000106698026086,-0.053303350996141224,0.034065354923609015,-0.0038687064638273276,0.11557878674992467,0.062264922964133725,0.07551693309729102,0.05360888290381819,-0.04197650280745812,0.016461627375105706,0.088829831206837,0.10010078060191706
NDP,-0.02185725359101227,0.0954378592394129,0.002506191550709367,-0.016593122676842233,0.07110082641711346,0.044486698040825105,0.09836840027147861,0.013725015624182756,0.006404319893535048,-0.014100513599360497,-0.02537877638646707,0.0734312552404539,0.04032375492177163,0.11209544601029046,0.04952023939576996,0.06826790911856523,-0.007075289533518149,-0.03501187813416916,-0.0033917482093569155
TNFSF18,-0.02191121152685922,-0.02127448942644717,0.033770096282096936,-0.045156033406870605,,,-0.017375643316409214,-0.020618764739745297,-0.018341875861458044,,,,,0.09372531660414064,,,-0.02987017611420263,0.12468714584436297,-0.02322656310248588
IL36G,,,,,,,,,,,,,-0.013915695331802747,,,,,,
RTN4,-0.021424961805669364,-0.019232567597595094,-0.03090193013654616,0.02237373131988792,0.011785673235173263,0.1314089958278841,-0.0074441894185628904,-0.05088329783770169,-0.04473638120184429,0.005384316962891166,0.041540753875419396,-0.05355868988641506,-0.027282927135627667,-0.05962276779709512,-0.012587743135500838,-0.0602490260646563,-0.041248808099915164,-0.061722000665944174,-0.08991232811429598
HEBP1,0.02053798062973931,-0.019099375335816793,-0.003328832402879031,-0.07010491144824302,0.07759363701409673,-0.02675051576416826,0.01821858359242527,0.038403570600787834,-0.019232981318741568,-0.03972294807368048,-0.03693483435671769,0.015162717119895714,0.005740621155075253,-0.07302318528930853,0.03379398218054706,0.0778341725365197,-0.029458185630787646,-0.012988058582514228,-0.010153455559539934
WNT7B,0.07739870935165567,-0.04965489481212321,0.08572143432425242,0.06801132215256339,0.04812984900934683,0.038750137325751347,-0.011093669058662738,-0.026247532412276037,-0.00432811151705978,0.041847597860078,,0.10287552346466362,-0.0065355437062809855,,0.05913449272988299,0.04078744612192775,-0.053619140790969924,0.00931245533747331,-0.05050175924961672
PTMA,0.0195679188210343,-0.07560971169805936,0.05527487981204573,0.012886358232114307,0.062331259649510716,-0.09180214241309595,-0.028977981982293538,-0.050203598463813406,0.04705268331419403,0.0500815993754746,-0.07885867140199734,0.14433410006557112,0.022590278098384722,-0.09232121169168213,-0.13428032673016493,-0.04586841107433389,0.011416782200198322,0.054624609336701865,-0.0074404262606288475
FASLG,-0.019303096533868372,,,,,,,,,,,,,,,,,0.01014891401911698,
CEACAM1,0.043226445777602415,,-0.020954409868012384,-0.021526325806080725,0.03920838432305798,0.027977551806884993,,-0.022118033320471915,-0.01944858782975872,,,,,0.04607489177547214,0.11609859139819659,-0.01827203133493815,0.00452976942176297,-0.03415231564996586,
PDAP1,0.07460167550751877,-0.03754799213099025,0.05415876529497604,0.0007097178319998166,0.03298661621203824,-0.05834024409245236,0.01223330018738241,0.05350326429841435,-0.021863630110283076,0.05524526622881994,-0.013519607274108636,0.10285433141679284,0.07293214827146464,0.06620197932504072,0.052842287465599234,-0.020804012855399942,-0.032261928817777785,-0.023003601758391598,-0.010702786764401201
QDPR,-0.08764780806734064,0.03786861962753316,-0.05773623218064019,0.022061377646329382,0.001968202757873474,0.08949374897028185,0.024633255051669203,-0.03247416902093287,0.02619803403693416,0.04743274608693983,-0.06241116855508314,0.05646009907518879,-0.05738057741937898,0.04315096660677455,-0.1492962231291028,-0.03925150297146745,-0.006307530146449423,0.004046736470219459,-0.05468881679186706
POMC,0.00033914321977666494,0.09825354429497961,0.02031258933479914,0.013292461455414066,-0.00522834085831747,0.14523863001022808,-0.01001495467663867,-0.019225408541146613,0.045173715565285474,-0.01603538454752639,-0.02800932421435525,0.0428453481030458,0.052636753946984714,-0.0013348368446703532,0.020223259476485435,-0.0036010968634769378,0.08459305087482197,0.07841317399275323,0.057405511332375904
CCL18,,-0.028530839599304355,-0.026149123658248195,,,,,,,,0.02991252564863468,0.06693508106087992,,,-0.02659198655011278,0.12810461077367297,,,
CCL17,,,,,0.03156151906780245,,,,0.0014057774038435215,-0.03259015719619688,,,0.030661168208678858,,,-0.026376824339766493,-0.03818750684026152,-0.022248297406909135,
VEGFD,,0.1317306526674791,-0.012732560163832963,-0.020203785467535637,-0.006902464950778766,-0.015693185605774082,,0.0625510097998762,-0.024372326194918713,0.08533322120959341,-0.0213000733534845,-0.023922783037548648,-0.01358661181499827,0.021102914390689707,,0.025749825487508513,0.009988947351943032,,
TNFSF13,,,-0.01973297409911167,,-0.014433726476695628,,-0.016850749253248178,,,,,,,,,0.028312295851243435,0.059884287103926376,-0.03625174363462716,0.07177389505405928
WNT5A,0.10018200227001141,-0.04601837868328926,0.0006828795375759569,0.00844702437524487,-0.009444943469660957,-0.05536023011339621,-0.004290598429754424,0.0926509166932121,-0.02242270167668486,-0.0038907517753580443,0.04172251307662653,0.016615389014875786,0.0326462010202327,-0.004143844390043267,0.08189732904464464,-0.01657021168945112,0.01029335631990623,0.039088897721935745,0.019825061666552613
CXCL8,,-0.023407214393867164,-0.02672999593305459,-0.028869391136016435,-0.05405427776177793,-0.08855971977700115,-0.008856939457388168,0.040466132475726696,-0.02861068980634538,0.0052194161103774695,-0.04853574506132932,0.048000920527771024,-0.035994682691858224,-0.12098630270033675,-0.04681937904981384,0.0009310525339235194,0.06688333659170048,-0.005230146186011524,-0.032954366870628325
GRN,-0.08501716964952867,-0.016345497689363112,0.1267981270571717,-0.05308850961220924,-0.056436555210122294,-0.045185941877713076,0.0675499519995336,0.05775790445751075,0.009572717957237372,0.0023004358522135354,-0.04975424612055759,-0.03374006198012415,0.060522839948140686,0.05013761815899744,0.05688487726750965,0.0011789766329538467,0.02285400596396339,0.1472120198855709,0.05390640337058955
MIA,0.011924997318531697,-0.05085296818350221,0.03022240979947849,0.020543518692743547,0.006796751665841632,-0.0218013917857967,-0.01775088086836525,0.012370072147842925,-0.04496286489202766,-0.027187215260263495,,-0.03244359159672596,-0.0067944839440830995,0.05815839544147162,-0.010106969623264194,0.09015802236675005,0.015477401098768193,0.037219025574326874,0.04409870183441638
COL4A4,-0.022355337856003642,-0.03236047569656209,-0.03140488505804511,-0.010159107511653918,0.01546628615627669,-0.046293562133840414,0.031602072189455994,-0.02639872864955394,-0.023883137173555842,0.11908860872325362,,,-0.03487978636695408,-0.017191213000745737,0.047663283268827766,-0.029256379162187852,-0.020746113125644942,0.031977266032751424,-0.028239908075025043
TAC1,0.004855531215411243,-0.024463476886709364,-0.04727660382120518,-0.024006765692535997,0.0037607558812527684,0.10518623535421727,-0.009196085860495735,-0.03052727697434912,0.033968487280270736,0.012337042173813048,0.07633152985069416,,0.014698124453757393,,,,,0.00040023300496509095,-0.11947559765390023
RARRES2,0.09676606631864047,0.12029798679486917,-0.05397771130732498,-0.01218298043969995,0.047069032670739794,-0.14546872942462474,0.0015972982560158331,0.04383008680692117,0.07229752114108648,0.07184535759612352,0.053135352834899244,-0.08306151309872402,0.08342342063640616,0.0017072269026766529,0.03124276502346333,0.04406421773084848,-0.032757441427255084,0.035389039313167316,-0.0661825427446329
FGF7,-0.04038788341307697,-0.0058615030109280776,,0.012680278165385106,-0.004035852288529654,0.03216852979781432,-0.045952538932329236,0.0201391689185783,-0.020034309305067898,0.020312988125669396,0.03664412066489012,0.02143710186177907,0.1168103477288379,0.03280987173623734,0.07213861631856376,0.07432271822314397,-0.026584552004792768,-0.04513967953302679,-0.01794691104410726
EFNA2,,,,,,,,,,,,,,,,-0.017366342963295492,,,
HBEGF,-0.01893363269250602,-0.031172261564923517,0.09034930710107715,0.06119237097652283,-0.014503980705449294,-0.07392391585197691,0.012648812473337332,0.010869091359481095,0.021318736949246967,-0.002577332239111266,-0.06132119741332783,0.10664447419048453,0.02286332245510021,0.02434768529657948,0.06392679472453018,-0.01466207563886667,0.015589414383161089,-0.009893386330072751,0.06063513096655641
CSF3,,-0.03236045007667682,,,-0.03223357806439692,-0.008981931669175932,,-0.014510503065599442,,,,-0.03593982467310748,,,,0.007938920657431937,,0.09897169312958208,-0.029705152200835496
PI3,,-0.03833577873795983,-0.003103882641993421,,-0.034122137062329916,0.005177054319151068,,0.018050280020823366,,,,,,,,-0.027505894216998627,-0.032446515302459615,-0.050892624378455896,-0.07489185139405169
PCSK1N,0.07706414737624571,0.0522589203365717,-0.006224931872488594,0.043295555852347595,0.02527916820114567,0.07478626835777427,-0.014895966223428083,-0.040258198160272055,-0.008196513620252237,-0.06540718188256307,0.10790276195961923,0.029976762542368904,-0.047542247813458706,0.04312102665090991,0.003687135328871073,-0.06095173279576937,0.05764518185144573,-0.02857465986052581,-0.0489175628689415
NTS,,,,,,-0.052570256305975595,-0.019572336971474067,-0.03432852687496647,-0.027283707983947192,-0.022676655362999853,-0.019176908178866327,,,,,-0.021157593404075473,,-0.03468778684386384,
SFRP1,-0.028086477768179092,-0.04996497382630429,-0.012886858786688498,-0.013849297686459917,-0.01514593706238033,0.04332697992605785,-0.02316678562202778,0.04280215289385357,0.02953928127388125,0.002116336566740111,-0.037030595796105084,0.057565781679062435,0.05727377406605195,0.040240262774572155,0.0381887818497679,-0.010804867861059818,0.03642158267858801,0.01402733737098053,-0.023518077910745484
CXCL13,,,,0.028469831353456352,,-0.0177423068507628,,,,,,0.05053127741353144,,,,-0.008309442831854006,,,-0.024094913550750417
MICA,-0.017994844199424098,-0.06415375072523172,0.06938424420660945,-0.02736089399988604,-0.05251039957566937,-0.03335049138197728,-0.04154292720590792,0.05912627761642031,-0.03260131357014213,0.02695455664208362,0.005279827922469571,-0.020958980905579853,0.08011713657358337,-0.07799560994463547,-0.00708849382961608,0.0827564792924904,0.03949828740256957,0.052476325454502946,0.03287634922965303
TG,-0.02235533281814218,-0.02579644382020933,-0.041178525982105654,0.10355860782534775,0.03532266482627721,-0.00870241161108922,0.027949058132539777,-0.03370822280403714,-0.02304659372607523,-0.023585355236182454,,0.07869837231035225,0.02006901004475858,-0.0033757053568137536,0.05854250591415176,0.053167637962594085,,0.038021182781622254,0.029580973875615108
ADA,0.004491520915827096,-0.03814872614556759,0.09422467287078677,0.047839545175198464,0.024285929983339793,-0.009979674757829555,0.006474369962443124,0.03371397528018312,-0.02217944868073989,0.008523042224968235,0.006547106805386634,0.11398455527435948,0.06627715633781142,-0.023048968010851007,0.026680237280125377,0.05217896396473767,0.07937665046157925,0.07863535341293755,0.0032677663049309274
LAMC3,0.005420592157001218,0.01060723181025972,0.11876538002457744,0.0008483529640545013,0.039697093848422106,0.07574622218048149,0.021952277125565526,0.07515574920179158,-0.0003136265338182608,-0.03341764368426569,0.004164393713024027,0.11217317804037602,-0.007099398001246917,0.07733705867084675,0.06422432936515504,0.004440293669777978,0.09116199174496835,0.08488611934430731,0.08548799428739895
CCL7,,,-0.01663305166617507,,0.06342118331814932,-0.02352302317332374,,,,,,,,,,,,-0.02454610756219254,-0.050300501201575885
